study_id,SYMBOL,logFC,SE,P.Value
GSE278723,ACYP1,-0.3889759223370626,0.11112074632000032,4.644215210506187e-4
GSE278723,ACYP2,-0.33231196534314117,0.061109814009026445,5.3897824863502174e-8
GSE278723,ADA,0.12866963398588746,0.11739551090409364,0.27306328953293896
GSE278723,ADAL,-0.47076960333018975,0.07244088422591917,8.103168832605879e-11
GSE278723,ADAM10,-0.6437304652470521,0.04953839511179621,1.3133274324854458e-38
GSE278723,ADAM11,0.19670547583803707,0.09522136810550454,0.038850172056754326
GSE278723,ADAM12,-0.24715054762160368,0.09710861072120924,0.010924830815050924
GSE278723,ADAM15,0.5008401593545287,0.07710383643916104,8.267121862438051e-11
GSE278723,ADAM17,-0.5249442226025871,0.05598838799759495,6.855678578899372e-21
GSE278723,ADAM19,-0.20062668026252473,0.11069996841124059,0.06993270177260733
GSE278723,ADAM20,-0.6578335759376709,0.094512134889608,3.3952941920176253e-12
GSE278723,ADAM22,-0.6401252074973341,0.09821105395396101,7.132085856453957e-11
GSE278723,ADAM23,-0.35924724647069006,0.1263882127202979,0.0044773729764545555
GSE278723,ADAM28,-0.6095355186454535,0.1663393349569972,2.4790941425613036e-4
GSE278723,ADAM32,-1.0214305373967576,0.08621587914757105,2.2207790093113488e-32
GSE278723,ADAM33,0.2583375352307314,0.12576313276961928,0.03996025581462375
GSE278723,ADAM8,0.40834306131013587,0.10326329195347207,7.67309948840238e-5
GSE278723,ADAM9,-0.39258938717373054,0.06214267533616079,2.6574445113589225e-10
GSE278723,ADAMTS1,-0.6033036047458672,0.1303599880370531,3.6924710475795746e-6
GSE278723,ADAMTS10,0.6364334273078212,0.09247285048945618,5.8860160344841315e-12
GSE278723,ADAMTS13,0.5241855264685121,0.0690888147141321,3.270795802658523e-14
GSE278723,ADAMTS14,0.679981222281697,0.2275724003003599,0.0028083018531479035
GSE278723,ADAMTS16,-0.08156295647712193,0.23369100610943436,0.727073904357443
GSE278723,ADAMTS17,0.44026640725207683,0.09043525706160113,1.1255955857262067e-6
GSE278723,ADAMTS18,-0.399411917136114,0.3483296988414793,0.2515266970158427
GSE278723,ADAMTS19,-0.25181003750213055,0.1141693576606096,0.027413183987180186
GSE278723,ADAMTS2,0.859693137133781,0.12533380486026446,6.923369057156071e-12
GSE278723,ADAMTS3,-0.4683293686399106,0.1544213023055335,0.0024229382268613096
GSE278723,ADAMTS4,-0.18773941725994658,0.15802985887336066,0.23483354701817843
GSE278723,ADAMTS5,-0.21736764046052034,0.11441660834149253,0.05746055514757945
GSE278723,ADAMTS6,-0.2849969759601784,0.10930610825698561,0.009125166039045897
GSE278723,ADAMTS7,0.6232173943053605,0.15006838934476077,3.283037135310649e-5
GSE278723,ADAMTS8,0.48267910681886805,0.09938265916977111,1.193136904838337e-6
GSE278723,ADAMTS9,-1.0144560771850606,0.12593389312862135,7.917717854239039e-16
GSE278723,ADAMTSL1,0.05917388817730631,0.12341987439088335,0.6316172084167088
GSE278723,ADAMTSL2,0.7305123397587964,0.09238680106683549,2.634387649682557e-15
GSE278723,ADAMTSL3,0.09889994288613448,0.09223990345856378,0.2836286603361411
GSE278723,ADAMTSL4,0.368556079197638,0.12971416005777672,0.004493085377289343
GSE278723,ADAMTSL5,1.18280323656305,0.3513157365275295,7.60509867847564e-4
GSE278723,ADAP1,0.56428526152945635,0.08737485561447213,1.0594789229557079e-10
GSE278723,ADAP2,0.26901305323372177,0.11718910637594944,0.021701819749549336
GSE278723,ADAR,0.25079286759859554,0.03887713309071177,1.1118087371295083e-10
GSE278723,ADARB1,-0.08393659009381242,0.09070830049404315,0.35478580303975327
GSE278723,ADARB2,0.762512571985465,0.11025254010620628,4.643959233745506e-12
GSE278723,ADAT1,0.04659556371680738,0.05544893038649736,0.4007217269244844
GSE278723,ADAT2,-0.7522693195182658,0.1127999395360766,2.5745080803140736e-11
GSE278723,ADAT3,0.6856007984684132,0.18146248670528656,1.5796868335474532e-4
GSE278723,ADCK1,0.266974205007206,0.08690484380214249,0.002126090307563404
GSE278723,ADCK2,0.4562305083943279,0.0630729748807001,4.711345189607568e-13
GSE278723,ADCK3,0.3659547004476746,0.05523264815790546,3.456173077350162e-11
GSE278723,ADCK4,0.45638533233346923,0.05949791328995965,1.711793122367274e-14
GSE278723,ADCK5,0.6338263519507119,0.09428882045335127,1.790265251942723e-11
GSE278723,ADCY1,0.037934819938721706,0.07748740515023957,0.6244445029020038
GSE278723,ADCY2,0.3092719620794297,0.06252779181270444,7.569486438851674e-7
GSE278723,ADCY3,0.49012366409356367,0.052271652962244744,6.821747224939932e-21
GSE278723,ADCY4,0.1604535567541231,0.13932226639219375,0.24945587181247522
GSE278723,ADCY5,0.560475073998152,0.06028417222314552,1.441688037478957e-20
GSE278723,ADCY6,0.4203172449574822,0.05744108652023477,2.528922860761857e-13
GSE278723,ADCY7,0.6206886112891434,0.09213178613405826,1.617292053905774e-11
GSE278723,ADCY8,0.5398366697618168,0.06487343496129638,8.694314205610506e-17
GSE278723,ADCY9,0.4189654192833988,0.06084199290473109,5.733360520028718e-12
GSE278723,ADCYAP1,-0.1707545996468,0.4634055918405682,0.7125171135101716
GSE278723,ADCYAP1R1,0.7948635463502963,0.10695952669653903,1.0741989542742463e-13
GSE278723,ADD1,0.07534324812338869,0.04423096517181743,0.08849229886972265
