SYMBOL,K,K_used,Z,P,Dir,FDR
PPIL6,5,3,-3.3338303924961874,8.565887281002808e-4,down,0.0019160566627061727
CGAS,2,2,3.3338108291535042,8.566489744230569e-4,up,0.0019160566627061727
PLEKHF2,5,3,3.3335933886047515,8.573188584109447e-4,up,0.0019173582716677272
CNKSR3,5,4,3.333309535020864,8.58194076580298e-4,up,0.0019191187879297443
ASB1,5,3,3.332823971187394,8.59693157972463e-4,up,0.0019222739012264276
UBE2Q2,5,4,-3.332594387873766,8.604027957709127e-4,down,0.0019236633525383723
SINHCAF,2,2,3.3321056903588695,8.61915159900846e-4,up,0.0019268470468620123
BTG2,5,3,3.330932818246118,8.655548908805317e-4,up,0.001934785417418894
ZNF700,5,5,-3.330363974872903,8.67325289167507e-4,down,0.001938544046456922
MCAT,5,4,-3.330218648621835,8.67778122911461e-4,down,0.001939357340604076
EXOC8,5,5,-3.3299877891578906,8.684979272108799e-4,down,0.001940767047060721
GTPBP3,5,3,-3.3294137026149517,8.702902912019058e-4,down,0.0019445729874441682
ARRDC1-AS1,4,4,3.328992288949729,8.716081751193194e-4,up,0.0019472317831415748
DNAJC21,5,3,3.328976091063639,8.716588675601407e-4,up,0.0019472317831415748
ABCA6,5,3,3.3287800303523807,8.722726703783187e-4,up,0.001948403328577636
NAGS,3,3,3.3285832393558796,8.728891624507812e-4,up,0.0019495806403636389
PPARGC1A,5,3,-3.3281816775956514,8.741483984225234e-4,down,0.0019521931196485797
MRPL24,5,4,-3.3280815936836214,8.744625082811306e-4,down,0.001952574788844864
SLC38A7,5,4,-3.328070150673571,8.744984284336155e-4,down,0.001952574788844864
LOC100130357,4,2,3.3279251642270538,8.749536662687301e-4,up,0.0019532860082984915
ARX,5,3,-3.327911636034388,8.749961541692154e-4,down,0.0019532860082984915
KCNK2,5,3,-3.327805237607578,8.7533038565847e-4,down,0.0019538320607904477
MMD2,5,4,3.3276959719722687,8.756737471578448e-4,up,0.001954227039299887
NEPRO,3,2,-3.327691877119174,8.756866174450986e-4,down,0.001954227039299887
SQRDL,2,1,3.3274187629547525,8.76545422237344e-4,up,0.0019559433725891847
SFPQ,5,3,-3.3273755815965624,8.766812770599622e-4,down,0.0019560463126787673
USP34,5,3,3.3271054824758237,8.775314911457572e-4,up,0.001957742942946035
ZNF710,5,3,-3.326654220451196,8.789536728676813e-4,down,0.0019607151358015267
ARSJ,4,3,3.326445607186366,8.796118531705842e-4,up,0.001961982608038869
LOC112268222,2,2,3.326408500715808,8.797289729090615e-4,up,0.0019620431036716573
FAM111A,5,3,3.326377898712217,8.798255733736709e-4,up,0.0019620578278559124
GTF2A2,5,4,-3.326273865638208,8.801540451316505e-4,down,0.0019625895814580252
DTX3L,5,3,3.3261239720443676,8.806275158074039e-4,up,0.001963444515454818
PBRM1,5,3,3.3259222189557343,8.812651684857145e-4,up,0.0019646652968766808
SEC14L2,5,3,3.3249322579891616,8.844002068566575e-4,up,0.001971452853750715
ENDOV,5,3,-3.3248875846642374,8.845419232032123e-4,down,0.001971567167749027
PRR29,4,2,3.32440767025011,8.860656750358938e-4,up,0.0019747615806028954
C1ORF50,5,4,-3.324034535785839,8.872520763072991e-4,down,0.00197720356900495
ATM,5,3,3.32306334733341,8.903469304829664e-4,up,0.0019838975297893652
FLJ20021,3,3,-3.3224901263146203,8.921782880430192e-4,down,0.0019877750493230316
PRR11,4,4,-3.321943433627943,8.93928143930239e-4,down,0.0019912980470116757
URI1,5,4,3.3219390450249477,8.939422038485974e-4,up,0.0019912980470116757
C1QTNF3-AMACR,3,3,-3.3214472358384253,8.95519129084633e-4,down,0.0019946069200218724
LOC112268050,1,1,3.32067070520196,8.980142286961888e-4,up,0.0019999599754628268
NOTCH4,5,4,3.3204522311409024,8.987173764234733e-4,up,0.0020013215039232017
PLEKHJ1,5,3,3.3202525743034492,8.993604080982664e-4,up,0.002002548897656042
