SYMBOL,K,K_used,Z,P,Dir,FDR
RNF216P1,4,4,2.745899849728278,0.006034518192937136,up,0.011173912767489767
UBE2J2,5,5,2.7452369549509257,0.006046722050700102,up,0.011195558557620087
POGZ,5,3,2.7451810737125726,0.006047751836765429,up,0.011196513535633295
MTUS1,5,4,2.745098980988784,0.006049264937709844,up,0.011198363060944466
TENT5A,3,3,2.7449796449567114,0.0060514651009308095,up,0.011201484049420108
TPRG1L,5,3,-2.7447959320925834,0.006054853569901912,down,0.011206803918189595
LRRC27,5,4,-2.7443322329646263,0.006063413813222958,down,0.011221694400461826
CBX6,5,3,-2.74398903174594,0.00606975659101397,down,0.011232478788722905
AOAH,5,3,2.7437324469425564,0.006074502495412665,up,0.011240306477877512
LRP4-AS1,2,1,2.7436734662943696,0.006075593899569508,up,0.011241371096094674
PARD6G-AS1,3,2,2.742864568652786,0.0060905799344365625,up,0.011267200808007374
PDZD7,5,3,2.7428641062827293,0.006090588510043926,up,0.011267200808007374
ATG4C,5,3,2.7427351771839747,0.006092980190756305,up,0.011270668095723895
TMEM108,5,4,2.7423542227351283,0.006100051974759246,up,0.011282277045260336
C2ORF81,5,4,-2.742341303590213,0.006100291926689447,down,0.011282277045260336
SAMD9,5,3,2.7422209484278173,0.006102527734998965,up,0.011285453913870657
CCDC129,1,1,-2.741897144014082,0.006108546634536633,down,0.01129562575043391
PDPR,5,3,2.7417850411137685,0.006110631656865807,up,0.011298522144258371
LOC107985282,1,1,2.741068197483569,0.00612397952337714,up,0.011322241211825177
HNRNPA1P48,1,1,2.7398874140530594,0.006146023362211905,up,0.011362032326153097
TMOD3,5,3,2.739677149573333,0.006149956239722865,up,0.011368338150872638
MROH7-TTC4,4,2,2.739626902466027,0.006150896418733913,up,0.011369111301593621
CDR2,5,5,-2.7395882834466714,0.006151619111312764,down,0.011369482360574066
OGDH,5,3,-2.739347167640823,0.006156132933533902,down,0.011376859564873928
LOC389895,2,2,-2.739205029286608,0.006158795239867234,down,0.011380814108417708
MKNK1,5,3,-2.739121904076871,0.006160352687615651,down,0.011382726490315695
STX5,5,4,2.7386681428354875,0.0061688606875366075,up,0.011397480267736211
HSD3BP4,2,2,2.7380646146915164,0.006180193204580864,up,0.011416946878238599
ZBTB9,5,3,-2.7380512061693643,0.006180445190661964,down,0.011416946878238599
DDX19B,5,3,-2.7379755409904036,0.0061818673382275455,down,0.011418605632884814
CGGBP1,5,3,2.7377309716329807,0.006186466101327971,up,0.011426131175617025
RPS6KA2-IT1,2,2,2.7373373220405885,0.006193874566146886,up,0.011438844397997253
RPN1,5,4,-2.7371481808521083,0.006197437033858076,down,0.011444453281496311
PLCH2,5,3,-2.737025108689749,0.006199756084440371,down,0.011447765261283768
SNX16,5,3,2.7366647085961167,0.006206551603553558,up,0.011459341717257768
ISLR2,5,3,2.7365817897616336,0.006208116027196343,up,0.011461258701620302
CEP20,3,3,-2.736054120761299,0.006218079841298699,down,0.011478301242463301
ZNF525,5,3,-2.736037115667474,0.006218401182679585,down,0.011478301242463301
ZNF208,5,4,2.7352388257541453,0.006233503120944552,up,0.011505202379557293
SP140L,5,4,2.7349819863432776,0.006238368989483167,up,0.011513207802923987
SPRING1,3,2,-2.734943670536194,0.006239095182337327,down,0.011513255534866101
LOC339260,1,1,-2.7349248486011595,0.0062394519390852644,down,0.011513255534866101
ARHGDIG,5,3,-2.7347723908903205,0.00624234234636311,down,0.011517613360225954
MMP25,2,2,2.734726147853224,0.006243219294669637,up,0.011518255771642984
ZNF286B,3,2,2.734691479610524,0.006243876812479318,up,0.011518493276273457
RGP1,5,3,-2.734621641120078,0.006245201558414387,down,0.011519961516380777
KRT17,4,3,-2.734559095866407,0.006246388175840104,down,0.011521174736183318
FSCN2,1,1,2.7344729885060794,0.006248022148967586,up,0.011523212807633642
PSMA3-AS1,4,2,2.73444187904664,0.006248612576634221,up,0.011523326088454388
LCA5,5,3,2.734398547722621,0.006249435047258691,up,0.011523867233931777
FAM131B-AS2,3,2,2.7339262574125525,0.006258405898281873,up,0.011539432510773153
LRRC42,5,3,2.7337977941656595,0.006260847979687593,up,0.011542958234577641
LOC112268112,2,2,2.733703523277164,0.006262640611359806,up,0.011545286089814715
CSPG5,5,3,2.7333019984258575,0.006270281083858667,up,0.011558393234297483
SNORA68,2,2,2.733190290038823,0.006272408234159149,up,0.01156133597602714
NUP50-AS1,1,1,-2.7331033057515395,0.006274065038144224,down,0.01156341134832859
LOC102724093,1,1,-2.7329471955721294,0.006277039482289955,down,0.011567526739521678
ERVFRD-1,2,2,2.732930375848999,0.006277360032497166,up,0.011567526739521678
VPS26B,5,3,-2.732628495445223,0.006283115773977392,down,0.011577153688424085
GPR137B,5,4,2.732571348003164,0.0062842058986987935,up,0.011578182956217188
REX1BD,3,2,-2.7324057347440487,0.00628736604127693,down,0.011583025581625115
C1ORF112,4,3,2.7318644485464008,0.006297704551727791,up,0.011601090761123593
AK7,4,3,-2.731804030742391,0.006298859474319738,down,0.01160223709868991
AMPD3,5,4,2.731425531662774,0.006306099050533692,up,0.011614589973600693
CCNK,5,3,-2.7311234925552785,0.00631188154377134,down,0.011624257327356367
SRGN,5,3,2.7305808547685646,0.006322282252671258,up,0.011642427450328686
FSTL3,5,4,2.7302352010779742,0.006328915417629743,up,0.011653657188692199
CHRNA2,4,3,2.7300550568999724,0.006332374903420301,up,0.011659041714242618
ORMDL2,5,3,2.7300075183904844,0.00633328811593595,up,0.011659737578552468
FKBP7,2,1,2.729705003646,0.006339102187363072,up,0.011669455163300077
TLNRD1,3,2,-2.729433539042219,0.006344323590791026,down,0.011678080173922674
RCBTB2,5,3,2.7291968489459304,0.0063488792927363724,up,0.011685478465033917
MTRF1,5,3,2.7282853272949867,0.0063664513547363214,up,0.011716830843208964
GCAT,5,3,-2.72819900525995,0.006368117713536149,down,0.011718907506459233
LOC107986828,2,1,2.72806575361736,0.006370690771092356,up,0.011722652227293866
RUSC2,5,3,-2.727865392010212,0.006374561467126532,down,0.011728783887018942
ADPRHL1,5,3,-2.7270000462490964,0.006391303012557667,down,0.011758594047512134
