SYMBOL,k,agree_frac
GRIN2A,5,1
GRIN2B,5,1
GRK3,4,1
GRM5,5,1
GRM6,3,1
GSAP,5,1
GSK3B,4,1
GSKIP,5,1
GTF2H5,5,1
GUCY1B1,3,1
GYPC,4,1
HAAO,4,1
HAMP,5,1
HAPLN1,3,1
HAR1A,3,1
HAUS5,5,1
HCCS,5,1
HCN1,5,1
HCN4,4,1
HDAC4,5,1
HELZ2,5,1
HEMK1,5,1
HENMT1,5,1
HERC2P2,3,1
HERC6,5,1
HES6,4,1
HEXD,3,1
HFM1,5,1
HGFAC,4,1
HIF3A,5,1
HIGD1A,5,1
HIGD1B,4,1
HK3,4,1
HLTF,5,1
HMGCLL1,5,1
HMGCR,5,1
HMGCS1,5,1
HNRNPH2,4,1
HOGA1,4,1
HOMER1,5,1
HOOK1,5,1
HOOK2,5,1
HPR,3,1
HPRT1,5,1
HPSE2,4,1
HRC,3,1
HS6ST3,4,1
HSD17B12,5,1
HSD17B14,5,1
HSD3B7,5,1
HSF1,5,1
HSPA7,4,1
HSPB1,5,1
HSPB2,4,1
HSPB7,4,1
HSPB8,4,1
HTR3B,4,1
HTR7P1,3,1
HVCN1,5,1
HYAL1,5,1
HYI,4,1
HYKK,5,1
ID3,5,1
IDI1,5,1
IFNLR1,3,1
IFT140,5,1
IGF1,4,1
IGF2,5,1
IGFBPL1,4,1
IKBKB,5,1
IL12RB2,5,1
IL16,5,1
IMPA1,5,1
INHBA-AS1,4,1
INPP5F,5,1
INPPL1,5,1
IRAK1,5,1
IRAK2,5,1
ISYNA1,5,1
ITFG1,5,1
ITGA11,5,1
ITGA7,5,1
ITGAX,5,1
ITGB5,5,1
ITPK1,5,1
ITPKB,5,1
ITPR3,5,1
ITPRID2,3,1
ITPRIP,5,1
JAZF1,5,1
JDP2,5,1
JTB,5,1
KANK1,5,1
KANK2,5,1
KBTBD8,5,1
KCNQ1,5,1
KCNQ3,5,1
KCNT2,5,1
KCTD16,5,1
KDM6B,5,1
KIAA0930,5,1
KIAA1614,5,1
KIF11,4,1
KIF26A,5,1
KIF3A,5,1
KIF7,5,1
KIFAP3,5,1
KIFBP,3,1
KLF15,5,1
KLF2,4,1
KLF4,4,1
KLHL17,5,1
KMT2E-AS1,3,1
KPNA2,5,1
KPTN,5,1
KRT222,5,1
KYAT3,4,1
L2HGDH,5,1
LAMA5,5,1
LAMB2,5,1
LANCL1,5,1
LANCL3,5,1
LAT,5,1
LCAT,5,1
LCLAT1,5,1
LDHA,5,1
LGALS8,5,1
LGALS9,5,1
LGALSL,5,1
LGI2,5,1
LGR6,3,1
LIG1,5,1
LIG4,5,1
LILRA1,3,1
LILRB1,5,1
LIME1,5,1
LIN7A,5,1
LINC00472,4,1
LINC00643,3,1
LINC00672,4,1
LINC00997,3,1
LINC01000,3,1
LINC01061,3,1
LINC01088,3,1
LINC01089,4,1
LINC01094,3,1
LINC01234,4,1
LINC01260,3,1
LINC01354,4,1
LINC01355,3,1
LINC01521,3,1
LINC01551,4,1
LINC02389,3,1
LMBRD2,5,1
LMO7,5,1
LOC100130872,3,1
LOC101927550,3,1
LOC101929748,4,1
LOC283045,3,1
LOC389765,3,1
LOC401261,3,1
LOC644285,3,1
LOC728392,3,1
LOC728554,3,1
LOC730098,3,1
LOC93622,3,1
LONRF2,5,1
LOXL3,5,1
LPAR2,4,1
LRCH4,5,1
LRP10,5,1
LRP12,5,1
LRP5,5,1
LRP5L,3,1
LRPPRC,5,1
LRRC25,4,1
LRRC3,3,1
LRRC49,5,1
LRRC7,5,1
LRRC8B,5,1
LSM11,5,1
LSM3,5,1
LSMEM1,4,1
LSR,5,1
LYG1,3,1
MACROD2,5,1
MAD2L1,4,1
MAGEH1,5,1
MAK,3,1
MAK16,5,1
MAL2,5,1
MAMDC4,5,1
MAP10,4,1
MAP1B,5,1
MAP2,5,1
MAP2K3,5,1
MAP2K4,5,1
MAP3K11,5,1
MAP3K20,3,1
MAP4K3-DT,3,1
MAP7D2,5,1
MAP9,5,1
MAPK10,5,1
MAPK4,5,1
MAPK7,5,1
MAPK8,5,1
MAPT-IT1,3,1
MARCHF3,3,1
MAS1,5,1
MBD6,5,1
MBLAC2,5,1
MBTPS2,5,1
MCEE,4,1
MCF2,5,1
MCHR2,4,1
MCTP1,5,1
MCTS1,5,1
MDH1,5,1
ME1,5,1
MEAF6,5,1
MED12,5,1
MED31,4,1
MERTK,5,1
MET,5,1
METTL7B,3,1
MFAP4,4,1
MFNG,4,1
MFSD6,5,1
MGAT1,5,1
MGAT4C,5,1
MICALL2,5,1
MICU3,5,1
MID1IP1,5,1
MIER2,5,1
MIR3667HG,3,1
MIR7-3HG,4,1
MIRLET7BHG,4,1
MKLN1-AS,4,1
MKNK2,5,1
MLC1,5,1
MMP14,5,1
MMP2,5,1
MOAP1,5,1
MOB2,5,1
MOB3C,5,1
MORF4L2,5,1
MORN2,5,1
MPHOSPH6,5,1
MPST,5,1
MRAS,5,1
MRGPRF,4,1
MROH6,4,1
MRPL1,5,1
MRPL15,5,1
MRPL3,5,1
MRPS23,5,1
MRPS30,5,1
MRPS36,4,1
MRPS9,5,1
MSC-AS1,4,1
MSH2,5,1
MSI1,5,1
MSX1,4,1
MT1E,5,1
MT1F,5,1
MT1G,4,1
MT1M,5,1
MTMR6,4,1
MTMR7,5,1
MTMR9,5,1
MTMR9LP,3,1
MTX3,5,1
MUC1,4,1
MXD4,5,1
MYBPC1,5,1
MYCBP2,5,1
MYH11,5,1
MYL9,4,1
MYO10,5,1
MYO16,5,1
MYO1C,5,1
MYO1F,5,1
MYO7A,5,1
MYO9B,5,1
MYSM1,5,1
MZF1-AS1,4,1
MZT1,5,1
NAGLU,5,1
NAGS,3,1
NALF1,3,1
NAP1L2,5,1
NAP1L5,5,1
NAPB,5,1
NAPG,5,1
NATD1,5,1
NBEA,5,1
NBEAL2,5,1
NBPF10,5,1
NCALD,5,1
NCEH1,5,1
NCKAP5L,5,1
NCR3LG1,5,1
NDFIP1,5,1
NDFIP2,5,1
NDST3,5,1
NDUFA4L2,4,1
NDUFA5,5,1
NDUFA9,5,1
NDUFAF5,5,1
NDUFB5,5,1
NDUFC2-KCTD14,3,1
NDUFS1,5,1
NDUFS4,5,1
NDUFV2,5,1
NEAT1,4,1
NECAB1,5,1
NECAP1,5,1
NECAP2,5,1
NEGR1,5,1
NEK10,5,1
NELL1,5,1
NELL2,5,1
NETO1,5,1
NEUROD6,5,1
NEXMIF,3,1
NFATC1,5,1
NFATC2,5,1
NFATC4,5,1
NFKBIA,5,1
NFKBID,5,1
NFU1,5,1
NFYC-AS1,3,1
NHLRC1,3,1
NHSL1,5,1
NIBAN2,3,1
NIFK,5,1
NINJ1,5,1
NINL,5,1
NIPSNAP3A,5,1
NIT2,5,1
NKIRAS1,5,1
NKRF,5,1
NKX2-2,5,1
NLRP1,5,1
NME5,5,1
NME7,5,1
NMNAT2,5,1
NOTCH2,5,1
NOX4,3,1
NOXO1,3,1
NPIPB11,5,1
NPIPB3,5,1
NPNT,5,1
NPY2R,5,1
NRIP3,5,1
NRIP3-DT,3,1
NRN1,5,1
NRSN1,5,1
NRXN1,5,1
NSF,5,1
NSG2,3,1
NT5DC2,5,1
NTN1,5,1
NTN3,3,1
NTNG1,5,1
NUAK2,4,1
NUDT21,5,1
NUP50-DT,3,1
NUPR1,5,1
NWD1,5,1
NYNRIN,5,1
OBI1,3,1
OCIAD1,5,1
ODAD3,3,1
OLA1,5,1
OLFM3,5,1
OPA1,5,1
OPCML,5,1
ORAI1,4,1
ORC3,5,1
OSBPL10,5,1
OSBPL7,5,1
OTOGL,5,1
OTOS,3,1
OXCT1,5,1
OXR1,5,1
P2RY2,4,1
P3H4,5,1
PADI2,5,1
PAFAH1B1,5,1
PAIP2,5,1
PAK3,5,1
PALD1,5,1
PALLD,5,1
PAM,5,1
PANTR1,3,1
PARD3,5,1
PARD3B,5,1
PARD6G,5,1
PARP10,5,1
PARTICL,3,1
PARVG,5,1
PAX6,5,1
PAXIP1-AS2,3,1
PCAT19,3,1
PCBP1-AS1,3,1
PCDH11X,5,1
PCDHA1,4,1
PCED1A,5,1
PCK1,3,1
PCMT1,5,1
PCOLCE,4,1
PCP4L1,5,1
PCSK1,5,1
PCSK6,5,1
PDCD5,5,1
PDE10A,5,1
PDE1A,5,1
PDE9A,5,1
PDGFRB,5,1
PDHB,5,1
PDK3,5,1
PDLIM2,5,1
PEAR1,4,1
PEG3,5,1
PERP,4,1
PEX6,5,1
PEX7,5,1
PFDN4,5,1
PFN2,5,1
PGAM2,5,1
PGAP4,3,1
PGAP6,3,1
PGGHG,4,1
PGK1,5,1
PGM2L1,5,1
PGRMC1,5,1
PHACTR4,5,1
PHF19,5,1
PHF21B,5,1
PHGDH,5,1
PHLPP1,5,1
PHRF1,5,1
PHYHD1,5,1
PI15,4,1
PIAS4,5,1
PIDD1,5,1
PIEZO1,5,1
PIK3CB,5,1
PIK3R5,5,1
PIM2,5,1
PINLYP,4,1
PJA2,5,1
PKD1L2,4,1
PKN3,4,1
PLA2G5,4,1
PLAA,5,1
PLAAT3,3,1
PLCB1,5,1
PLCB3,5,1
PLCD1,5,1
PLCD3,5,1
PLCG1,5,1
PLCL2,5,1
PLCXD3,5,1
PLEKHA4,4,1
PLEKHB1,5,1
PLEKHB2,5,1
PLEKHF1,4,1
PLEKHH3,5,1
PLEKHM1,5,1
PLEKHM2,5,1
PLIN4,5,1
PLK2,5,1
PLOD3,5,1
PLP2,4,1
PLPPR4,5,1
PLPPR5,5,1
PLRG1,5,1
PLXNA3,5,1
PLXNB1,5,1
PLXNB2,5,1
PLXND1,5,1
PMS2P5,3,1
PNMA2,5,1
PNMA8B,3,1
POGLUT3,3,1
POLD1,5,1
POLE,5,1
POLR2K,5,1
POLR3F,5,1
POSTN,3,1
POU3F2,5,1
POU3F4,5,1
PPA1,5,1
PPEF1,4,1
PPFIA2,5,1
PPM1E,5,1
PPME1,5,1
PPP1R13L,5,1
PPP1R14C,5,1
PPP1R1A,5,1
PPP1R2,5,1
PPP2CA,5,1
PPP3CA,5,1
PPP3CB,5,1
PPP3CB-AS1,4,1
PPP3R1,5,1
PPP4R4,5,1
PRAG1,4,1
PRELP,5,1
PREPL,5,1
PRICKLE1,5,1
PRICKLE3,4,1
PRICKLE4,5,1
PRKACB,5,1
PRKAG2-AS1,3,1
PRKAR1A,5,1
PRKCE,5,1
PRKCI,5,1
PRKD2,5,1
PRKN,3,1
PRKXP1,3,1
PRMT9,5,1
PROCA1,4,1
PRR14,5,1
PRR5,5,1
PRX,5,1
PSD2,5,1
PSMA1,5,1
PSMA3,5,1
PSMA4,5,1
PSMA5,5,1
PSMB2,5,1
PSMD1,5,1
PSMD12,5,1
PSMD13,5,1
PSMD14,5,1
PSMD6-AS2,3,1
PSTPIP1,4,1
PTBP1,5,1
PTCD2,5,1
PTCH1,5,1
PTDSS2,5,1
PTER,4,1
PTGER3,4,1
PTH1R,5,1
PTPRG-AS1,4,1
PTPRO,5,1
PTTG1,3,1
PVRIG,3,1
PWAR5,3,1
PWP1,5,1
PWWP3B,3,1
PXDC1,5,1
PYCR1,5,1
PYGM,5,1
PYROXD2,5,1
QPCT,5,1
QRICH2,5,1
RAB11A,5,1
RAB11FIP2,5,1
RAB12,4,1
RAB18,5,1
RAB20,4,1
RAB27B,5,1
RAB2A,5,1
RAB3B,5,1
RAB3C,5,1
RAB3GAP2,5,1
RAB3IL1,5,1
RAB40A,3,1
RAB6C,5,1
RAB9B,5,1
RABGAP1L,5,1
RADIL,5,1
RAMP2-AS1,3,1
RANBP6,5,1
RAP1GDS1,5,1
RAPGEF3,5,1
RARG,5,1
RARRES2,5,1
RASAL3,5,1
RASGRP4,5,1
RASL12,5,1
RBCK1,5,1
RBFOX1,5,1
RBFOX2,5,1
RBM11,5,1
RBM14,5,1
RBMS2,5,1
RBPMS2,4,1
RCN2,5,1
RCN3,5,1
RDH11,5,1
REEP1,5,1
REEP4,4,1
RELA,5,1
RENBP,5,1
REPS2,5,1
RFC3,5,1
RFK,5,1
RFPL1S,3,1
RFX2,5,1
RGCC,5,1
RGL2,5,1
RGL3,4,1
RGMA,5,1
RGS7,5,1
RGS9,5,1
RGS9BP,3,1
RHBDF1,5,1
RHOQ,5,1
RIN3,5,1
