SYMBOL,max_loo_p,min_loo_p
ADRA1D,0.9140159635969428,0.03201680542224673
ADRA2A,0.8624491770356131,0.014193777710253774
ADRA2B,0.621372451250229,1.6023941161567666e-4
ADRA2C,0.013154187595760857,1.6064427638042716e-8
ADRB1,0.8601546934543868,0.06190925715269472
ADRB2,0.13607848411499024,5.468253186193877e-9
ADRM1,0.7056247411975727,0.36091567675514813
ADSL,0.8878356440674294,0.016594100484457468
ADSS1,0.8503235771990127,0.32710196754716453
ADSS2,0.20403769213213688,0.0016304000067185458
ADTRP,0.7161567041346546,1.6311769964602693e-7
AEBP1,5.452439520120745e-9,8.106678697093669e-19
AEBP2,0.8888756164413236,0.007422680201678441
AEN,0.24650414741073168,4.385551077302282e-4
AFAP1,0.9446296602818882,0.2939213056073869
AFAP1-AS1,0.7596848699237895,0.0048103004198138954
AFAP1L1,0.2157549431734763,8.349553097771735e-5
AFAP1L2,2.9108388096900497e-4,4.812342438636666e-5
AFDN,0.7057879807736737,0.0019759953267864698
AFF1,8.149070433510623e-4,4.007615569113087e-9
AFF2,0.21890642037303037,0.020151179018551225
AFF3,0.8715847527076728,0.029813478724330867
AFF4,0.6822773216150917,0.10937327162534774
AFG1L,0.250861692971452,0.14660308825040191
AFG3L1P,0.15588940250417763,7.349880889371464e-4
AFG3L2,1.6496606816538643e-4,2.584965189358858e-12
AFMID,0.5519109811843765,0.05452604199575155
AFTPH,0.7040499973413256,0.21675203071337587
AGA,0.08273539946309054,0.0025682285907731523
AGAP1,1.8883891627902153e-4,6.314208597815834e-10
AGAP1-IT1,0.06764995981941424,0.0034604702583135535
AGAP11,0.9911911024119343,0.2318496866544311
AGAP2,0.9910660576557122,0.007030388814572959
AGAP3,0.3478203479702564,0.0021826322042258375
AGAP4,0.9003794728974627,0.0014265387027627531
AGAP5,0.9845510415251533,0.24309667975329613
AGAP6,0.45190089692385926,0.019927447852511094
AGAP9,0.6397102963187478,0.25999826615706756
AGBL3,0.7662004821455359,0.19615326547134782
AGBL4,0.07169248817058839,0.005058578423003971
AGBL5,0.9559500720267978,0.2872033088075463
AGER,0.5809939943767963,0.02023498913200536
AGFG1,0.09284691652572437,8.510176363610786e-4
AGFG2,0.03477623303534239,2.2225822592874067e-12
AGGF1,0.06856778181916232,7.591390657277545e-4
AGK,0.2904340556604593,7.096340698966905e-4
AGL,1.5481371511039465e-9,1.546939438554462e-18
AGMAT,0.20816462667184776,0.0019632165043190655
AGO1,0.5571095178758694,0.008011443409741342
AGO2,0.3574506691528448,0.09893368510296292
AGO3,0.7022512182420462,0.15670493470567184
AGO4,0.8876004319157539,0.3322594865031483
AGPAT1,0.8729251881014348,0.0010229346869633105
AGPAT2,0.6448555524103086,0.12846258492726503
AGPAT3,0.6458876113812508,0.3804026878332283
AGPAT4,0.3253025065719272,0.06541182662899185
AGPAT4-IT1,0.29738601954346416,0.19713065238454494
AGPAT5,0.5664943444650969,0.06489924703830485
AGPS,0.2263444246669159,0.012612737345021415
AGRN,0.2162898915527972,0.025319789373380412
AGT,0.8447963160879985,0.2716134233113555
AGTPBP1,0.43047355944346954,0.22027575039927366
AGTRAP,0.025837462366043437,0.0034893970462972546
AHCTF1,0.744718895628824,0.003382415947472259
AHCTF1P1,0.7368903034320136,0.14172963763975133
AHCY,0.9455956247555367,0.05902468598017035
AHCYL1,0.919027231540145,0.07679497558339402
AHCYL2,0.06747228491614482,0.0056854361184812
AHDC1,0.13578509362537883,0.007389632294679887
AHI1,0.09378252976067859,2.8977526671378855e-6
