SYMBOL,logFC,SE,P.Value,acc,region
ABHD14A,0.830664286230325,0.22066476979574098,7.6149809073519e-4,GSE278723_CA1,hippocampus_CA1
ABHD14A-ACY1,1.06692590310323,0.33688508347568263,0.003626588333616,GSE278723_CA1,hippocampus_CA1
ABHD14B,0.445927924293937,0.1780636501683233,0.0181855863881426,GSE278723_CA1,hippocampus_CA1
ABHD15,0.601447713444758,0.20285198105391916,0.00602385109013856,GSE278723_CA1,hippocampus_CA1
ABHD16A,0.398075042838183,0.12327475326113492,0.00309529310936847,GSE278723_CA1,hippocampus_CA1
ABHD17A,1.03191641996348,0.24565084568327294,2.338577642491e-4,GSE278723_CA1,hippocampus_CA1
ABHD17B,-0.346408508056242,0.20997181940154552,0.109850692396565,GSE278723_CA1,hippocampus_CA1
ABHD17C,0.287165704831221,0.24583877247766092,0.252341299403768,GSE278723_CA1,hippocampus_CA1
ABHD18,-0.378662373361575,0.1740848715474057,0.0379720232792547,GSE278723_CA1,hippocampus_CA1
ABHD2,-0.224898425252347,0.12881165779336118,0.0914786041436148,GSE278723_CA1,hippocampus_CA1
ABHD3,-0.554107218891186,0.2013175493849454,0.0101278308354769,GSE278723_CA1,hippocampus_CA1
ABHD4,1.07895075060462,0.2549514919614174,2.1471588280645e-4,GSE278723_CA1,hippocampus_CA1
ABHD5,-0.162403109029373,0.13916454762041583,0.252785915179438,GSE278723_CA1,hippocampus_CA1
ABHD6,-0.0383870010617918,0.18895639552401833,0.840443902031449,GSE278723_CA1,hippocampus_CA1
ABHD8,0.78818716296566,0.23924453667709922,0.00261760764849971,GSE278723_CA1,hippocampus_CA1
ABI1,0.151149766792752,0.17386517973836108,0.391841753075324,GSE278723_CA1,hippocampus_CA1
ABI2,-0.423653054326292,0.13538727268577452,0.00399174699780319,GSE278723_CA1,hippocampus_CA1
ABI3,0.718568021455417,0.22832640710617744,0.0038146847444252,GSE278723_CA1,hippocampus_CA1
ABI3BP,0.385650656316256,0.353341489950129,0.284124905918913,GSE278723_CA1,hippocampus_CA1
ABL1,0.430794267863875,0.14754392738148434,0.00673601187375539,GSE278723_CA1,hippocampus_CA1
ABL2,-0.43613588726512,0.11930772801192141,0.00101760971181416,GSE278723_CA1,hippocampus_CA1
ABLIM1,0.168452121942574,0.14777271152294771,0.263701124281635,GSE278723_CA1,hippocampus_CA1
ABLIM2,0.42987569727199,0.18703327990445423,0.0289922395793951,GSE278723_CA1,hippocampus_CA1
ABLIM3,0.861547546405479,0.2326867293814346,8.979440619426e-4,GSE278723_CA1,hippocampus_CA1
ABO,-0.48004938447618,0.2867649113596635,0.10495311187328,GSE278723_CA1,hippocampus_CA1
ABR,0.541176304686265,0.18109992639584271,0.00568490357672158,GSE278723_CA1,hippocampus_CA1
ABRACL,-0.416321783820894,0.3758866880181402,0.277209378323601,GSE278723_CA1,hippocampus_CA1
ABT1,0.169449029666501,0.15227797517713831,0.275011159781498,GSE278723_CA1,hippocampus_CA1
ABTB1,0.683023727168113,0.1344625759725213,2.06898745916914e-5,GSE278723_CA1,hippocampus_CA1
ABTB2,0.575536572223151,0.23333873521730597,0.0198381362487121,GSE278723_CA1,hippocampus_CA1
AC007325.2,2.05918890766675,0.24824423824278913,4.0239911053026204e-9,GSE278723_CA1,hippocampus_CA1
AC007325.4,0.120859324932209,0.2270913180367392,0.598664785290915,GSE278723_CA1,hippocampus_CA1
AC010547.9,0.322696341033388,0.4439926711999649,0.473210510248054,GSE278723_CA1,hippocampus_CA1
AC011043.1,-1.17038618890914,0.41681107788755356,0.00885531183484384,GSE278723_CA1,hippocampus_CA1
AC013461.1,-0.478070397658006,0.1834996029042268,0.0143724396436942,GSE278723_CA1,hippocampus_CA1
AC024592.12,1.77945929653528,0.3012494387296144,2.10987763882952e-6,GSE278723_CA1,hippocampus_CA1
AC025335.1,-0.151015454882673,0.14467948538383393,0.305261948906825,GSE278723_CA1,hippocampus_CA1
AC069368.3,1.45728568404911,0.5105905240673086,0.00791373157855844,GSE278723_CA1,hippocampus_CA1
AC092835.2,-0.523194148702249,0.2330845393776096,0.032641283041267,GSE278723_CA1,hippocampus_CA1
AC093323.3,0.30020487217587,0.18047081165639905,0.10706524636861,GSE278723_CA1,hippocampus_CA1
AC138969.4,-0.0772278510943861,0.21473641697082899,0.72173941645976,GSE278723_CA1,hippocampus_CA1
AC145212.4,0.687621688604975,0.5413496126708365,0.214178081746659,GSE278723_CA1,hippocampus_CA1
AC240274.1,-0.143307197057888,0.218265565534844,0.516666999647191,GSE278723_CA1,hippocampus_CA1
ACAA1,0.656377313183972,0.11510240709550189,3.69832780913721e-6,GSE278723_CA1,hippocampus_CA1
ACAA2,0.24644792330207,0.18867255876956007,0.201812018283256,GSE278723_CA1,hippocampus_CA1
ACACA,-0.153832909561487,0.08897883732203653,0.0945377019591091,GSE278723_CA1,hippocampus_CA1
ACACB,0.828525908708731,0.25499314205101137,0.0029404792540856,GSE278723_CA1,hippocampus_CA1
ACAD10,0.107751671581162,0.10402547943445606,0.308903785009706,GSE278723_CA1,hippocampus_CA1
ACAD11,-0.156487702597284,0.19890439393942438,0.437854265260024,GSE278723_CA1,hippocampus_CA1
ACAD8,-0.158066487396677,0.18257018437835157,0.39376203734004,GSE278723_CA1,hippocampus_CA1
ACAD9,0.113004807805076,0.14783967260357567,0.450860826250583,GSE278723_CA1,hippocampus_CA1
ACADL,-0.293330528484395,0.20498994876457127,0.16320411702246,GSE278723_CA1,hippocampus_CA1
ACADM,-0.495789735322258,0.13318013678228396,8.5112762175552e-4,GSE278723_CA1,hippocampus_CA1
ACADS,1.01591645439148,0.17137537029775154,1.99145559732912e-6,GSE278723_CA1,hippocampus_CA1
ACADSB,-0.695726478349313,0.26237141362720195,0.0128819576714446,GSE278723_CA1,hippocampus_CA1
ACADVL,0.298968368906091,0.13197539724829188,0.031190586120561,GSE278723_CA1,hippocampus_CA1
ACAN,0.0819566258435623,0.3339657970744621,0.807883416202019,GSE278723_CA1,hippocampus_CA1
ACAP2,-0.405491645997444,0.12155948787285042,0.00235325627299568,GSE278723_CA1,hippocampus_CA1
ACAP3,0.439558179381424,0.15820941767552196,0.00951392286754693,GSE278723_CA1,hippocampus_CA1
ACAT1,-0.215648897374882,0.14509903855581519,0.14808507682705,GSE278723_CA1,hippocampus_CA1
ACAT2,0.0491650243977416,0.22978068895029635,0.83208167308077,GSE278723_CA1,hippocampus_CA1
ACBD3,-0.205942436716246,0.12447629292484266,0.108889125193304,GSE278723_CA1,hippocampus_CA1
ACBD4,0.410709547972933,0.14427484686717895,0.0080580716947644,GSE278723_CA1,hippocampus_CA1
ACBD5,-0.272641167722183,0.19524342586461313,0.173257216618399,GSE278723_CA1,hippocampus_CA1
ACBD6,0.0894448150325961,0.2026830050962933,0.662287737235699,GSE278723_CA1,hippocampus_CA1
ACBD7,0.259104818619566,0.35054528518023426,0.465797964587021,GSE278723_CA1,hippocampus_CA1
ACCS,0.485422170202781,0.2850509684411444,0.0993492046584607,GSE278723_CA1,hippocampus_CA1
ACD,0.647128118295027,0.15615122468371684,2.7285003704574e-4,GSE278723_CA1,hippocampus_CA1
ACE,0.470220475557759,0.2700543145883841,0.0923193231014744,GSE278723_CA1,hippocampus_CA1
ACER2,-0.515327367791906,0.2340575304945453,0.0358493787128516,GSE278723_CA1,hippocampus_CA1
ACER3,-0.622929359804273,0.2938893644125619,0.0427804064990227,GSE278723_CA1,hippocampus_CA1
ACHE,0.263521639385076,0.2031364549216676,0.204834297629801,GSE278723_CA1,hippocampus_CA1
ACIN1,0.168490126129242,0.12409279127484558,0.18507663082038,GSE278723_CA1,hippocampus_CA1
ACKR1,0.377317102474014,0.2410148623106194,0.128378348929188,GSE278723_CA1,hippocampus_CA1
ACKR2,0.25188678082369,0.29807813659558174,0.405054949581108,GSE278723_CA1,hippocampus_CA1
ACKR3,1.18547630371239,0.22207987865609574,1.01147082989089e-5,GSE278723_CA1,hippocampus_CA1
ACLY,0.106520726777932,0.16735288169770754,0.52947395695352,GSE278723_CA1,hippocampus_CA1
ACO1,-0.119542581801658,0.14185519456730583,0.406334374156583,GSE278723_CA1,hippocampus_CA1
ACO2,0.740272111922266,0.11428257883491551,4.47413539523235e-7,GSE278723_CA1,hippocampus_CA1
ACOT11,0.812453943791731,0.19273641886750686,2.2469954515261e-4,GSE278723_CA1,hippocampus_CA1
ACOT13,-0.019077032518566,0.17574760695391214,0.91431368341218,GSE278723_CA1,hippocampus_CA1
ACOT2,0.212162608152136,0.20041770753694946,0.298577590444408,GSE278723_CA1,hippocampus_CA1
ACOT7,0.40812674564249,0.20663734091452504,0.0579110148360167,GSE278723_CA1,hippocampus_CA1
ACOT8,0.249999349472996,0.1328387068968163,0.0699780858507321,GSE278723_CA1,hippocampus_CA1
ACOT9,-0.411021773545134,0.13552026045376814,0.0050857971399899,GSE278723_CA1,hippocampus_CA1
ACOX1,0.134077804674822,0.1851940484546266,0.474913720417161,GSE278723_CA1,hippocampus_CA1
ACOX2,0.864395174775529,0.26190521406062217,0.00257793979210849,GSE278723_CA1,hippocampus_CA1
ACOX3,0.311741258663712,0.12491938598452432,0.0185577408104563,GSE278723_CA1,hippocampus_CA1
ACP1,-0.544420158076308,0.1564081269577965,0.00161349156281715,GSE278723_CA1,hippocampus_CA1
ACP2,0.695268548332069,0.13063196598168197,1.05643035686513e-5,GSE278723_CA1,hippocampus_CA1
ACP6,-0.311128698026657,0.15849914830460715,0.0593711163403234,GSE278723_CA1,hippocampus_CA1
ACRC,-0.929683811371975,0.23699297062233105,4.9749478475761e-4,GSE278723_CA1,hippocampus_CA1
ACSBG1,0.733433992459647,0.19389129974753852,7.2504575297041e-4,GSE278723_CA1,hippocampus_CA1
ACSF2,0.910335574269149,0.1495777614246098,1.29310588558409e-6,GSE278723_CA1,hippocampus_CA1
ACSF3,0.387435957875052,0.18723892844242793,0.0476035759278424,GSE278723_CA1,hippocampus_CA1
ACSL1,-0.381283299943641,0.2241711574278487,0.0997424787376204,GSE278723_CA1,hippocampus_CA1
ACSL3,-1.0259196519093,0.1858752016551144,6.12731974007436e-6,GSE278723_CA1,hippocampus_CA1
ACSL4,-0.780176303843003,0.2136893872396309,0.00103003132322633,GSE278723_CA1,hippocampus_CA1
ACSL5,-0.688461800860476,0.2827186385248029,0.0213140685005368,GSE278723_CA1,hippocampus_CA1
ACSL6,-0.153782505996137,0.16297289585006342,0.353217593393447,GSE278723_CA1,hippocampus_CA1
ACSM5,1.18619112596762,0.3256973705195662,0.00105485998893665,GSE278723_CA1,hippocampus_CA1
