SYMBOL,logFC,SE,P.Value,acc,region,study_id
C20ORF27,1.07609074130346,0.2382402165236961,9.81877902924097e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
C2ORF82,1.48988346717865,0.3592091978523029,2.7030562955445e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
C3ORF14,-1.06888909580159,0.2870222163725809,8.4803803136635e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
C4A,1.14484854656692,0.3221722567614464,0.00133278451462508,GSE278723_CA1,hippocampus_CA1,GSE278723
C4B,1.17957151160489,0.3687847453554411,0.00334714671209986,GSE278723_CA1,hippocampus_CA1,GSE278723
C4ORF48,2.4495205510726,0.40050734560665285,1.19154476444399e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
C5ORF49,1.3030632138254,0.2766890033010842,5.76761048036995e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
C7ORF55-LUC7L2,2.24136499337508,0.7242306174287652,0.00435367681070179,GSE278723_CA1,hippocampus_CA1,GSE278723
C9ORF172,1.0246077989331701,0.31471421137568584,0.00289211467779339,GSE278723_CA1,hippocampus_CA1,GSE278723
CACYBP,-1.01679905508726,0.27628419377330365,9.5294922683486e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CALY,1.01606910816645,0.31443860970822796,0.00307787593367013,GSE278723_CA1,hippocampus_CA1,GSE278723
CAMK2N2,1.51459417988188,0.33302575158651476,9.01057783468795e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CAMK4,-1.01637660567795,0.3499720054655056,0.00699991013281526,GSE278723_CA1,hippocampus_CA1,GSE278723
CAPG,1.01770237103628,0.21199547182858028,4.48250697443313e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CAPS,1.34094195333126,0.27961181855437306,4.54320087736531e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CASP4,-1.06992425193233,0.2399685568631441,1.1527335955515e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CASP8AP2,-1.02272964653487,0.21293720608511407,4.45309290919592e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CASZ1,1.2282009507294,0.3388347037097499,0.00110413081597297,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC122,-1.1420773394613,0.292908691797199,5.3039055671625e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC163P,1.0311587028034,0.3133426799457046,0.00264231697279741,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC167,1.15082403163794,0.26363169017394816,1.4900291879812e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC40,1.00637886781385,0.2811355809583017,0.00124393116644554,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC7,-1.20326446114555,0.2025303271064879,1.92109568693709e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CCDC85B,1.03608669797203,0.27199714161826954,6.7540063777339e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CCNC,-1.12488094410229,0.16424988630935644,1.65824292480161e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
CCR10,1.61011973646945,0.37264489491324637,1.6835364660365e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CD37,1.1307994351353,0.24776807187546065,8.62232370287935e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CD68,1.48599181462672,0.4695429537556006,0.0036475622864891,GSE278723_CA1,hippocampus_CA1,GSE278723
CD81,1.09036262046944,0.1500440310473352,5.51174568088579e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
CDC42EP1,1.08020864228544,0.1982041786979583,7.42244816836152e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CDH23,1.19012159463455,0.28747382706582486,2.7607423463614e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CDH4,1.15248485880866,0.18322125358079924,7.42424695467464e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
CDH6,-1.23245576710101,0.21347444865676987,3.04427888855384e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
CDK2AP1,1.06208015428211,0.2685175439969579,4.5567138251918e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CDK6,-1.15877233596814,0.2658965447966849,1.5201615906982e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CELF3,1.06506634255215,0.2998008450201419,0.00133612324120939,GSE278723_CA1,hippocampus_CA1,GSE278723
CEP57L1,-1.07065480028638,0.143571486104961,3.36165822873424e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
CERS1,1.44460127557718,0.3210906328920124,1.0312110738763e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CFAP99,1.16205802794539,0.3293594335720661,0.00142452008190246,GSE278723_CA1,hippocampus_CA1,GSE278723
CHADL,1.12350684635311,0.3029754624795395,8.8456354008462e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CHCHD10,1.22335065497585,0.23828801645211287,1.78017763850761e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CHORDC1,-1.72318284471384,0.3571641950295134,4.19389543382155e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CHPF,1.24007663452907,0.15827513852465158,1.27698802353877e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
CHST7,1.35143966015344,0.35206560943724075,6.2412914374903e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CIB2,1.23960373024269,0.29138780554014593,2.0208776939094e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
CIDEB,1.03647579575937,0.3139985108167108,0.00257474211567362,GSE278723_CA1,hippocampus_CA1,GSE278723
CITED4,1.45677297235188,0.3123836252071664,6.55121883103836e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
CKMT1B,-1.35192707956273,0.5491940849916962,0.0200609523134527,GSE278723_CA1,hippocampus_CA1,GSE278723
CLEC11A,1.48712370431603,0.4751057996511575,0.00398271314065123,GSE278723_CA1,hippocampus_CA1,GSE278723
CLEC2B,-1.42966382037919,0.33333967468581677,1.8373013341397e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
