SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
GPR89B,5,-1.2134078798326011,0.13498676907775703,1.1665594371556725,4,0.8835730998371424,0,0.13498676907775703,0.20021773452247868,0.23380394239224261,0.26313765549422313,0.999982337712459
GPX1,2,1.1090512639102776,0.25562326592222306,0.0012626527650904875,1,0.9716540744326063,0,0.25562326592222306,0.29145536588810067,0.31307328394661105,0.3332919620051826,0.999982337712459
GREM1,2,-1.149016083385165,0.3117079802786022,0.0011809123321710798,1,0.9725865673787099,0,0.3117079802786022,0.355401778920949,0.38176275021804856,0.40641748295062463,0.999982337712459
GRIK5,3,1.1086046815874955,0.11681605257889213,0.3051383738411671,2,0.8584994949652225,0,0.11681605257889213,0.14776191736771416,0.16520284585995784,0.18097065048309569,0.999982337712459
GRIN1,2,1.0322984376363142,0.18832935198257364,6.514887986376987e-4,1,0.9796367832621887,0,0.18832935198257364,0.2147284989553761,0.23065540797315845,0.24555143288301007,0.999982337712459
GRIN2D,2,1.1155681366362258,0.16870352215540127,0.6030766146929106,1,0.43740656008388956,0,0.16870352215540127,0.1923516100892565,0.206618773545525,0.21996248148033007,0.999982337712459
GRINA,2,1.1007232451641509,0.09760503386372782,0.08160191647460166,1,0.7751381673616593,0,0.09760503386372782,0.11128686097739163,0.11954126464660302,0.12726139430486008,0.999982337712459
GSTP1,3,1.1102807644184223,0.09614932488060701,0.38615819122874423,2,0.8244167638097845,0,0.09614932488060701,0.12162034484408611,0.1359756792591713,0.14895389360467096,0.999982337712459
GTPBP10,2,-1.1418883096189323,0.13687733094494817,0.31229614431598635,1,0.5762745856270682,0,0.13687733094494817,0.15606416899659167,0.1676398090845945,0.178466205022805,0.999982337712459
GTPBP6,3,1.0262746482680298,0.10489163250565296,0.004333834054234948,2,0.9978354290426983,0,0.10489163250565296,0.1326785864844871,0.14833916926894902,0.162497418340361,0.999982337712459
GUCY1A2,2,-1.0365716702299395,0.16020246088350468,0.020657675860030627,1,0.8857154306182902,0,0.16020246088350468,0.182658908939778,0.196207142351384,0.20887845366222538,0.999982337712459
GUF1,2,-1.043230713000756,0.11199032114585405,0.007330783875695088,1,0.9317685015744125,0,0.11199032114585405,0.12768861201946313,0.13715957146888177,0.14601751419469375,0.999982337712459
GYPC,4,1.1624129943807393,0.13934910490977093,0.316979427647738,3,0.9568041100473282,0,0.13934910490977093,0.1920794855636417,0.2203302807103142,0.24534941699824447,0.999982337712459
H2AFX,3,1.067493325248298,0.10034472946871849,0.3033677199568065,2,0.8592598842448549,0,0.10034472946871849,0.12692715852582725,0.14190887732732088,0.15545338644481413,0.999982337712459
H3F3A,3,-1.1526902353151756,0.12567024683579772,0.3651270513845748,2,0.83313171697815,0,0.12567024683579772,0.15896168564667565,0.1777245674619597,0.19468750924352796,0.999982337712459
HACD2,3,-1.072386672905094,0.23625722185453504,0.03258774301340584,2,0.9838381555676359,0,0.23625722185453504,0.2988443738896163,0.33411816735527267,0.3660081142655381,0.999982337712459
