"","LOAD1","LOAD2","LOAD3","LOAD4","CTRL1","CTRL2","CTRL3","CTRL4"
"CCDC138",3.2648305997226,3.26291865694158,3.3480086794764,3.4284105200232,3.34339890066786,3.40657955857609,3.19606668506116,2.95862801506015
"SH3RF3-AS1",1.82572234787289,2.1152709535808,2.39787767228261,2.14617527038835,0.99341465930676,2.24681656003817,2.16834135963164,2.27599963313502
"SH3RF3",4.21608769380022,4.39863127490883,4.65968984413666,4.33873451967151,4.1622216992528,4.39373484088803,4.3793083416811,3.88768566178109
"SEPTIN10",3.64994759489263,4.04284796665341,3.31804653446653,3.87893311817056,5.00540860408482,3.44048445253513,3.44210314170175,3.29209761979157
"SOWAHC",1.26217849352135,1.52622777147341,0.786314030446159,0.625574944243336,1.36008745599239,1.67561863508327,1.39503274576783,0.818506963426569
"LOC100506563",1.62372920870597,1.71009907700007,1.97392635494864,1.95089078310945,1.70827059566703,1.92443364804079,2.03771176027515,1.85148608856426
"RGPD5",6.25259013767219,6.25710956767891,6.69607153241024,6.23913784505867,6.88502530972996,6.57664180836128,6.17237466409215,6.20591840628952
"LINC01123",3.75884243762306,3.66601413074994,4.01485857656682,4.50224970349903,2.4414876753944,3.21494879806359,3.71696310155997,3.61323074899984
"NPHP1",2.66340254466984,2.94575743409219,2.98273963183804,2.83729339366662,2.60917715478859,2.48538121535007,2.29207686395779,2.55111484675983
"MTLN",2.83474526717042,2.44803994585367,1.91391877449244,1.94652755593319,2.08170505042116,1.98223833702418,2.90185825065052,2.99345406203375
"LINC01106",3.82398327912859,3.55102272794553,3.73571315237203,4.28962825177681,2.72582595592842,3.38798757898846,3.67514290924106,3.61642612838464
"RGPD6",6.41134360175238,6.40204247783465,6.8516488096511,6.36911863313674,6.97026320258274,6.71758775794827,6.3168157077452,6.38075543421137
"LOC105373553",1.09239141215325,0.421709775568866,0.50272141522968,1.11209659642364,0.838727944848932,1.03571183313035,1.24792814836536,1.01532375859906
"ACOXL",1.47543040431867,0.802118106806607,0.149396062097823,1.80427446181139,1.3424785164115,0.00385127269952108,-0.386793975997582,1.23079873598948
"BCL2L11",2.8808300157297,2.89522105563545,3.00060357768373,2.90181829585712,2.88634016017393,2.91076170540503,2.39870982057271,2.51732563370067
"MIR4435-2HG",3.74146272920297,3.19887994713627,2.81620609011935,3.68172573896242,2.63109962250712,2.51994535825926,2.54519604513691,3.59714682183407
"LOC101927283",0.523626232475058,1.12809073215312,1.62240970300923,1.73005782682969,0.500573410688615,0.00385127269952108,-0.312792908654981,1.46152043563075
"ANAPC1",5.24713748777993,5.10024601422808,5.10581974189962,5.20852362013894,5.39524924169009,5.14226722298053,5.17103189435375,5.12997337940272
"MERTK",4.50360606074802,5.25474016744831,5.0990989148243,4.05036487614974,4.04735719702795,5.36367544654123,4.16618771443265,4.05834679784361
