SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
DDX60L,4,-0.7524704150381226,0.08895631551394438,0.7789725957951441,3,0.8544896147412508,0,0.08895631551394438,0.1226178189850529,0.14065228464031806,0.15662375559419747,0.9999854128923323
DEAF1,4,0.7563359043952164,0.09730957822040262,0.9868747035183701,3,0.8044278485052604,0,0.09730957822040262,0.13413199702353665,0.15385995266339336,0.1713311922611911,0.9999854128923323
DEDD2,3,0.6158050761071595,0.11696884101453613,0.011477308815193233,2,0.9942777802170363,0,0.11696884101453613,0.14795518115042178,0.16541892133781932,0.1812073493097926,0.9999854128923323
DEF8,2,0.62675005215755,0.08425117768948644,0.20708629327691833,1,0.649060786155614,0,0.08425117768948644,0.09606112233721321,0.10318619778389998,0.10985009604689114,0.9999854128923323
DEGS1,2,-0.7984598782813744,0.15516556433434742,0.09288041997717061,1,0.7605467461616309,0,0.15516556433434742,0.17691596327566222,0.19003822913507365,0.2023111440426208,0.9999854128923323
DEGS2,5,1.2716768073078304,0.15786552823216618,1.3164397594474297,4,0.8585801741529946,0,0.15786552823216618,0.23415241832798972,0.27343111566181083,0.3077365675627114,0.9999854128923323
DENND1C,2,0.8701888383281848,0.20882883688311607,0.8119196190779103,1,0.36755332269440544,0,0.20882883688311607,0.23810150786616543,0.2557620469712671,0.2722794911368164,0.9999854128923323
DENND2C,2,-0.7959963501677946,0.16489766462112146,0.3338789394432232,1,0.563383905729333,0,0.16489766462112146,0.18801226485724226,0.20195756904916876,0.21500025036206294,0.9999854128923323
DENND4A,4,-0.6520274971770528,0.05653094909799466,0.22208680486544838,3,0.9739473554217019,0,0.05653094909799466,0.07792253583686891,0.08938327872035215,0.09953300677841594,0.9999854128923323
DENND6A,5,-0.6622809915447954,0.049691390000589586,0.566516134776295,4,0.9667108379728891,0,0.049691390000589586,0.07370424226881062,0.08606801217974122,0.09686635180868865,0.9999854128923323
DENND6B,4,0.802358364912621,0.06645281892307894,1.2444692389622205,3,0.7423596834940713,0,0.06645281892307894,0.09159888957495438,0.10507113236783355,0.1170022612719639,0.9999854128923323
DENR,5,-0.7194947362707936,0.065338632070435193,0.8049539877792954,4,0.9377826818761709,0,0.065338632070435193,0.09691285286193234,0.11316983044304302,0.12736844191233426,0.9999854128923323
DERA,2,-0.5949195357293756,0.11062199711540946,0.002097517434570745,1,0.9634707253186238,0,0.11062199711540946,0.1261284825863776,0.13548372363019287,0.14423343793261956,0.9999854128923323
DERL2,5,-0.802926958460904,0.06352622556022089,4.004604919678967,4,0.4053830003285556,0.1149906113419152,0.06352622556022089,0.0942246195781216,0.11003065028338324,0.12383541120748391,0.9999854128923323
DESI2,4,-0.6962875347848161,0.07344907012703449,0.2080252558868031,3,0.9762834662801608,0,0.07344907012703449,0.10124255634267368,0.11613317681143091,0.12932043263858456,0.9999854128923323
DEXI,3,0.9447743859830829,0.17877674591630363,0.17386046170665054,2,0.9167410536430128,0,0.17877674591630363,0.2261366839074902,0.25282849871176544,0.2769597438491995,0.9999854128923323
DFNB59,4,-0.7309344665697028,0.1281528104418504,0.49316785092212356,3,0.9203898207604821,0,0.1281528104418504,0.17664645868478426,0.20262738477402828,0.2256363063756562,0.9999854128923323
DGAT1,5,0.7275620664474918,0.06584767964735026,1.3620200602305772,4,0.8507685096709925,0,0.06584767964735026,0.09766789243588778,0.11405152670972975,0.12836075832111715,0.9999854128923323
DGCR2,4,0.8764205249137614,0.07358641556217092,1.312790886455425,3,0.7260980179190792,0,0.07358641556217092,0.10143187396005346,0.11635033901205995,0.12956225423090778,0.9999854128923323
DGCR6L,5,0.8564689697632017,0.08971619246431899,0.877830425167998,4,0.9277196366860514,0,0.08971619246431899,0.13307061816437316,0.15539300360982852,0.17488905546980338,0.9999854128923323
DGKE,3,-0.7877164342614932,0.1323790401876608,1.572394401338747,2,0.4555739617187173,0,0.1323790401876608,0.16744771258398874,0.18721223400732293,0.20508072721349307,0.9999854128923323
DGKH,2,-0.6972540306432319,0.16513844634901914,0.1316599520770773,1,0.716717114411687,0,0.16513844634901914,0.1882867982662041,0.20225246523553625,0.21531419132599083,0.9999854128923323
DGKI,4,-0.7770485901140581,0.12632238869050003,1.471785537342368,3,0.6887973540667277,0,0.12632238869050003,0.17412339641903427,0.1997332338675375,0.2224135163200939,0.9999854128923323
DGKQ,5,0.84650558868177,0.07355659690184214,2.7570782124693967,4,0.5992642489809115,0,0.07355659690184214,0.10910206453186945,0.12740376306585405,0.1433882045412535,0.9999854128923323
DGKZ,4,0.8296309729228564,0.09516350596298387,0.22625790697128684,3,0.9732430333201499,0,0.09516350596298387,0.1311738405613598,0.15046671448502213,0.1675526421403652,0.9999854128923323
DHCR7,2,0.7467412698719035,0.14871238208890272,1.1228728528576756e-4,1,0.9915453190198795,0,0.14871238208890272,0.1695582034657201,0.18213472727581,0.193897223799478,0.9999854128923323
DHFR,2,-0.7720883384165954,0.1781806757955724,0.015136098032956086,1,0.9020842521842842,0,0.1781806757955724,0.20315722776966846,0.21822586886171472,0.2323191780414258,0.9999854128923323
DHRS3,2,0.7092976418036308,0.15218593784445184,0.4986872659893278,1,0.48007749467437894,0,0.15218593784445184,0.17351866637590888,0.18638894687291152,0.19842618640671425,0.9999854128923323
DHRS4,2,0.8101951429071246,0.12616202152242728,0.030097702074173546,1,0.8622687294703983,0,0.12616202152242728,0.14384683652070013,0.15451628882398807,0.16449515083084726,0.9999854128923323
DHRS4L2,5,0.8965106844622568,0.11007151240528561,1.5171651915361506,4,0.8235965815183738,0,0.11007151240528561,0.16326243675448213,0.1906494519519026,0.2145688789272815,0.9999854128923323
DHX36,5,-0.7494123679660061,0.06478199890793529,2.223379095622657,4,0.6947514056056984,0,0.06478199890793529,0.09608723245841252,0.11220571352441544,0.1262833641202568,0.9999854128923323
DIAPH2,2,-0.6659289922869909,0.1585585027544639,0.1922329787576818,1,0.6610645906994158,0,0.1585585027544639,0.18078450828115372,0.19419371306405878,0.20673499450444638,0.9999854128923323
DICER1,2,-0.6129674015171437,0.09865653683386479,0.018344572783840468,1,0.8922623096414253,0,0.09865653683386479,0.11248575882336055,0.12082908751653128,0.128632386443259,0.9999854128923323
DIMT1,2,-0.7412449016856919,0.12893677922035407,0.24316379555634016,1,0.6219303352268529,0,0.12893677922035407,0.1470105470584809,0.15791465908387825,0.16811299224248302,0.9999854128923323
DIRAS1,2,0.8059286743881302,0.18385520803028113,0.5422773722474665,1,0.461490439067111,0,0.18385520803028113,0.20962718997261626,0.2251757231137205,0.2397178628800084,0.9999854128923323
DIS3,3,-0.6332691945658495,0.06071801589208306,0.4964714920135106,2,0.7801759982205829,0,0.06071801589208306,0.07680289009011315,0.08586824155496899,0.09406394574591799,0.9999854128923323
DIXDC1,3,-0.6052195356727291,0.08113313342280182,0.07164135607701554,2,0.9648132901832751,0,0.08113313342280182,0.10262619812895467,0.11473957764435219,0.12569090982885434,0.9999854128923323
