SYMBOL,metap,metafc,idx,k_valid,FDR
TPPP3,0.0020693291622273322,-0.04822469657194933,-0.12944330414196017,5,0.0029583523861137604
GABARAP,0.02892814216827465,-0.0840903206785341,-0.129388048947606,5,0.03532132276622505
MRO,0.174829186239597,0.17075185783637342,0.12932507750932995,5,0.1927975987836167
ZBTB48,0.02729686759124049,0.0826702110206964,0.12928688375149155,5,0.033446516971031834
ALDH3A2,9.662373946076139e-4,-0.042865019991103044,-0.1292344414175721,5,0.0014432029383537207
H6PD,0.008971554600781388,0.06308958251492688,0.1291527218704168,5,0.01172794619109374
TNS2-AS1,0.14732760902681016,0.15523561276818848,0.12911192105772284,3,0.1639145226135078
RGMB,0.0013966588816200123,-0.04521585793446148,-0.12908718926433135,5,0.002041009197040304
RBL2,1.565400893973187e-7,0.018963091416431693,0.12905093729687656,5,3.8591283986584843e-7
NTMT1,5.947333379445777e-4,0.039988102628026156,0.12898873156510174,5,9.151760262312717e-4
ASB16-AS1,0.14709311323100402,0.1548797980775044,0.12892313031114735,3,0.16367788900745747
ATG7,0.018047611255982875,0.07393386460562303,0.12890962777847936,5,0.022634530250109364
CD53,0.1950356717312938,0.18155682758311262,0.12888464094874874,5,0.21368370690887173
UXT,0.1445536309360548,0.1534088895625591,0.12885901762818724,5,0.16099529262361767
ACO1,0.040024390167602245,-0.09209967919053824,-0.12872544457769547,5,0.048026068809422645
TTC30B,0.04549589141463933,-0.09588876835470342,-0.1286853948810825,4,0.05414133708777161
LY6E,2.1199373821751099e-16,0.008204774619998245,0.1285989869799967,5,1.4807994436403247e-15
COA3,1.926411078024841e-20,-0.006522134751494802,-0.1285855238965125,5,2.1231539421608581e-19
GXYLT2,0.024208030831089775,0.07956740985339064,0.12858415968413267,5,0.029851864848885943
NBL1,0.003438354265847591,0.05214084215566008,0.12845675336819248,5,0.004758725418093139
BMAL1,0.20789949787306372,0.18825545439603025,0.12841781054070942,3,0.22699878982925223
HS3ST1,0.1194667265384572,0.13913600470612508,0.12838817077048703,5,0.134592842394835
TRPV5,0.28482578372333894,-0.23516397219002774,-0.1282632980790336,3,0.3051109569307815
MSTO2P,0.055930132157524945,0.10239316220632234,0.12823250207886233,3,0.06571137104292502
TOR1AIP1,0.0034148262581071725,0.05197077314886731,0.12819274029491468,5,0.004727906010002469
HUS1,0.002552751343125239,0.04943317895966943,0.12817981219960228,5,0.003598736890651105
TMEM41A,0.011553704538018574,-0.06614089929580479,-0.12813335823751346,5,0.014871605112347521
TMTC1,3.6364603934644735e-4,-0.03725462261822205,-0.12813061106608203,5,5.755683990541461e-4
TVP23A,0.0066723474116073475,0.05883728456672351,0.12801353616127287,5,0.008894290648755696
MMAB,0.038546138724767566,-0.09049180353874806,-0.12795714040119852,5,0.04635232623547913
ARHGAP19,1.7885588427223524e-5,0.026938663947309854,0.12789122000257325,5,3.375415739012476e-5
GPR19,0.09848171734256009,-0.12702311549293188,-0.12786710619242428,5,0.11213753007882647
PCDHB5,0.012418926593724915,0.06708624565925705,0.1278607449536453,5,0.015898047680232365
DUT,0.004059537615195732,-0.05344795595817397,-0.1278220389659192,5,0.0055640722371898405
TRIM39,0.00854943570853928,0.06179634305683074,0.12779870275457,5,0.011229924695562053
LINC02693,0.12219027199308066,-0.13996679282231406,-0.1277845546479538,3,0.1374137078879333
TRIM7,0.021808125440028546,-0.076862157334167,-0.12769737880792578,4,0.027063638473897856
RPS3A,4.024747414415189e-7,0.019964297992344022,0.1276769037285381,5,9.419314536605302e-7
INO80C,0.014406476148210078,-0.06931157510609627,-0.1276332618067778,5,0.018274092737939958
TMEM43,0.032959910059706755,0.08610429840705866,0.1276077741553079,4,0.04001627385201052
ZNF547,0.15015064889485083,0.15493356831647498,0.12758357723989866,4,0.16689458649097413
LIMS1,0.0034402716370226733,0.05174738248386797,0.1274748779577714,5,0.00476050124846491
PLPP5,6.687188156120484e-6,-0.02458468579679681,-0.12721976156951112,5,1.3337945975488251e-5
CIAO2A,0.06131148100422511,0.1048779792049361,0.12716016517149292,3,0.07165576466477912
ATCAY,9.675403706722057e-7,-0.02113584455227142,-0.12711796309339282,5,2.1612720988334048e-6
FBXW11,1.3177701534981746e-7,-0.018471978865175466,-0.12709017626241353,5,3.2793514214458055e-7
CAT,0.15167597323321405,0.15515776284244384,0.12708711840072642,5,0.16849019715857147
MAGED4,0.06855840834797278,0.10916821727413828,0.12706517550865992,4,0.07967254530552136
SKIDA1,0.015897043081244164,-0.07049443358470674,-0.1267971850215926,5,0.02005635515990554
RNF41,0.0037732899358220487,-0.052287267014198634,-0.12670667914295713,5,0.005197362380861146
MINDY2,0.017494174227319807,0.072108050438794,0.12670152791976627,3,0.02197899642838112
PIK3IP1,0.006163124435911148,-0.05722616962342957,-0.12648122651535143,5,0.008258762801951638
NOVA2,0.047213864019205375,-0.09534443642980348,-0.1264200919882822,5,0.05601259091063715
MYL12A,0.01687146251693796,0.07120174333931044,0.12622981619837714,5,0.021228627312804338
PAPPA,0.310004011798963,-0.24802391385690187,-0.1261530694656632,3,0.3302910228628173
PRDM1,0.04902063591864351,0.09628944763700394,0.12610268840184666,5,0.05800936269410783
DPY30,0.08115802430973054,-0.11558850341035239,-0.12606874354613107,5,0.09349678456741098
THAP7,6.7392971252343635e-6,0.024377648018738624,0.12606621294881667,5,1.3436523993477624e-5
BCL2L2-PABPN1,0.30612251544438296,-0.2448405679278925,-0.1258736932546363,4,0.3263176451736708
RASGEF1A,0.003068169942419078,0.0500797112111081,0.1258563533349532,5,0.004273573258388492
ZFR,0.006623039375667018,0.057732196037127446,0.12579514497128635,5,0.008831699748435427
SHISA8,0.006822107889919163,0.05804602346787166,0.12573241274223573,3,0.009082630734862665
COA6,0.05938637964345049,-0.10247177262677967,-0.12566248224513585,5,0.06953037554230054
NPIPB2,0.28323651224093677,0.22914396095324313,0.12553669364597927,3,0.30353846542790763
CFAP91,0.17755877785635046,-0.16712080948495078,-0.12545054802311714,3,0.19562090380929736
SLC9A9,5.7498295634733976e-5,-0.02957182458958757,-0.12539473938161577,5,1.0192571041249311e-4
RUSC1,0.007536009288359384,-0.05902211316918242,-0.12529559905190996,5,0.009984380885045253
HSBP1L1,0.017233436756562425,0.07090686740481834,0.12505334421258907,5,0.02166955261792248
PPIL6,7.77909056144178e-5,-0.030427376620405563,-0.12502825612807134,5,1.3554489659640463e-4
PALS2,0.08796980187767886,-0.11833290932602625,-0.12492007474845768,3,0.10087965591946811
HAUS4,0.11326723118432559,0.1319759580677319,0.12483549330921544,5,0.12797338606863704
