SYMBOL,max_loo_p,min_loo_p
MAS1,5.114109076767015e-7,7.143010852945398e-14
MCF2,2.8159818232031503e-6,2.798271148468789e-10
MCHR1,0.9948032405164048,1.552479858388806e-8
MCM7,8.465491819603666e-4,9.662168468583242e-10
MDGA1,1.4722402380870389e-7,2.4528154692443478e-14
MDH1,1.5704809862448473e-6,5.893719861237275e-11
MDH1B,2.3994012151819225e-5,4.820735983504029e-11
MEF2C,3.980603342430143e-4,4.086303255419126e-7
MFAP4,0.015352708728562167,1.1071865555421469e-4
MID1IP1,9.195711133058299e-6,7.015954795982563e-9
MKNK2,7.429082544241867e-4,4.573180738647465e-9
MLKL,0.9551020325437777,0.007644426509158607
MLLT11,1.2656505596423068e-4,1.1875614043844895e-7
MRGPRF,1.9009677622417365e-4,2.2243505130526661e-10
MSC,0.9602321905974074,1.3830875023432782e-6
MST1,0.0017037730846599674,2.914692835840517e-5
MSX1,7.068651981024321e-4,6.331002312836112e-6
MT1F,0.008356004801014916,1.3170397082246695e-16
NAP1L2,5.288834217436849e-6,1.244140469046341e-8
NAP1L3,1.2898205325993748e-6,3.497983217742571e-9
NAP1L5,3.0884199713843945e-11,2.295119252281593e-15
NAPB,6.518671048429408e-6,1.938910385828388e-11
NCALD,5.867036028514546e-6,4.1023782611116604e-10
NEAT1,0.004294654705978264,1.4760282128944415e-9
NECAB1,5.7849169977950987e-05,1.3890834752052926e-5
NEGR1,1.4569165577494062e-5,1.9024337715926044e-7
NEK10,1.757915525277286e-6,2.745457250227652e-11
NEUROD6,5.5255215921132164e-8,6.134304406510351e-15
NGEF,0.9903159369866837,1.0911586741092671e-4
NIPAL2,1.8747820379737665e-7,5.698403681588453e-16
NOS2,0.9332677681677327,2.5701168875849517e-9
NPNT,1.005961116936503e-5,1.1650817489172582e-8
NRN1,7.953337901794241e-7,4.87895976287649e-14
NUPR1,7.830552370776694e-8,2.8579112537341e-12
NWD1,1.9202936853913566e-5,8.96546487868998e-7
OLFM3,6.362620220711477e-6,2.744425328028047e-11
OPN3,2.1656681188247293e-5,2.956194032413097e-10
OTOGL,1.455331075762065e-4,2.4273772605057524e-10
PAK1,2.563603566394892e-5,5.759496439324889e-8
PAK3,7.060640115772499e-7,2.8041752743101236e-10
PART1,0.9704036183724438,3.8667030313643713e-13
PARVG,0.001595051833108343,9.676272267373399e-4
PCAT19,1.1882665138859732e-4,1.8095513262813915e-5
PCDH18,0.9187332057931719,6.345026817029155e-7
