study_id,SYMBOL,logFC,SE,P.Value
GSE278723,RPS11,1.2126447953065702,0.0772809598716566,1.732518457470614e-55
GSE278723,RPS12,0.6440827785071874,0.14354509606650276,7.224267858808416e-6
GSE278723,RPS14,0.6199991723386011,0.11332978440532068,4.4812939583970497e-8
GSE278723,RPS15,0.8654538775882804,0.10521469067468513,1.9421741467463237e-16
GSE278723,RPS15A,0.594057811203433,0.14979309619844514,7.313308530872953e-5
GSE278723,RPS16,0.730234029778403,0.15697844629400914,3.2903291923689587e-6
GSE278723,RPS18,1.1820739558195037,0.08688808085314459,3.7623487625311404e-42
GSE278723,RPS19BP1,0.6062182289500765,0.12650424817925152,1.650626735858614e-6
GSE278723,RPS2,1.0889851575267213,0.08779975780659814,2.5154934464373837e-35
GSE278723,RPS21,0.7727162915889002,0.10731597454638361,6.004295133173122e-13
GSE278723,RPS24,0.7932736190771922,0.07240879448534397,6.254093930587451e-28
GSE278723,RPS27L,-0.596076548233218,0.16203852723173978,2.345085365950851e-4
GSE278723,RPS5,1.053637203246812,0.10366249653828866,2.867233590975918e-24
GSE278723,RPS6KA3,-0.6467329966101537,0.06697935775163678,4.649448490717308e-22
GSE278723,RPS6KA4,0.8429822530831412,0.08074626521573924,1.6299678678499433e-25
GSE278723,RPS6KA5,-0.6673615589605917,0.09053458390433726,1.689163873625784e-13
GSE278723,RPS6KA6,-0.9358731184695552,0.1039624956138451,2.215894844346395e-19
GSE278723,RPS6KB1,-0.7057542392875641,0.07794431810951577,1.3707541583542336e-19
GSE278723,RPS6KC1,-0.7808851386740381,0.04856699440637054,3.609284203235083e-58
GSE278723,RPS9,0.748558023991254,0.09226447471938937,4.931311595365434e-16
GSE278723,RPTOR,0.7265076697586332,0.056295773395254836,4.207746284390835e-38
GSE278723,RPUSD1,0.9033468881039329,0.09290381287881898,2.3949228635991404e-22
GSE278723,RPUSD2,0.620354048557523,0.18424211198529533,7.597445129019846e-4
GSE278723,RRAGD,-0.595590033986334,0.15593413055041103,1.337237724668347e-4
GSE278723,RRAS,1.0463919954085366,0.10376398489132362,6.479478149491674e-24
GSE278723,RRBP1,0.720015473784726,0.11687614473042221,7.251567726794093e-10
GSE278723,RREB1,0.6206345383450174,0.11082980975351428,2.1449015326836484e-8
GSE278723,RRM2B,-0.832029380249121,0.07927444158621355,9.0542602875949e-26
GSE278723,RRN3,-0.593153738115847,0.10246754894054706,7.0933924429523215e-9
GSE278723,RRP15,-0.7372084842747255,0.06954541625186705,2.967424773644222e-26
GSE278723,RRS1,0.591906690433837,0.13937392017712774,2.167514943712757e-5
GSE278723,RSBN1,-0.7048988022863518,0.06617801680257446,1.7147594003022382e-26
GSE278723,RSF1,-0.6115207062983139,0.08112965698513873,4.7879887686391075e-14
GSE278723,RSG1,0.8286793072790304,0.10787467112790425,1.5678167967946575e-14
GSE278723,RSL24D1,-0.63425092977893,0.19314260163649358,0.001024001651145154
GSE278723,RSPH14,0.7624325268084351,0.22543558144899645,7.194923385748979e-4
GSE278723,RSPO2,-0.9579119513538179,0.42192325873575937,0.023186573887767997
GSE278723,RSPO3,-1.44071201592388,0.5642621395150333,0.010671759084482478
GSE278723,RSPO4,0.6937585483570295,0.12242471280037022,1.4547384069717208e-8
GSE278723,RTCA,-0.598409031954931,0.17008825742639808,4.3444121562227447e-4
