SYMBOL,K,K_used,Z,P,Dir,FDR
ST6GALNAC5,2,2,-5.78026348542352,7.458372282267171e-9,down,1.765526054037323e-8
YIF1B,1,1,5.778124276453864,7.5538006438618e-9,up,1.7876549849345275e-8
DNAH1,3,2,5.778064719822926,7.556474331976833e-9,up,1.78782718742908e-8
GABARAPL1,2,2,-5.776388935979738,7.632084017023007e-9,down,1.805251180854541e-8
OCA2,2,2,-5.773914765221018,7.745062635110597e-9,down,1.8315029711392808e-8
TAOK1,1,1,-5.773799008559101,7.750388088193106e-9,down,1.8322906681994356e-8
TUBB2A,3,3,-5.773622392790842,7.758520261375742e-9,down,1.8337413337087455e-8
LTV1,1,1,-5.770434213404215,7.906752886869831e-9,down,1.868295750300235e-8
LYNX1,2,1,5.7698687483374815,7.93332983156072e-9,up,1.8740936272190367e-8
GDF11,2,2,5.769634464872135,7.944366621705224e-9,up,1.8762184101184033e-8
RASL11B,1,1,-5.76893103229628,7.977594199425614e-9,down,1.883581544850247e-8
FKBP5,3,2,5.7679379396060755,8.024734408163194e-9,up,1.894224948812828e-8
COA5,1,1,-5.76561578828038,8.136022035142475e-9,down,1.9200008845839692e-8
RPE,1,1,-5.764261784296314,8.201602867183203e-9,down,1.934980111474373e-8
CGNL1,3,3,5.762334101041329,8.295857198432133e-9,up,1.9567147646212066e-8
GPRASP1,2,2,-5.761726308091229,8.325793083886247e-9,down,1.9632715878250244e-8
COL4A1,2,2,-5.759548416262241,8.43392660756502e-9,down,1.988259783004871e-8
LOXL3,2,2,5.759285233581542,8.447085879641653e-9,up,1.9908511538293448e-8
ADRBK2,1,1,-5.75815573543372,8.503788408008046e-9,down,2.0037010542285183e-8
TUBGCP6,1,1,5.757177898318483,8.553176038920746e-9,up,2.014821237681151e-8
MT1G,2,2,5.753608455384058,8.735835905533693e-9,up,2.057321826817176e-8
TMEM70,1,1,-5.752046067969335,8.816976391160863e-9,down,2.075898567544717e-8
CDH9,2,2,-5.7519487530036555,8.822054479603113e-9,down,2.076561990881727e-8
MRPS16,1,1,5.750442206682079,8.901032739308867e-9,up,2.0946154655745532e-8
ZBTB20,2,2,5.748852787274026,8.985100528403683e-9,up,2.1137571816700796e-8
CKMT1B,3,3,-5.748817479609872,8.986976762385251e-9,down,2.1137571816700796e-8
PWWP4,1,1,-5.746292793437209,9.122129392791427e-9,down,2.144996230652031e-8
GLIPR1,1,1,-5.746037871416727,9.135885308632677e-9,down,2.1476811241148517e-8
C4A,2,2,5.743791190546956,9.257994259876586e-9,up,2.1758299633022815e-8
CDH7,3,3,-5.74193866837637,9.35987249270234e-9,down,2.1992109613927466e-8
ZC2HC1A,2,2,-5.73884362781666,9.532518445499715e-9,down,2.2392034507493197e-8
MADCAM1,1,1,5.7387677885880635,9.536787487393266e-9,up,2.2396336054877794e-8
YIPF6,1,1,-5.738521656515125,9.550655236467812e-9,down,2.2423171392136417e-8
KIAA0040,1,1,-5.737993674409293,9.580469336922134e-9,down,2.2487422534058165e-8
SYPL1,1,1,-5.733587227783963,9.832846047119048e-9,down,2.3073909740710777e-8
BCL7B,1,1,5.731858339692197,9.933622192588057e-9,up,2.3304440011058858e-8
POU5F2,1,1,-5.73178639509041,9.93783749691492e-9,down,2.330837709577671e-8
XKR9,1,1,-5.73163214653396,9.946880930815795e-9,down,2.3323633259674503e-8
C15ORF39,1,1,5.7315371573518155,9.952454027845195e-9,up,2.3330746403116563e-8
ZNF768,2,2,5.731295341841147,9.966655253188387e-9,up,2.3358076992612683e-8
HES6,2,2,5.729938651803944,1.004669627541756e-8,up,2.3539657914374172e-8
SYAP1,1,1,-5.72987348438919,1.0050556660754215e-8,down,2.3542698633949257e-8
ARMCX5,3,3,-5.729534083771798,1.0070685383821077e-8,down,2.35838354884436e-8
ADCY7,1,1,5.72914974443816,1.0093526582399174e-8,up,2.363130191450082e-8
DGKB,2,2,-5.728933067185013,1.0106425849379517e-8,down,2.3655473701464874e-8
TMEM126B,1,1,-5.7284947695346915,1.0132567664058344e-8,down,2.3710621276032607e-8
KCNB2,2,2,-5.727586280678926,1.0186963020558562e-8,down,2.3831838367678e-8
TBC1D13,1,1,5.725930257148757,1.0286847793110329e-8,up,2.4059386628132536e-8
COX7C,1,1,5.723770161570445,1.0418567755479591e-8,up,2.4361257818679308e-8
GUCA1B,1,1,5.723446801012111,1.0438426417791486e-8,up,2.4401481806679486e-8
MIEF2,1,1,5.723002614524611,1.0465765395251345e-8,up,2.4459167307599622e-8
SPECC1L-ADORA2A,1,1,5.72289082985527,1.0472656518205298e-8,up,2.4469047668553425e-8
SNED1,2,2,5.719595911071856,1.0677768791905739e-8,up,2.4941943018367156e-8
LOC105374618,1,1,-5.718331749947867,1.0757496063657301e-8,down,2.512178859603956e-8
ZNF526,1,1,5.718197234192305,1.0766013591696468e-8,up,2.5135290182189438e-8
TREM2,1,1,5.716512314180115,1.087325940474755e-8,up,2.5379226156355623e-8
FAM50B,1,1,5.715849213702157,1.0915750097240136e-8,up,2.547193196427359e-8
TCF7,2,2,5.715180005886921,1.0958795731566638e-8,up,2.5565885318918918e-8
COL1A1,2,2,5.713321067038494,1.1079236159707528e-8,up,2.584030022828968e-8
SHTN1,1,1,-5.711987489710757,1.1166429889985288e-8,down,2.6037053654643363e-8
SLC46A3,1,1,-5.711614997241313,1.1190903600152641e-8,down,2.6087498445725023e-8
FAT4,3,3,-5.710933041914088,1.1235844959203728e-8,down,2.6185618376510563e-8
HEXB,1,1,-5.710416193202908,1.127002245694608e-8,down,2.625860925994513e-8
DCTN1-AS1,3,3,-5.709273460998419,1.1345946567386708e-8,down,2.6428806063534908e-8
RBPMS2,2,2,5.707486931018085,1.1465642141089894e-8,up,2.6700850278882855e-8
CRBN,1,1,-5.706733032645162,1.1516519873754048e-8,down,2.681253625954851e-8
CP,1,1,-5.706377512514606,1.1540588633072153e-8,down,2.6861765333679723e-8
ZNF135,1,1,5.706017964740091,1.1564979777156408e-8,up,2.69117196587477e-8
LINC01140,1,1,-5.705913022448769,1.1572108333270416e-8,down,2.692148879659542e-8
B4GAT1,1,1,-5.704711248394771,1.165404789677091e-8,down,2.7105250133578317e-8
HIP1,1,1,5.704630039452911,1.165960518910125e-8,up,2.7107312608984097e-8
ATAD3B,1,1,5.704612060083383,1.1660835901894541e-8,up,2.7107312608984097e-8
ZFHX2,2,2,5.704092765781778,1.1696436844379495e-8,up,2.7183193850066895e-8
DHX37,1,1,5.703893717484135,1.1710110859210183e-8,up,2.7208090152646418e-8
UBB,1,1,5.702720408609592,1.1791029840264982e-8,up,2.738917601580642e-8
NREP,1,1,-5.701545964536599,1.1872571150268344e-8,down,2.7571615560544812e-8
NCKAP1,1,1,-5.701487531303136,1.1876642430041181e-8,down,2.75741000770251e-8
SLC35B2,1,1,5.699399882381255,1.202299074381815e-8,up,2.790682566029746e-8
PILRB,2,2,5.699243197177952,1.2034045104131411e-8,up,2.7925428737472916e-8
BTBD19,1,1,5.6968274191910035,1.220573678797596e-8,up,2.83166928967513e-8
SLC9A1,1,1,5.695410747157143,1.2307525711496837e-8,up,2.8545629566150324e-8
HES1,1,1,5.69385002271935,1.2420619805247642e-8,up,2.8800664853813757e-8
CYP2C8,2,2,-5.6937466270127235,1.2428147681594755e-8,down,2.8810848536666923e-8
STMN1,3,3,-5.693492115113348,1.2446696685868282e-8,down,2.8846569740936408e-8
CLN6,1,1,5.690716845379881,1.2650714190654801e-8,up,2.9312007886392352e-8
SYTL2,2,2,-5.690652050279247,1.2655516056026042e-8,down,2.9315740294178327e-8
PNPLA8,1,1,-5.690551949040851,1.26629378864675e-8,down,2.9325538281567158e-8
GTF2H3,2,2,-5.688454925585323,1.281939383445074e-8,down,2.9680385876285017e-8
MLLT11,3,3,-5.688081092338126,1.2847481562364472e-8,down,2.9737922175218542e-8
TLR1,2,2,-5.6873740346478305,1.290076948436567e-8,down,2.9853745403744937e-8
MAGEE1,2,2,-5.6865661176276685,1.2961921638569637e-8,down,2.998770438014084e-8
LRRC66,1,1,-5.685141835128677,1.3070413763541586e-8,down,3.023109044452582e-8
TMEM222,1,1,5.684797787575753,1.30967529646231e-8,up,3.028438698363766e-8
RTKN2,2,2,-5.684349825364853,1.3131124840378134e-8,down,3.035622644905735e-8
ITPKA,1,1,5.683176843850424,1.3221542741349398e-8,up,3.055756306032124e-8
GOT1,3,3,-5.682041086444589,1.3309667505698918e-8,down,3.075349984277061e-8
EXOSC4,1,1,5.680774260164212,1.3408635329149453e-8,up,3.0974385911213484e-8
LMBRD1,1,1,-5.6780034688169465,1.3627595207635122e-8,down,3.147227681562188e-8
FCHO1,1,1,5.677697646469284,1.3651974405441554e-8,up,3.151308266052505e-8
GPER1,3,3,5.677695763620084,1.3652124631423717e-8,up,3.151308266052505e-8
CD164,1,1,-5.6775097812029465,1.3666971437564434e-8,down,3.1539428936675324e-8
ITM2C,1,1,5.676714064879158,1.3730670056464404e-8,up,3.1678469565228144e-8
MT1M,1,1,5.6763939278500795,1.3756378920121872e-8,up,3.172981499853368e-8
ACSBG1,1,1,5.676329698494012,1.3761542539995679e-8,up,3.173375786017578e-8
TPD52L1,2,2,5.676179951257096,1.3773588551402305e-8,up,3.175356537559171e-8
CHGB,3,3,-5.6751801967586735,1.3854273988463007e-8,down,3.193156425790508e-8
TMEM41B,1,1,-5.673752887808315,1.3970261518002326e-8,down,3.219081830094993e-8
COL23A1,1,1,5.67089419007802,1.4205411637483889e-8,up,3.272445253599912e-8
LINC02009,1,1,-5.670336760012078,1.4251710469252459e-8,down,3.2822878937333253e-8
LOC105377921,1,1,-5.669952735448889,1.4283691891639355e-8,down,3.288829007731598e-8
A2ML1,2,2,5.669100607278301,1.4354905986431917e-8,up,3.3043979277712356e-8
RSPO4,1,1,5.666817854727543,1.4547384069717208e-8,up,3.347866168549399e-8
SOX21,2,2,5.6666654512083845,1.4560323386505733e-8,up,3.350004782164492e-8
NDST3,2,2,-5.6661174709567685,1.4606940268427327e-8,down,3.359888839410162e-8
PTPRR,2,2,-5.665961393157012,1.4620244370489453e-8,down,3.3621072598669987e-8
ADAMTSL5,3,3,5.664871677282387,1.4713460499142504e-8,up,3.382696736877432e-8
