SYMBOL,m_regions,beta_pooled,se_pooled,Q,Q_df,Q_p,I2,se_rho0.0,se_rho0.3,se_rho0.5,se_rho0.7,Q_FDR
SMIM10L1,4,-0.7253930312060759,0.10033106354289982,0.9016981348448592,3,0.8250179907538473,0,0.10033106354289982,0.1382968271224393,0.15863734043132313,0.176651066133531,0.9999215838732118
SMIM13,5,-0.7878901798680115,0.07226707412960062,1.3965515681069325,4,0.8447941486568797,0,0.07226707412960062,0.10718939316535486,0.12517024410681468,0.1408744618884563,0.9999215838732118
SMIM14,5,-0.7353780794865235,0.05898192696553322,0.6120847413615402,4,0.9617113769830158,0,0.05898192696553322,0.08748433550555487,0.10215969423262035,0.1149769424387189,0.9999215838732118
SMIM15,3,-0.7404562403801072,0.09061612467446391,0.24470283190081046,2,0.8848373678959475,0,0.09061612467446391,0.11462133868363596,0.12815055248431814,0.14038189670482148,0.9999215838732118
SMIM17,2,-0.8356103936853182,0.21423665962132984,0.18256180858068,1,0.6691808438809534,0,0.21423665962132984,0.2442673744555691,0.26238525013528924,0.27933042933719093,0.9999215838732118
SMIM4,2,-0.843253080021224,0.17184421818637766,0.6711869086948921,1,0.4126381025040597,0,0.17184421818637766,0.19593255452148217,0.21046532490206324,0.2240574481041604,0.9999215838732118
SMIM8,4,-0.6889467990047413,0.102226613943822,0.08053972425991492,3,0.9940657641580011,0,0.102226613943822,0.14090966303627483,0.16163446877460283,0.1799885270096391,0.9999215838732118
SMN1,2,-0.8650245150928647,0.1869855801104238,0.4913917624263584,1,0.4833071271489264,0,0.1869855801104238,0.21319636328981137,0.22900963026442264,0.24379936871881747,0.9999215838732118
SMNDC1,3,-0.7941899285155026,0.08578252273644912,0.4834941945728116,2,0.7852547454975841,0,0.08578252273644912,0.10850726211294366,0.12131480706846474,0.1328937127815706,0.9999215838732118
SMO,5,0.9952473464755197,0.10919826201508197,1.2445331688691763,4,0.8707135014282522,0,0.10919826201508197,0.16196719710994534,0.18913693790834057,0.21286660053431367,0.9999215838732118
SMOX,5,0.9000482715775696,0.08763102136373493,2.0062233840100254,4,0.7346141566714398,0,0.08763102136373493,0.12997780961207575,0.15178138132114263,0.17082430869157703,0.9999215838732118
SMPD2,3,0.6555594181493346,0.10099671197209957,0.07169614031423098,2,0.9647868622651561,0,0.10099671197209957,0.12775185840793232,0.14283091982603235,0.15646343339585955,0.9999215838732118
