SYMBOL,logFC,SE,P.Value,acc,region,study_id
AGBL3,-0.726920761259387,0.19128399869411886,6.9182748571083e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGFG2,1.02526510667299,0.1916598159597562,9.80233919673561e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AGGF1,-0.641440394876814,0.12558779728501354,1.9153309908117e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AGO3,-0.803137953182382,0.20907732790208003,6.1954860477797e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGPAT1,0.69011402860442,0.17330457181657377,4.2387719657632e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGPAT2,0.622637997810251,0.2333392417725936,0.012381715859545,GSE278723_CA1,hippocampus_CA1,GSE278723
AGPAT3,0.713598784073834,0.16778833247841715,2.0273434908597e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGPS,-0.646771884579939,0.1329257020749581,3.74333114876115e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AGRN,0.701886250433803,0.20665973245406546,0.00201116649801064,GSE278723_CA1,hippocampus_CA1,GSE278723
AGT,1.36330373001097,0.1849435443674055,4.19910026980729e-8,GSE278723_CA1,hippocampus_CA1,GSE278723
AGTPBP1,-1.09597011513263,0.2908585893577169,7.5404233674975e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AGTRAP,0.738287254000181,0.24015611963187802,0.004585660610209,GSE278723_CA1,hippocampus_CA1,GSE278723
AHDC1,0.806412094585066,0.1693815656517375,5.00265440213904e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AHI1,-0.645352308080075,0.22930020462399006,0.00871687245912131,GSE278723_CA1,hippocampus_CA1,GSE278723
AHRR,0.710546688573881,0.3453924924143225,0.0488197157268241,GSE278723_CA1,hippocampus_CA1,GSE278723
AIFM3,1.06385725128952,0.2635635521438764,3.6582450585308e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AIP,0.825735974582848,0.12609807457815855,3.69820330167867e-7,GSE278723_CA1,hippocampus_CA1,GSE278723
AK1,0.861471309496334,0.17097712688874847,2.31882181357012e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AK8,1.0153167879655,0.33359434560161677,0.0049520175530658,GSE278723_CA1,hippocampus_CA1,GSE278723
AK9,-0.773006284905868,0.15854834698177592,3.64249008483613e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AKAP11,-0.677607574070174,0.1501619687271426,9.93639560090977e-5,GSE278723_CA1,hippocampus_CA1,GSE278723
AKAP17A,0.675883310656993,0.2060554112352819,0.00271626442850109,GSE278723_CA1,hippocampus_CA1,GSE278723
AKAP7,-0.805988959608636,0.14042511325913373,3.33962451831676e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
AKT1,0.690512615897146,0.17324950866003333,4.1980505142017e-4,GSE278723_CA1,hippocampus_CA1,GSE278723
AKT1S1,0.669005924609007,0.18529323910685397,0.00114658897557667,GSE278723_CA1,hippocampus_CA1,GSE278723
AKT3,-0.740146063549989,0.1361866917061213,7.74066533106857e-6,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH16A1,0.727266260508544,0.2106024282341875,0.00173383972830292,GSE278723_CA1,hippocampus_CA1,GSE278723
ALDH1A1,0.714843745665011,0.2534043267302179,0.0085798614742081,GSE278723_CA1,hippocampus_CA1,GSE278723
