SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR
CLDN15,3,0.8606854038369364,0.1268156521759993,6.7869020035669285,1.1456696978045799e-11,0.6121312928960192,1.1092395147778535,0,0,3.851400260704758e-11
NUPR1,4,0.7691780000933973,0.11353918952859735,6.774559544479247,1.2478583366991167e-11,0.5466452777834794,0.9917107224033153,0,0,4.150770888388641e-11
LAMB1,3,-0.8772282360344288,0.129546444579752,-6.771534632850424,1.2742344875097935e-11,-1.131134601735957,-0.6233218703329008,0,0,4.19435518805307e-11
RGS4,4,-1.192690383497791,0.17619727708445132,-6.769062514661534,1.2961953095210173e-11,-1.5380307007573402,-0.847350066238242,0,0,4.2226568846251697e-11
CSRNP1,3,0.6032862455266076,0.0892557099522873,6.759077327927832,1.388732654984523e-11,0.42834826860557124,0.7782242224476439,0,0,4.477954275256217e-11
PRX,4,0.7713616917615478,0.11430249075404121,6.74842417407493,1.4945947234042476e-11,0.5473329265404046,0.995390456982691,0,0,4.770625581775175e-11
COL6A2,3,0.769398290342571,0.11428653766404498,6.732186538053003,1.6713217553172167e-11,0.5454007926032625,0.9933957880818796,0,0,5.281376746802405e-11
BEX4,3,-0.6876251554061464,0.1023730435081318,-6.71685760081487,1.8568526464814434e-11,-0.8882726336698368,-0.48697767714245616,0,0,5.8095587751300605e-11
ISYNA1,3,0.6584159865076962,0.09826947928723444,6.700106597524495,2.082675576542458e-11,0.4658113463252119,0.8510206266901805,0,0,6.452210609680556e-11
ABRACL,3,-0.6323175565593301,0.09445639526074366,-6.694279988282837,2.167360952163908e-11,-0.8174486893798675,-0.4471864237387927,0,0,6.649379231881504e-11
RPH3A,4,-1.037486211588476,0.1553217086704486,-6.679595662894401,2.3960239465783903e-11,-1.3419111665997778,-0.7330612565771741,0.022265813258154885,22.5949279434785,7.25273776317124e-11
OTOGL,3,-0.7836503435068153,0.11733492497671678,-6.678747556725485,2.4099286871296844e-11,-1.0136225705898894,-0.5536781164237412,0,0,7.25273776317124e-11
HTR3B,3,-0.9615090044096977,0.14422722703334406,-6.666626157815578,2.617506975359977e-11,-1.2441891749851337,-0.6788288338342616,0.011069267681359013,16.190702513962442,7.803134002016534e-11
SLC27A2,3,-0.940894779756195,0.1414584934947614,-6.651384137574171,2.9034937328766068e-11,-1.2181483323132207,-0.6636412271991692,0,0,8.574803921392595e-11
OPN3,4,-0.6883535460743788,0.10381511390758327,-6.630571601425536,3.3438941879262895e-11,-0.8918274303841653,-0.48487966176459235,0,0,9.78398669800655e-11
ZDHHC23,3,-0.6856019058632215,0.10357306934860132,-6.619499742309028,3.604164716394659e-11,-0.8886013915547494,-0.4826024201716935,0,0,1.0448771104410204e-10
SERPINI1,4,-0.7576301223018119,0.11449733488726213,-6.617010981502754,3.665342775701354e-11,-0.9820407750066671,-0.5332194695969568,0,0,1.0529530155651163e-10
