"SYMBOL","k","meta_logFC","meta_se","meta_z","meta_p","ci_lb","ci_ub","tau2","I2","meta_FDR"
"COL25A1",4,-0.853063947021886,0.116726794107247,-7.30821019754989,2.70724070327349e-13,-1.08184425950291,-0.624283634540861,0,0,1.16024601568864e-12
"RAB3C",4,-0.895572466345232,0.123081230942015,-7.27627160933371,3.43172325325808e-13,-1.13680724616444,-0.654337686526025,0.0125367315043655,19.7418084233519,1.45188291483996e-12
"SERPINI1",4,-0.756026026917372,0.105737347602672,-7.15003774974839,8.67540397057819e-13,-0.963267420039402,-0.548784633795342,0,0,3.40819441701286e-12
"STAT4",4,-1.03043682814624,0.144569293299094,-7.1276327402003,1.02109785131436e-12,-1.31378743628288,-0.747086220009612,0,0,3.87312978084757e-12
"SCG2",4,-0.775117544172316,0.110413597667783,-7.02012759791167,2.21665717087371e-12,-0.991524219004665,-0.558710869339966,0,0,7.61975902487839e-12
"TMPRSS5",4,0.828100043720759,0.117775683624991,7.03116312495805,2.04818870801834e-12,0.597263945561193,1.05893614188032,0,0,7.19044971963885e-12
"RGS4",4,-1.19269038349779,0.176197277084451,-6.76906251466153,1.29619530952102e-11,-1.53803070075734,-0.847350066238242,0,0,3.78534913399943e-11
"PRX",4,0.771361691761548,0.114302490754041,6.74842417407493,1.49459472340425e-11,0.547332926540405,0.995390456982691,0,0,4.28883703237741e-11
"RAB3B",4,-0.767332660078925,0.114227015930873,-6.71761101194565,1.84728025430293e-11,-0.991213497364919,-0.54345182279293,0,0,5.21027764034159e-11
"NCALD",4,-0.798411931642266,0.119405234324217,-6.68657396939876,2.28455698930487e-11,-1.0324418904833,-0.564381972801235,0,0,6.17953939730006e-11
"OPN3",4,-0.688353546074379,0.103815113907583,-6.63057160142554,3.34389418792629e-11,-0.891827430384165,-0.484879661764592,0,0,8.62020359676569e-11
"CLDN9",4,0.887429232055771,0.141164883134657,6.28647304024791,3.24759382856778e-10,0.610751145230037,1.1641073188815,0.0161204521638864,19.6817850625974,7.09739048627397e-10
"TRIM36",4,-0.663361395236331,0.108366027576511,-6.12148853355327,9.27051912296499e-10,-0.875754906433968,-0.450967884038695,0,0,1.854103824593e-09
"GAD2",4,-0.958926714119083,0.158092947348844,-6.06558818846701,1.31471605548536e-09,-1.2687831971326,-0.649070231105562,0,0,2.53717133514719e-09
"MRGPRF",4,0.977995209180175,0.161662836891675,6.04959821307292,1.45207520283565e-09,0.661141871233919,1.29484854712643,0.0344150653935387,32.6773782951222,2.75393572951589e-09
"GAD1",4,-0.803662107368801,0.133548400294919,-6.01775914645212,1.76848059249657e-09,-1.06541216213978,-0.54191205259782,0,0,3.31590111093108e-09
