SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
NAF1,3,-0.3772333579548192,0.11586162238511102,-3.255895698585489,0.00113035266955462,-0.6043179650200166,-0.15014875088962193,0.03315993431243864,82.56049164842987,0.00235630730618602,-7.7435613808022685,9.667008676901798e-15,6.750455275366312e-14,down,4.716597439111477e-15,1.537086698768218e-14,0.02024501743084366,4.53513730979034e-6,3,down,"[-0.604, -0.150]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RRAS,3,0.7065885071327312,0.2174583581989076,3.2493048921413257,0.00115687408770699,0.28037795692566203,1.1327990573398004,0.10760321451495192,82.3640564043759,0.00240817012011683,8.105786062637797,5.240558706828774e-16,4.549890418462197e-15,up,4.923214522876837e-18,2.3177830169498815e-17,0.01634246457936541,1.4953353656044714e-17,3,up,"[0.280, 1.133]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
COPS8,3,-0.522401480189005,0.1611330658415005,-3.242050149426613,0.00118673137597079,-0.8382164859568672,-0.2065864744211429,0.06261421993346687,84.31018110457767,0.00246637274653487,-8.667513515858559,4.4165922913640814e-18,3.4606996783537753e-16,down,3.660798092134345e-19,2.076812534667318e-18,0.01185824913168697,1.0227078592376753e-8,3,down,"[-0.838, -0.207]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HSPB2,3,0.6615876897464451,0.2040740629292454,3.241899927164308,0.0011873570808412,0.2616098762263636,1.0615655032665263,0.10729590318935356,87.20886082396171,0.00246637274653487,8.817752960768257,1.1677955065580959e-18,1.1188153290013794e-16,up,1.1389577911056661e-23,1.1559042219075843e-22,0.01527260254544533,5.602785552873429e-7,3,up,"[0.262, 1.062]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SEC61A2,4,-0.4298623281979503,0.13279622294308624,-3.2370071879392275,0.00120790369232007,-0.6901381424493509,-0.16958651394654967,0.0521111280862088,79.78989746546074,0.00250550320337678,-7.078682483134358,1.455313978357699e-12,6.958819645670531e-12,down,8.528576806552268e-12,1.857039032933764e-11,0.0154319601885429,3.703577293497597e-4,4,down,"[-0.690, -0.170]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BPNT1,3,-0.3089537570847634,0.0955515551809328,-3.233372355894578,0.00122337992717767,-0.4962313639061833,-0.12167615026334357,0.01411706234459944,48.75446778834908,0.00253581153810043,-5.6242117111357075,1.8635698741927777e-8,5.2930136699978116e-8,down,1.7581448127570818e-7,2.3186325250973562e-7,0.0442335535953215,1.4685972059767726e-4,3,down,"[-0.496, -0.122]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BRD4,3,0.3303884971391524,0.10236346491780549,3.2276017366591057,0.00124832641728729,0.12975979256752437,0.5310172017107805,0.02477703543405246,83.32609959626369,0.00258514825567977,8.210508571816638,2.2025358218292042e-16,2.0390703913993226e-15,up,7.604287833816206e-19,4.0699591636100236e-18,0.01789235291739367,2.8825031707774366e-18,3,up,"[0.130, 0.531]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RINT1,3,-0.38225931793851425,0.11843967450826104,-3.2274600510815494,0.00124894479314634,-0.6143968143153526,-0.15012182156167592,0.03318527530484078,81.61670264064503,0.00258514825567977,-7.852829158648496,4.067555762126308e-15,3.0347079903749055e-14,down,6.100179676942666e-17,2.5235299002077347e-16,0.02252170285026874,8.70353972119446e-17,3,down,"[-0.614, -0.150]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CIITA,3,0.5319497279049964,0.1653491805289974,3.217129508614093,0.00129480136953545,0.20787128919494996,0.8560281666150429,0.060205512286503,74.61648769401037,0.00267817518818581,6.734791929388578,1.6416468583169835e-11,6.888643558056169e-11,up,1.1105197665732991e-10,2.1219247396478737e-10,0.03621542448568416,5.767684904258793e-7,3,up,"[0.208, 0.856]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RAB11A,3,-0.5661388433205522,0.1763268695006773,-3.2107349544839368,0.00132395986581074,-0.9117331570485738,-0.22054452959253065,0.08059849708226915,88.00671323820653,0.00273655693194002,-9.453656622389044,3.271962521116425e-21,1.3789111241018491e-18,down,8.105327156716376e-22,6.6590825071846305e-21,0.02168814228780695,1.3604050451045147e-9,3,down,"[-0.912, -0.221]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
