SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
FTL,5,0.4936354174567877,0.1718200166085762,2.872979686536408,0.00406620260562237,0.1568743730809044,0.8303964618326709,0.1187942037351184,83.41214695223346,0.02211182999989184,6.905572064539858,5.0001517294991986e-12,1.1378737771901047e-10,up,1.0657211683463973e-13,5.493660871582337e-13,0.02182728655561321,0.0013948958664944,5,up,"[0.157, 0.830]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
VPS50,5,-0.4440618555097603,0.1546574147583922,-2.871261337217355,0.00408837373208623,-0.7471848183782824,-0.14093889264123827,0.10396064740217446,90.46789427919636,0.02221157368525024,-8.320712713597294,8.743594315871875e-17,1.6720973656168662e-14,down,3.05973817495426e-42,3.7341243694502756e-40,0.01430106787711194,5.1931628119750837e-8,5,down,"[-0.747, -0.141]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
PANK1,5,-0.347860778295092,0.12121995087413112,-2.8696660556833065,0.00410905511684648,-0.5854475162161036,-0.1102740403740804,0.04769257742764584,72.56884781840421,0.02230062828219974,-6.789232557944835,1.1273159767246039e-11,2.269308920459196e-10,down,4.4416520067515064e-12,1.9065953180825522e-11,0.03252144916547461,1.3666099053856438e-4,5,down,"[-0.585, -0.110]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GPSM1,5,0.408724835540546,0.1425391529334431,2.867456604932927,0.00413785545991568,0.12935322940415078,0.6880964416769413,0.08131115563183695,84.35301384966658,0.02243979346415982,7.316662210574165,2.542146860625189e-13,8.98238957998213e-12,up,2.7066480741845253e-18,2.3363711467270794e-17,0.01742479618430342,3.432418362287733e-6,5,up,"[0.129, 0.688]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LMO7,5,-0.31893576393886613,0.11123264273380988,-2.8672856825141637,0.00414009106021059,-0.5369477376023444,-0.10092379027538788,0.02637321559366756,44.06630977598964,0.02244380892192896,-3.88840754709668,1.0090409224963411e-4,2.770192815935365e-4,down,4.25295019688029e-4,6.666774791705308e-4,0.02360685415575148,0.0053997663266925,5,down,"[-0.537, -0.101]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LIG4,5,-0.49139843533345784,0.17141516121269623,-2.8667151251791454,0.00414756167092416,-0.8273659777144696,-0.15543089295244605,0.11641382609568487,89.06358914878209,0.02247619070117065,-8.01048530511378,1.1425666841625852e-15,9.768273051540597e-14,down,1.1329914471104643e-24,1.9661658511647607e-23,0.02303961129639553,8.050842128804912e-5,5,down,"[-0.827, -0.155]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
MAP7D2,5,-0.4160699129789784,0.14522355329824452,-2.8650305238331333,0.00416969047699839,-0.7007028471504706,-0.13143697880748623,0.05250142179635012,53.46165535944149,0.02256352694672779,-4.253181412044932,2.1075470205574276e-5,6.657967337367407e-5,down,1.341050472296601e-4,2.2605849118073303e-4,0.01956703345973554,0.00623861241492009,5,down,"[-0.701, -0.131]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
DUSP1,5,0.43678148495196334,0.15247080781695685,2.8646892556398407,0.00417418637869256,0.13794419293699983,0.7356187769669269,0.07480093500114943,69.45277464813105,0.02257715928035178,5.354451888483636,8.581614993233573e-8,4.923362854407503e-7,up,4.899390071778255e-8,1.2882246342172606e-7,0.03342972464706381,0.00131119934951378,5,up,"[0.138, 0.736]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CXCR4,4,0.780973070346653,0.2727147888795283,2.8636990078731945,0.0041872569091232,0.24646190609133312,1.3154842346019728,0.2085391191146536,75.03352996319458,0.02263410639641644,5.66762021667526,1.4479446169681513e-8,1.040087004761867e-7,up,2.5915138542489022e-8,7.076808161930192e-8,0.04334480195118551,5.247677262960804e-10,4,up,"[0.246, 1.315]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
GABRG2,5,-0.558418061014244,0.19516388944577473,-2.861277578552243,0.00421937450582343,-0.9409322554107192,-0.17590386661776874,0.12525112957534884,71.07501279124433,0.02277818107487475,-5.064377512010967,4.0973698213674963e-7,1.935993920148088e-6,down,3.466003688429188e-6,7.1764047734736836e-6,0.02874121172750101,2.677575104925124e-6,5,down,"[-0.941, -0.176]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
ZRANB2,5,-0.3506793813699679,0.12262566440120118,-2.859755199552932,0.0042396814287011,-0.5910212671766176,-0.1103374955633182,0.05788428824541249,82.4604716707402,0.02286807686893001,-7.04210867813383,1.8935204127806885e-12,4.914361728456166e-11,down,3.806019324015345e-15,2.345326603973495e-14,0.02147969776995896,6.302154526675705e-4,5,down,"[-0.591, -0.110]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
LYG1,3,0.7048963736144548,0.2466021143463437,2.8584360498404062,0.00425734912532786,0.22156511098419307,1.1882276362447164,0.1324664609895906,75.31776689390165,0.02294688248484614,6.30004986203778,2.975499099831569e-10,3.790378561029988e-9,up,7.10231863317536e-11,2.6376275359375387e-10,0.04577628101835947,7.891842442998773e-6,3,up,"[0.222, 1.188]",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RHOQ,5,0.3378844373389566,0.11825241372622756,2.857315353589406,0.00427241131612479,0.1061139653506207,0.5696549093272926,0.04461440085658148,70.06274439567308,0.02300328775694019,5.297315088031601,1.175178116826122e-7,6.427510819098415e-7,up,2.331728107523701e-7,5.622742268600526e-7,0.04296466231698698,3.524130440294867e-5,5,up,"[0.106, 0.570]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SCN3B,5,-0.3305188671908518,0.11571793130478536,-2.856245902982052,0.00428682980819199,-0.5573218449137112,-0.1037158894679924,0.03033078653247677,47.00755844383976,0.02306437356658425,-4.008037487102237,6.122540357530544e-5,1.758133592393617e-4,down,4.897912798185906e-4,7.615762276110278e-4,0.03252884813995933,0.00538948231078646,5,down,"[-0.557, -0.104]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
RAB3GAP2,5,-0.32033163083644695,0.11228474529872472,-2.8528508479422547,0.00433289529998002,-0.5404056876352006,-0.10025757403769334,0.04807969358160127,83.57017623204908,0.02327884443378675,-6.968154724647205,3.211249544198459e-12,7.787369445280377e-11,down,7.907329758791086e-14,4.156054867269362e-13,0.02155424110136865,6.505627668515606e-6,5,down,"[-0.540, -0.100]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
SLC25A41,5,0.4233465602446349,0.14840966488077514,2.8525538453626336,0.00433694642310973,0.1324689621206568,0.7142241583686131,0.06012455065817049,58.6361253216621,0.02329227290064406,4.452870314767199,8.472993430898106e-6,2.901660851193993e-5,up,9.286279602959695e-5,1.6026252370663144e-4,0.03224709808534438,8.832145244240295e-7,5,up,"[0.132, 0.714]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
TGIF1,5,0.3258489650644562,0.11424770347521458,2.8521270463449393,0.00434277398615153,0.10192758093662407,0.5497703491922883,0.03120872505402625,52.92167467739687,0.02331522900791156,4.284675833278185,1.8300582542143824e-5,5.8646332500555274e-5,up,1.1501797072079648e-4,1.957522401915959e-4,0.02908379654924202,1.2120760334897356e-6,5,up,"[0.102, 0.550]",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
