Specification,Gene,Datasets contributing (k),Pooled log2FC,SE,95% CI,Z,Pooled P (raw),Pooled P (FDR),Direction,Direction matches primary,I2 (%),Max raw LOO P
Sensitivity analysis 1 (no screening),GAD1,5,-0.6058691078853179,0.10614977527388823,"[-0.814, -0.398]",-5.7076814936447215,1.1452547349222568e-8,3.530065467334291e-7,down,TRUE,6.738769629899633,5.452394244207583e-6
Sensitivity analysis 1 (no screening),CHML,5,-0.6214099693260506,0.11152465838239556,"[-0.840, -0.403]",-5.571951336496016,2.519017921450157e-8,7.094367358140395e-7,down,TRUE,51.883267883782,0.00140646769684476
Sensitivity analysis 1 (no screening),SERPINI1,5,-0.574607673475597,0.12002852275625524,"[-0.810, -0.339]",-4.787259397022376,1.6907424608806333e-6,2.9273050842305866e-5,down,TRUE,43.866173537904565,4.027596851756039e-4
Sensitivity analysis 1 (no screening),NEUROD6,5,-1.036559529951656,0.23291766950613255,"[-1.493, -0.580]",-4.450325869005676,8.574008968867906e-6,1.18840672790098e-4,down,TRUE,61.93523820036755,4.2798305498078e-4
Sensitivity analysis 1 (no screening),COL25A1,5,-0.7187631436886521,0.16997438266085205,"[-1.052, -0.386]",-4.22865570938882,2.3509178440428132e-5,2.887858245247682e-4,down,TRUE,58.29674171444876,0.0023999510359084
Sensitivity analysis 1 (no screening),MRGPRF,4,0.8877142342413,0.22815031957390905,"[0.441, 1.335]",3.890918215232769,9.986559171390934e-5,0.00101909068471617,up,TRUE,73.06909183237916,0.00882528899301787
Sensitivity analysis 1 (no screening),NAP1L5,5,-0.6780048160752851,0.1761127830396773,"[-1.023, -0.333]",-3.849833069315213,1.1819835356224088e-4,0.00116653729409216,down,TRUE,71.9355721825282,0.0052160422623053
Sensitivity analysis 1 (no screening),RPH3A,5,-0.8194092759555138,0.2133547770853707,"[-1.238, -0.401]",-3.8405949337034975,1.2273649557485543e-4,0.00120260935709801,down,TRUE,77.2816985354114,0.00262701452613663
Sensitivity analysis 1 (no screening),TCEA3,5,0.526767325368673,0.14336146535436625,"[0.246, 0.808]",3.6743997005512585,2.3840927268211623e-4,0.00210144544464547,up,TRUE,75.20132860020219,0.00539498159301221
Sensitivity analysis 1 (no screening),ADAM33,5,0.7144998934826488,0.19870791311081543,"[0.325, 1.104]",3.5957294417569896,3.2348387137487493e-4,0.00270380315379406,up,TRUE,76.90945518920793,0.00796839534254343
Sensitivity analysis 1 (no screening),MAS1,5,-1.1880540359350722,0.35130371564940915,"[-1.877, -0.500]",-3.381843069148507,7.200126432522237e-4,0.00520621858760073,down,TRUE,81.21828905960315,0.0074058678043234
Sensitivity analysis 1 (no screening),NRN1,5,-0.6664276338106464,0.20108066268892244,"[-1.061, -0.272]",-3.314230343678691,9.189576986895532e-4,0.00643398974581571,down,TRUE,80.54001610810478,0.00717556111272623
Sensitivity analysis 1 (no screening),STAT4,5,-0.7327128917620804,0.23596517660263483,"[-1.195, -0.270]",-3.105173832476003,0.00190167227162022,0.01177640365894853,down,TRUE,75.34697472306603,0.01830050565620207
Sensitivity analysis 1 (no screening),RGS4,5,-0.8054123658694236,0.261100652857786,"[-1.317, -0.294]",-3.0846815473422367,0.00203770204686711,0.0124493062374938,down,TRUE,73.38338616296086,0.01516415254226145
Sensitivity analysis 1 (no screening),NCALD,5,-0.4978246429361609,0.17103933046904168,"[-0.833, -0.163]",-2.9105857791361487,0.00360751926653464,0.02006390207852965,down,TRUE,70.647619615325155,0.0219249113603722
Sensitivity analysis 1 (no screening),OPN3,5,-0.4459851391554298,0.16624987423715382,"[-0.772, -0.120]",-2.682619407694928,0.00730480690537137,0.03579903899984645,down,TRUE,68.41756368425403,0.04990223375126097
Sensitivity analysis 2 (FDR),PRELP,3,0.749016939299215,0.08435647444970715,"[0.584, 0.914]",8.879187331919313,6.735059906933256e-19,1.0439342855746547e-17,up,TRUE,0,2.6838183529377166e-10
