SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
ELOVL4,4,-0.7198293304259896,0.0914834924869776,-7.868406756863323,3.591861127133362e-15,-0.8991336808804063,-0.5405249799715729,0,0,2.9869160951951116e-14,-7.629376757116204,2.358913162264502e-14,1.0084215659010825e-13,down,2.8397335838411853e-13,1.2292545376627597e-12,4.586018912330035e-9,9.511441744618365e-14,4,down,"[-0.899, -0.541]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCL6,3,0.6801210344433749,0.08663753859969733,7.850188791556353,4.154114568311224e-15,0.5103145790787694,0.8499274898079804,0,0,3.3658979579137096e-14,7.313756028436424,2.597766220759302e-13,9.95374151841736e-13,up,1.822816506273622e-13,8.470735529153892e-13,1.9924649764140483e-6,4.6830591236606007e-14,3,up,"[0.510, 0.850]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MAS1,4,-1.4811856625824589,0.18881139392868793,-7.84478961657307,4.336799207672449e-15,-1.8512491945534917,-1.1111221306114256,0,0,3.4260713740612344e-14,-7.289353904688504,3.114449519984547e-13,1.184399198704123e-12,down,7.285918957640144e-13,2.708647518369747e-12,5.114109076767015e-7,7.143010852945399e-14,4,down,"[-1.851, -1.111]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CCDC102A,4,0.8439793924956507,0.10782319570476225,7.827438122003042,4.979115620608477e-15,0.6326498122163029,1.0553089727749985,0,0,3.8375622832006796e-14,7.910130396960657,2.5711943541768444e-15,1.2084083867441843e-14,up,1.860042726077365e-13,8.475153728619826e-13,1.2247061695901605e-7,2.1007217029096874e-13,4,up,"[0.633, 1.055]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PYGM,3,0.8933187464749699,0.1144675429412577,7.804122666749316,5.99168922103405e-15,0.6689664849113127,1.117671008038627,0,0,4.5080328424922855e-14,7.523388229539031,5.337463063519258e-14,2.194370512645958e-13,up,1.499007108714367e-13,7.069943975428955e-13,1.4529168004872378e-6,1.4604283500423142e-12,3,up,"[0.669, 1.118]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NAP1L5,4,-0.8773199621915397,0.1126005778945539,-7.791433921530279,6.6252959411411375e-15,-1.0980130395032623,-0.6566268848798171,0,0,4.8688221334897673e-14,-7.661592933752239,1.8364091774291886e-14,7.954867851160988e-14,down,6.405967685153794e-13,2.451298801332022e-12,4.505147352694848e-9,3.538363342340457e-13,4,down,"[-1.098, -0.657]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PIK3R5,4,0.7938203577405716,0.10248268291634911,7.745897503371595,9.490904819139948e-15,0.592957990185489,0.9946827252956542,0,0,6.816195279200509e-14,7.472995132089272,7.83897486233342e-14,3.162967443347353e-13,up,1.2912003890035692e-12,4.4837288233530536e-12,4.97699233103111e-9,1.675091942021313e-13,4,up,"[0.593, 0.995]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZNF441,3,-0.7405301316279255,0.0960499221556382,-7.7098462446224465,1.2596941024146264e-14,-0.928784519770852,-0.5522757434849989,0,0,8.845851919178268e-14,-7.532309988341399,4.9850437954435666e-14,2.057824275034529e-13,down,4.1798571636646813e-13,1.7379406101553149e-12,5.679256958060289e-8,1.4651964526564578e-12,3,down,"[-0.929, -0.552]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FGF12,3,-0.835800792732646,0.1086406528327649,-7.69326003608639,1.4343258455393872e-14,-1.0487325595417845,-0.6228690259235073,0,0,9.853194938922749e-14,-7.553574277814448,4.2347282009111124e-14,1.761639211017125e-13,down,4.616079009521078e-13,1.870103803857257e-12,4.023338695857148e-8,2.894145568237732e-12,3,down,"[-1.049, -0.623]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FOXO4,3,0.9370531626606716,0.12187259547643269,7.688793030110497,1.4852950752326605e-14,0.6981872648244446,1.175919060496899,0,0,9.986239229223847e-14,7.480362557777044,7.411784731854642e-14,3.002545905354518e-13,up,4.502999626522391e-13,1.847984262313085e-12,5.432488311950427e-7,5.100083422761518e-12,3,up,"[0.698, 1.176]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
