Specification,Gene,Datasets eligible after screening,Retained,Datasets passing P alone,Datasets lost to magnitude gate,Stage,Failed gate,Pooled log2FC,Pooled P (FDR),I2 (%),Max raw LOO P
Sensitivity analysis 3a,NEUROD6,4,TRUE,5,1,retained,NA,-1.2848436144124895,2.9137945930924165e-14,0,9.724585063187964e-7
Sensitivity analysis 3b,HSPB7,3,TRUE,3,0,retained,NA,0.8787884982191716,7.412162868641122e-12,0,1.0778377225357809e-6
Sensitivity analysis 3b,MRGPRF,3,TRUE,3,0,retained,NA,1.0697407089422342,2.6372638204847718e-9,27.22727415914811,0.00112726399115941
Sensitivity analysis 3b,STAT4,3,TRUE,3,0,retained,NA,-1.0518699015540829,6.836865011694244e-11,0,7.236932633408088e-5
Sensitivity analysis 3b,TRIM36,3,TRUE,3,0,retained,NA,-0.6562236840348249,3.1379190698372895e-8,0,1.0737560355064964e-4
Sensitivity analysis 3b,ADAM33,4,TRUE,4,0,retained,NA,0.8419531791290962,1.8635787194834405e-12,0,2.5343786485675133e-8
Sensitivity analysis 3b,AEBP1,4,TRUE,4,0,retained,NA,0.8602947395046119,2.1462908287908287e-15,0,3.0756840860677184e-10
Sensitivity analysis 3b,CCDC102A,4,TRUE,4,0,retained,NA,0.8439793924956507,7.943604459339987e-14,0,1.2247061695901605e-7
Sensitivity analysis 3b,CHML,4,TRUE,4,0,retained,NA,-0.7544407569081075,8.404890223570848e-26,0,1.993715157269153e-11
Sensitivity analysis 3b,CLDN9,4,TRUE,4,0,retained,NA,0.8947674507140793,1.8114047861542967e-9,20.873847318440315,2.2189135268875725e-5
Sensitivity analysis 3b,COL25A1,4,TRUE,4,0,retained,NA,-0.8530639470218865,2.623746363826733e-12,0,2.9843910375612844e-6
Sensitivity analysis 3b,ELOVL4,4,TRUE,4,0,retained,NA,-0.7198293304259896,5.959615982139674e-14,0,4.586018912330035e-9
Sensitivity analysis 3b,GAD1,4,TRUE,4,0,retained,NA,-0.7980049119142455,9.021824352948426e-9,0,9.97021131331356e-6
Sensitivity analysis 3b,GAD2,4,TRUE,4,0,retained,NA,-0.9495209095328488,7.552359822050064e-9,0,4.3007817154762947e-5
Sensitivity analysis 3b,GFAP,4,TRUE,4,0,retained,NA,0.8272491440489974,9.006327446462257e-13,0,2.0689168729755913e-8
Sensitivity analysis 3b,HPRT1,4,TRUE,4,0,retained,NA,-0.7788385932641633,1.7904693772874737e-12,0,3.456255697803546e-8
Sensitivity analysis 3b,HSPB1,4,TRUE,4,0,retained,NA,0.9528414575370784,1.153987253048187e-19,0,2.981812193815676e-7
Sensitivity analysis 3b,KANK2,4,TRUE,4,0,retained,NA,0.7487412220850901,2.152651989776909e-15,16.582592462253047,2.083104786628493e-7
Sensitivity analysis 3b,KLF15,4,TRUE,4,0,retained,NA,0.6740632436830439,9.528300573280727e-15,6.185435565947503,7.11289934933816e-7
Sensitivity analysis 3b,MAS1,4,TRUE,4,0,retained,NA,-1.4811856625824589,7.026969966181764e-14,0,5.114109076767015e-7
Sensitivity analysis 3b,NAP1L5,4,TRUE,4,0,retained,NA,-0.8773199621915397,1.0178417616242016e-13,0,4.505147352694848e-9
Sensitivity analysis 3b,NCALD,4,TRUE,4,0,retained,NA,-0.7806865845731779,4.1534330809066014e-10,0,1.9704395015950806e-5
Sensitivity analysis 3b,NRN1,4,TRUE,4,0,retained,NA,-0.8503450884242201,3.660209065927702e-14,0,7.953337901794241e-7
Sensitivity analysis 3b,NUPR1,4,TRUE,4,0,retained,NA,0.6884396808122335,1.1881038556826173e-12,0,3.249680264469975e-6
Sensitivity analysis 3b,OPN3,4,TRUE,4,0,retained,NA,-0.6883535460743788,1.88457514830411e-10,0,2.1656681188247293e-5
Sensitivity analysis 3b,PIK3R5,4,TRUE,4,0,retained,NA,0.7938203577405716,1.4060097567783037e-13,0,4.97699233103111e-9
Sensitivity analysis 3b,PRELP,4,TRUE,4,0,retained,NA,0.761820511754901,1.2831008286029027e-18,0,7.178371178820047e-12
Sensitivity analysis 3b,PRX,4,TRUE,4,0,retained,NA,0.7713616917615478,9.336715229940992e-11,0,6.294670858474073e-7
Sensitivity analysis 3b,RAB3B,4,TRUE,4,0,retained,NA,-0.7577744509557559,1.854480789789481e-8,0,3.123010539618326e-6
Sensitivity analysis 3b,RAB3C,4,TRUE,4,0,retained,NA,-0.8390488909236082,2.4450561467700243e-13,0,2.8424567207877787e-9
Sensitivity analysis 3b,RGS4,4,TRUE,4,0,retained,NA,-1.192690383497791,8.171152194366535e-11,0,2.3186381939012906e-5
Sensitivity analysis 3b,RPH3A,4,TRUE,4,0,retained,NA,-1.037486211588476,1.3998179338601638e-10,22.5949279434785,2.7547759571513264e-5
Sensitivity analysis 3b,SCG2,4,TRUE,4,0,retained,NA,-0.7751175441723156,1.7682103739969548e-11,0,6.4233515203708944e-09
Sensitivity analysis 3b,SERPINI1,4,TRUE,4,0,retained,NA,-0.7576301223018119,2.0399543840233058e-10,0,2.6528773802515955e-8
