SYMBOL,k,meta_logFC,meta_se,meta_z,meta_p,ci_lb,ci_ub,tau2,I2,meta_FDR,stouffer_Z,stouffer_P,stouffer_FDR,stouffer_Dir,mv_P,mv_FDR,max_loo_p,min_loo_p,k_studies,direction,ci_95,pass_k,pass_k4,pass_dl,pass_stou,pass_mv,pass_i2,pass_loo,consensus
ZNF449,4,-0.6167324672020762,0.06537029016525989,-9.434445917907672,3.9306615823656944e-21,-0.7448558815849184,-0.48860905281923395,0,0,3.3967467174276876e-19,-9.26275979053842,1.992151816630726e-20,5.237958060705058e-18,down,2.693707531075915e-19,1.7137268157826527e-18,1.7465133040914515e-11,7.0473662682040615e-19,4,down,"[-0.745, -0.489]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLFN5,3,-0.7383848873659303,0.07846505806731892,-9.410365652599593,4.9441390804840924e-21,-0.8921735752227195,-0.5845961995091412,0,0,4.101657781169603e-19,-7.672690507107155,1.684255378950745e-14,9.549063076059573e-14,down,4.2422616814550603e-19,2.5877796256875862e-18,3.4676760445237807e-4,5.653178025698313e-20,3,down,"[-0.892, -0.585]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
SLC30A9,4,-0.4310199162677376,0.04584546834651441,-9.401581700724574,5.374891202590037e-21,-0.5208753830812769,-0.3411644494541983,0,0,4.2875093669891296e-19,-8.474410199021513,2.3627351157753263e-17,1.3924134594640886e-15,down,6.002715250037788e-19,3.5672296356958085e-18,1.6236519924549724e-8,8.480877971469316e-17,4,down,"[-0.521, -0.341]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BCL6,4,0.5531760374335586,0.05896994314519749,9.38064389974928,6.5571050762401616e-21,0.4375970726985969,0.6687550021685202,0,0,5.036828121526703e-19,8.677474830661328,4.0465273124210876e-18,3.2180769895340184e-16,up,1.4829284141067034e-18,8.380363844297827e-18,2.6818483129453254e-9,6.878859041113154e-20,4,up,"[0.438, 0.669]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PLRG1,3,-0.4512046188602164,0.0481793568953932,-9.365102565396832,7.597646422788559e-21,-0.5456344231734885,-0.35677481454694426,0,0,5.627685243165524e-19,-7.652311408930235,1.9739848847955033e-14,1.1051924457189659e-13,down,4.88497981932659e-19,2.9451884143265546e-18,5.310084553436585e-4,1.0720756281972619e-19,3,down,"[-0.546, -0.357]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PLCB3,3,0.5594581358467745,0.05976638316904466,9.36074940764593,7.917311564220303e-21,0.4423181773492261,0.6765980943443228,0,0,5.662242822135486e-19,8.860257711246216,7.982968025045314e-19,8.627831579456431e-17,up,2.442043722552466e-19,1.5680491271126359e-18,1.0739136193241041e-8,9.47535807803808e-16,3,up,"[0.442, 0.677]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ZBTB20,4,0.5460430683082046,0.05842718574372782,9.345702028217618,9.128187815047147e-21,0.431527888532466,0.6605582480839431,0,0,6.3106205094692615e-19,8.456877564028007,2.746320022341514e-17,1.5930810106068897e-15,up,2.491625402169175e-18,1.3599029168681235e-17,6.564928353140579e-9,1.076413845667205e-19,4,up,"[0.432, 0.661]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIFM3,3,0.9313756242310272,0.100395730417446,9.277044156742146,1.7424526577751574e-20,0.7346036084112407,1.128147640050814,0,0,1.1657570362018311e-18,8.031559841625729,9.624111094610145e-16,6.4945187642095455e-15,up,1.2145847385063425e-18,6.939528230474255e-18,5.447797665809365e-5,6.650838701524975e-19,3,up,"[0.735, 1.128]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LMBRD2,4,-0.550565687716253,0.05940645214167595,-9.26777593792728,1.9006766670271322e-20,-0.6670001943632402,-0.4341311810692658,0,0,1.2318760648169602e-18,-8.690119046427345,3.62059895213667e-18,2.958889486188155e-16,down,3.3431482618739624e-18,1.7778691013145118e-17,1.6594311730652705e-11,2.1098423677270492e-19,4,down,"[-0.667, -0.434]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRELP,4,0.761820511754901,0.08226875948085077,9.260143419717243,2.0415779818657568e-20,0.6005767061196453,0.9230643173901566,0,0,1.2831008286029027e-18,8.841650133535058,9.431516286937636e-19,9.68826311919316e-17,up,3.8455267141098145e-18,1.998902858411969e-17,7.178371178820047e-12,6.735059906933256e-19,4,up,"[0.601, 0.923]",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTR10,3,-0.5308106649991141,0.05797103259277981,-9.156481112348269,5.361717748939279e-20,-0.6444318010275601,-0.4171895289706681,0,0,3.2706478268529598e-18,-8.969055523579277,2.9906778193454888e-19,4.213152981310331e-17,down,1.4094241131773083e-18,7.98673664133808e-18,7.459935278085577e-12,1.0312939637739361e-13,3,down,"[-0.644, -0.417]",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
