study_id,SYMBOL,logFC,SE,P.Value
GSE278723,ADAMTS6,-0.564492678329614,0.2359652218637139,0.016744488913599486
GSE278723,ADAMTS7,0.6333002995028771,0.2769809502772031,0.0222285356518062
GSE278723,ADAMTS8,0.6829738454649675,0.11754973196710873,6.244141399965175e-9
GSE278723,ADAMTS9,-0.9819865909261484,0.12828216324109903,1.9346906898631935e-14
GSE278723,ADAMTSL2,0.7522990027346064,0.09146614090515073,1.9536909421976087e-16
GSE278723,ADAMTSL5,1.20923695804048,0.36354090513297377,8.801510377909882e-4
GSE278723,ADAP1,0.6208326239358157,0.09541800097180958,7.69465773035594e-11
GSE278723,ADAR,0.27001826994191563,0.042132099942707314,1.4662224320231025e-10
GSE278723,ADARB2,0.7024377660247406,0.12482879316205484,1.831482796150177e-8
GSE278723,ADAT2,-0.7293595211190401,0.1224081826081411,2.5468626385117385e-9
GSE278723,ADAT3,1.31233308106527,0.30371142031980103,1.5533286762897592e-5
GSE278723,ADCK2,0.5045125472864536,0.06782051217236686,1.0149837253474774e-13
GSE278723,ADCK3,0.3960232335154171,0.05439975889543165,3.34139246045255e-13
GSE278723,ADCK4,0.42343238002896394,0.061440005631771474,5.508985214471186e-12
GSE278723,ADCK5,0.7146948473729567,0.10059152509793247,1.2039131306134929e-12
GSE278723,ADCY2,0.3240378470728566,0.07853215766152814,3.688380339327487e-5
GSE278723,ADCY3,0.5046990569093537,0.05156209235508219,1.2655288198352468e-22
GSE278723,ADCY5,0.5980455488611749,0.06432543014069156,1.4421053114695917e-20
GSE278723,ADCY6,0.41168862465407574,0.05815749907445039,1.4534817734697916e-12
GSE278723,ADCY7,0.7114398565597417,0.12255378104997534,6.43185083279359e-9
GSE278723,ADCY8,0.5060367780831793,0.06672455880200517,3.351493008526394e-14
GSE278723,ADCY9,0.47835449705051,0.06474805635252452,1.4912547538412223e-13
GSE278723,ADCYAP1R1,0.8308998482605637,0.12258408864833963,1.2167972921527509e-11
GSE278723,ADD3,-0.376589652519741,0.16156048371563317,0.019755917012620618
GSE278723,ADGB,-1.30164063635401,0.5726659150983675,0.023029230603808924
GSE278723,ADGRA1,0.8103313997377146,0.0786696209375145,7.014262285154779e-25
GSE278723,ADGRA2,0.8057702512012856,0.10581109273060671,2.6332936822734906e-14
GSE278723,ADGRB1,0.8625081015624521,0.09813666132328763,1.5110268093463725e-18
GSE278723,ADGRB2,0.9074626237905091,0.08478805458906252,9.88359980151405e-27
GSE278723,ADGRB3,-0.41730925710932254,0.09327198030181885,7.672963016180482e-6
GSE278723,ADGRE5,0.6658982977064434,0.1711628016419922,1.0006336964859531e-4
GSE278723,ADGRF5,-0.55623305190462,0.26886922328038676,0.0385661144555655
GSE278723,ADGRG1,0.6610952385730062,0.1593757943973626,3.353515677480446e-5
GSE278723,ADGRG6,-0.662497572667592,0.29010201066114094,0.022390868784866486
GSE278723,ADGRL1,0.6334556314032881,0.0697689802669552,1.092447282939386e-19
GSE278723,ADGRL2,-0.613447349280837,0.23099425095576853,0.00791481352125911
GSE278723,ADGRL4,-0.93850802797555255,0.1606299010181245,5.136971189062671e-9
GSE278723,ADH1B,-0.8794310804438707,0.20023853555141458,1.1235545913045351e-5
GSE278723,ADH5,-0.3081878521288007,0.1002829151990914,0.0021178784613923893
GSE278723,ADHFE1,0.574902824591779,0.13803406457039832,3.114420946086574e-5
GSE278723,ADIPOR1,0.44320545365794917,0.055905268502959786,2.2307289375131918e-15
GSE278723,ADIPOR2,-0.42027746844548375,0.12789956632179045,0.0010162243862336519
GSE278723,ADIRF,1.5827746994885186,0.10493525782173221,2.0843569997163462e-51
GSE278723,ADK,-0.43116350072578286,0.05625665658871133,1.7991856584625206e-14
GSE278723,ADO,-0.261303032756725,0.12393247376868646,0.03499375102179867
GSE278723,ADORA1,0.9618674906713757,0.0786520473581436,2.165272659267453e-34
GSE278723,ADPRHL2,0.6116349703411577,0.0766751693443361,1.4997805342382976e-15
GSE278723,ADPRM,-0.7276325705420922,0.08971613522591511,5.045882295177524e-16
GSE278723,ADRA1A,0.578603472948473,0.2322110943082767,0.012712860711176123
GSE278723,ADRA1B,1.0636638520091144,0.16770380052049377,2.2604435329644584e-10
GSE278723,ADRA1D,1.073774150569587,0.3294006931859579,0.0011149823535908975
GSE278723,ADRA2A,0.6964034030472138,0.20662349073722142,7.505968390589675e-4
GSE278723,ADRA2C,1.062498758637555,0.1423907498834349,8.531442786590434e-14
GSE278723,ADRB1,0.9088010205009268,0.11856538256386263,1.7886219195143683e-14
GSE278723,ADRB2,0.5938884776543261,0.11386223724234229,1.82975099343696e-7
GSE278723,ADRBK1,0.5519479522498574,0.05461886509280638,5.225763131709197e-24
GSE278723,ADRBK2,-0.6422072866912454,0.15317039998698545,2.755765046697417e-5
GSE278723,ADRM1,0.7609223238549484,0.05386897824161613,2.647896972875426e-45
GSE278723,ADSS,-0.5551665319951206,0.06174881825796909,2.4560893222079697e-19
GSE278723,ADSSL1,0.6792098640397715,0.11580003029214013,4.481359812081885e-9
GSE278723,AEBP1,0.8097990287944683,0.14798871992050489,4.4490416900260316e-8
GSE278723,AEBP2,-0.3493600398526492,0.06622985397348273,1.3278275837994145e-7
GSE278723,AES,0.9082177050796251,0.07191144827472559,1.448885539554411e-36
GSE278723,AF011889.5,-0.823528960586662,0.3633951594980537,0.023438660665614626
GSE278723,AFF3,0.44019971685999876,0.13467371607342693,0.0010806620678645623
GSE278723,AFF4,-0.3635303360457803,0.04913374657222255,1.3742965414005467e-13
