SYMBOL,K,K_used,Z,P,Dir,FDR
C1D,2,2,-9.032991879822157,1.6704107509782298e-19,down,2.553599494117994e-17
MTMR9,2,2,-9.029627132208082,1.722577258937174e-19,down,2.6077812814181897e-17
BCAS2,3,3,-9.028203703063735,1.7451274661174807e-19,down,2.61651659415095e-17
CYCS,4,4,-9.02091035304544,1.8653268502702721e-19,down,2.770099197739462e-17
ATAD1,3,3,-9.018194375776424,1.912148210971847e-19,down,2.8128421748758504e-17
TBC1D32,2,2,-9.015860819099846,1.9533031466399197e-19,down,2.8465285949118006e-17
DDX10,3,3,-8.999348596911313,2.2706086980733567e-19,down,3.2782964286164675e-17
MGAT1,3,3,8.99718123801024,2.3158705534829435e-19,up,3.312969682610967e-17
DYNLT3,3,3,-8.988527636283838,2.5056447205380566e-19,down,3.5518652843045376e-17
MRPS10,2,2,-8.976923306737975,2.784438485110523e-19,down,3.911508945795349e-17
ACTR10,3,3,-8.969055523579277,2.9906778193454888e-19,down,4.163717789022697e-17
NT5DC2,4,4,8.963541580582415,3.1441395312977365e-19,up,4.338634310754478e-17
NLK,3,3,-8.959451210635052,3.2629830067858447e-19,down,4.463131054808042e-17
MAK16,4,4,-8.958096519662448,3.303312790876304e-19,down,4.479004899837757e-17
DNM1L,4,4,-8.95396186006685,3.42947360722613e-19,down,4.60998120323078e-17
SCFD1,2,2,-8.94558503642614,3.699846768976412e-19,down,4.9309154417648876e-17
LRPPRC,4,4,-8.941364283118457,3.843949747008008e-19,down,5.0795515597538865e-17
TRAPPC11,4,4,-8.933880017185412,4.11323402079864e-19,down,5.389719166917076e-17
BRMS1L,2,2,-8.928137629529832,4.332404400974279e-19,down,5.56085608515555e-17
FZD9,3,3,8.927781857926254,4.346356457512908e-19,up,5.56085608515555e-17
CHCHD7,4,4,-8.927668101513992,4.350826924831508e-19,down,5.56085608515555e-17
MSH2,3,3,-8.926713647720389,4.388515006161782e-19,down,5.56200544147711e-17
RAD51C,2,2,-8.925845729911554,4.423065957437066e-19,down,5.56200544147711e-17
NKIRAS1,2,2,-8.922731982529323,4.549247077565402e-19,down,5.65479134017127e-17
GTF2H1,4,4,-8.921221310601178,4.6117400297171605e-19,down,5.65479134017127e-17
SCRIB,2,2,8.92006269940742,4.660242996150868e-19,up,5.65479134017127e-17
GCC2,2,2,-8.91985517245534,4.668983761790947e-19,down,5.65479134017127e-17
LZTFL1,2,2,-8.919637325028003,4.678176636196331e-19,down,5.65479134017127e-17
UGGT2,2,2,-8.910610217575922,5.075244785157481e-19,down,6.020824831887047e-17
RCN2,3,3,-8.910407886629557,5.084515766074756e-19,down,6.020824831887047e-17
BRWD1,2,2,-8.909507976041777,5.125953545975735e-19,down,6.020824831887047e-17
TMEM242,3,3,-8.909302893092008,5.135443485159862e-19,down,6.020824831887047e-17
AP3S1,3,3,-8.907401019159982,5.224281052570144e-19,down,6.079269735278079e-17
TM2D1,2,2,-8.898523782917511,5.659436317156201e-19,down,6.5368585550679e-17
UBE2N,4,4,-8.897595918678224,5.70693603702879e-19,down,6.543253943043377e-17
CDK2AP1,4,4,8.896487205654008,5.764210510935169e-19,up,6.560681350146867e-17
EMP3,4,4,8.88770525158349,6.238390771100615e-19,up,7.048929514041441e-17
ACSL3,3,3,-8.882992381577173,6.508542246585481e-19,down,7.235946109153379e-17
CAPS2,2,2,-8.882427507079008,6.5416877403532e-19,down,7.235946109153379e-17
SPCS3,2,2,-8.88240319461033,6.543118074717029e-19,down,7.235946109153379e-17
ATR,4,4,-8.880962127406413,6.628452048488193e-19,down,7.278693858596928e-17
SEC61G,3,3,-8.867203920969205,7.500547831616709e-19,down,8.178744219468486e-17
CDC27,2,2,-8.865251452314954,7.633160895574225e-19,down,8.265547072547841e-17
GDAP1,4,4,-8.862518081336631,7.822711990773146e-19,down,8.412382625663839e-17
PLCB3,3,3,8.860257711246216,7.982968025045314e-19,up,8.48050687504022e-17
CDK2AP2,4,4,8.85994590610034,8.005327426502084e-19,up,8.48050687504022e-17
RPS6KA6,3,3,-8.859336298840184,8.049220916475037e-19,down,8.48050687504022e-17
CXXC1,3,3,8.849314707326407,8.805833346920048e-19,up,9.181020383886367e-17
RAB3IL1,3,3,8.84898521402833,8.831867232623325e-19,up,9.181020383886367e-17
LRP5,4,4,8.845086564293547,9.145738400710368e-19,up,9.444337674322964e-17
CCNYL1,3,3,-8.842245120914933,9.381412702688568e-19,down,9.612132906027357e-17
PRELP,4,4,8.841650133535058,9.431516286937636e-19,up,9.612132906027357e-17
ARHGEF40,4,4,8.838128522907525,9.733526869707452e-19,up,9.855511979178462e-17
DDX23,2,2,8.837297880463051,9.806142810304024e-19,up,9.864979667165848e-17
SCAI,2,2,-8.836203154965045,9.902663081695228e-19,down,9.898219579030365e-17
DNAJC10,3,3,-8.834189728908026,1.0082639912327462e-18,down,1.0013923831396314e-16
ENY2,3,3,-8.832107562780108,1.0272159159541549e-18,down,1.0137580871818441e-16
MAPK8,2,2,-8.826061671280058,1.0842625390756214e-18,down,1.0633274070318343e-16
CDH23,4,4,8.823722176581228,1.1071670548003335e-18,up,1.07900349284385e-16
REEP5,3,3,-8.818814176359338,1.1567822861046651e-18,down,1.1188153290013794e-16
HSPB2,3,3,8.817752960768257,1.1677955065580959e-18,up,1.1188153290013794e-16
THNSL1,4,4,-8.817585448334384,1.169543376048386e-18,down,1.1188153290013794e-16
ZFYVE19,3,3,8.815692168395385,1.1894788864841699e-18,up,1.1309478217651011e-16
BRI3,4,4,8.810183416866993,1.2494125898058469e-18,up,1.180732758354095e-16
ORC3,4,4,-8.808932356409507,1.2634339486094947e-18,down,1.186790696425774e-16
NDFIP1,3,3,-8.800323515068861,1.3642230070588558e-18,down,1.2737921765909424e-16
FASTKD2,4,4,-8.798937965021727,1.3811700449231929e-18,down,1.2819395541956753e-16
EFNB1,3,3,8.794293260682236,1.4395115391410204e-18,up,1.3281836349009427e-16
RPAIN,4,4,-8.791919998128668,1.4702545213439091e-18,down,1.3485693383126808e-16
SETD1A,2,2,8.789695991231865,1.4996521472425122e-18,up,1.3674898205820172e-16
FBXL7,4,4,8.787240318739533,1.532786608704545e-18,up,1.3895779993912774e-16
RAB6A,3,3,-8.785377458089712,1.5584035188980647e-18,down,1.4046350329582381e-16
ADAMTS2,4,4,8.783112326433843,1.590122342955017e-18,up,1.424987223775723e-16
UCHL5,3,3,-8.780447144552463,1.6282602030533273e-18,down,1.450826362640602e-16
SMO,4,4,8.773981823503407,1.7245708020811837e-18,up,1.527910938457494e-16
C3ORF14,2,2,-8.765886814507974,1.8531212346353336e-18,down,1.632526520433263e-16
ITGB5,4,4,8.763416842590438,1.8941964758963894e-18,up,1.6593373959917078e-16
VEZT,3,3,-8.759731451341649,1.957160853079732e-18,down,1.7049167140822492e-16
TYK2,3,3,8.758698777825524,1.9751716257448283e-18,up,1.7110472866799505e-16
FARSB,4,4,-8.749899358885315,2.1354310549480464e-18,down,1.8396561568952974e-16
KRAS,2,2,-8.74346254415463,2.2607285214331954e-18,down,1.936897793115814e-16
GUF1,3,3,-8.741109824369794,2.308314867273522e-18,down,1.9668608593112584e-16
PSMD12,3,3,-8.73812453386351,2.370121529259943e-18,down,2.0085491850951245e-16
BTF3L4,3,3,-8.733282421756055,2.473863553312605e-18,down,2.0851326695569432e-16
KLHL21,4,4,8.726632304133494,2.6236837177266673e-18,up,2.1950181779284041e-16
IFT140,3,3,8.726020089231437,2.637918453210154e-18,up,2.1950181779284041e-16
ABCA5,3,3,-8.725654044457668,2.646465833710896e-18,down,2.1950181779284041e-16
SUN2,2,2,8.720207281200912,2.7769295302053605e-18,up,2.291040326163608e-16
MTMR6,4,4,-8.715967623254638,2.8828570066936567e-18,down,2.3659152265986413e-16
TBC1D31,3,2,-8.708761578962017,3.0721269126910404e-18,down,2.5080458088791306e-16
NDUFS1,3,3,-8.707248999981973,3.1133865831913836e-18,down,2.528491509984544e-16
GAREM2,4,4,8.691561866014995,3.574903804470443e-18,up,2.8882629545651615e-16
LMBRD2,4,4,-8.690119046427345,3.62059895213667e-18,down,2.9101030649828397e-16
TRPC1,3,3,-8.684199155170777,3.814200179515933e-18,down,3.049990943548305e-16
TRMT10C,3,3,-8.681603224066318,3.902286736629534e-18,down,3.1045080145032817e-16
CEP83,2,2,-8.678531342596408,4.009120686728777e-18,down,3.1733106024447626e-16
BCL6,4,4,8.677474830661328,4.0465273124210876e-18,up,3.186742443564748e-16
