"","AD-21","AD-20","AD-23","AD-22","AD-26","AD-24","AD-27","AD-25","AD-29","AD-31","AD-28","AD-30","HCO-18","HCO-11","HCO-19","HCO-13","HCO-15","HCO-16","HCO-12","HCO-14","HCO-10","HCO-17","HCY-2","HCY-4","HCY-6","HCY-8","HCY-9","HCY-3","HCY-5","HCY-7"
"LPCAT3",3.91966567105826,4.09171084755031,4.30254069210117,4.44298898005471,4.16378006069989,4.79179982817411,4.18191692034712,4.39668678349406,3.99499323905412,4.05875696709205,4.38053986184804,4.03009761733807,4.10053432316558,3.98819555529821,4.23701670277073,4.64549301224361,4.09114946933624,3.96164268547891,3.74633334725732,4.19822270484444,3.77413578252461,4.25096728944311,3.77540048139073,3.93447411158758,3.87893854629816,4.76420610273802,4.07890159089888,4.6170164659947,4.50893568718099,3.82645964699092
"C1RL",3.64783084067925,3.52008094677378,3.55154568207303,3.87231051049818,3.07939834354405,2.73881121657647,3.03835609700764,3.299893198643,2.99424914751165,2.52247027895492,3.1445941998578,4.16020806568247,3.25402357253333,3.71008520939525,3.88005906447864,4.46184454025411,3.20919293457637,3.34450938889359,2.85360141115276,3.96645555469855,3.40187895993023,4.15690016044129,3.40106913111067,3.22624101408151,3.25233642887213,2.97145507039115,4.73252628484569,3.28660272132373,3.51384105329403,3.27556262122326
"C1RL-AS1",2.76530477762463,2.32709025391776,2.8143060390047,2.20956331779347,1.84790587912894,1.61752553978983,2.58402203802959,2.46342715147253,1.66228897488098,2.89000695286915,2.09813576340827,2.69048284861209,1.85839938523054,3.42706910853919,3.06074494411707,2.65884090668283,2.35656006803412,1.58367802864866,1.44960466966267,2.9326677398817,1.82816471940039,1.5270021903889,0.917869107671601,1.44846754402664,1.74635277071058,1.52928354689592,3.26197423295033,2.42928014265015,2.15091545046798,2.43455494428465
"CLSTN3",7.79540079043108,8.40806896222012,7.14350295054221,7.14378971266794,7.69531702805947,7.73385524768665,7.54964748140543,6.17416929554084,7.85206093637106,8.04927529081499,7.18061752975189,8.20763225412996,7.96465048020121,9.08447261696641,7.99073868842435,7.74878013057993,8.04838384448007,9.30489627233566,8.27672084724652,7.84089170033449,8.88400858928056,8.3181759990247,8.7175349448095,8.89622490796796,9.19268185334145,4.96071729767376,8.7207528552876,6.05276906871086,6.69853630099314,8.13279857620169
"RBP5",1.21288232546242,1.20707069718649,1.69248531820431,0.944927758988775,0.847615072075858,0.87728935413804,1.2646495514236,0.829305372591652,0.697208593096715,1.26991378676573,1.1533354610256,1.21429316126098,0.416092203547367,2.17452355817737,1.91131737225022,1.16456046424033,1.245034495554,0.410213200701465,0.0508258324143511,1.57414015524411,0.970058096284723,0.10981279311285,0.164387528695924,0.558897397988637,1.04216711058642,-0.14610510986469,1.7973882180815,0.51676573928557,0.812156619618165,0.354247841153927
"PEX5",5.99742230563277,6.4758035260576,5.77710114775768,6.89347126631044,6.7654942181755,6.98887119866643,6.30812183539527,7.64568106038724,6.90459544434177,6.41389567151749,6.85018431614195,6.37970085787478,6.11884102124179,6.94902725014893,6.11964688904858,6.17759981462442,6.32084191276659,6.66639872642402,6.06951644658757,6.36954611641043,6.30287657680616,6.30010084688808,6.11497848436495,6.42704135331354,6.51037428547181,6.50835955145059,6.28197601829005,6.85584052196024,6.05610122774564,6.71829670082099
"CD163L1",2.51689687706669,2.07761483690381,2.47970824433919,1.74255901599483,1.75058839081192,1.00924551655225,0.985453253470088,1.89956454850686,2.09766579030984,2.56373402361513,1.03236984697677,2.41519940856556,1.85839938523054,2.64246463810889,2.04297230030124,2.07546478551439,1.53863978278527,2.54784353706978,2.46794466567211,1.69653658330344,1.85726892629447,2.22793804488652,2.77199779754561,2.60374197965859,2.53460890506531,1.48738886792675,2.39507426239753,1.63050736225237,1.66247721516756,1.90877940957825
"CD163",7.34478823421655,5.44838616592451,6.30124486440229,4.49392523748148,3.71687249042864,5.01230497555157,5.09208788057011,6.33464956777984,4.8782396561321,5.34593483366604,4.20973713695692,6.84130337097484,4.8534543555143,4.85196278757101,2.16361117543237,7.50265674107042,3.14831824312897,6.27003827835366,5.246701085403,4.55713154666739,2.09574077747732,6.30132278496895,3.45983911736953,6.02640469325305,3.7540987966707,7.53820130644416,4.17023622973421,6.12124558811316,3.84564662866396,6.3233526452738
"SLC2A3",5.56941845543627,6.06118495482733,5.5267611415151,6.39838598416567,5.68436387693148,6.18641505423793,6.06562032820631,4.8562569612437,5.50071031097279,5.4813051372063,5.45342392317205,6.1752300391728,5.88258237957478,6.23415431119815,6.24628611897039,7.1944884300094,5.79995859350717,6.19946150312285,6.27024424290007,5.37089852164899,6.14661708077006,6.67007859279622,6.29320776093779,6.4211796444684,6.48481802724439,4.77295136149387,6.34515323262112,4.58608867676517,5.38426470805435,5.37518568164894
"NECAP1",5.59103772238162,6.29436532719013,5.03723672139204,5.49599098289745,5.65553078382979,5.05110179407778,5.08761070737066,4.80016639300748,5.57786334816142,5.34593483366604,5.35910986313857,5.93030057676521,5.95657853618892,5.86126591663394,5.27814247247244,5.49231812146157,5.20906154607648,6.64751521516175,6.49675414790592,5.202076993905,6.9239350416414,6.37280740436469,6.80340734676452,6.88866935269065,7.08645670000434,5.01332978847131,5.86057812946709,4.91457308620999,5.50860568737432,5.73570602605733
