"","01.CA2","02.CA2","03.CA2","04.CA2","05.CA2","06.CA2","07.CA2","08.CA2","09.CA2","10.CA2","11.CA2","12.CA2","13.CA2","14.CA2","15.CA2","16.CA2","17.CA2","18.CA2","19.CA2","20.CA2","21.CA2","22.CA2","23.CA2","24.CA2","25.CA2","26.CA2","27.CA2","28.CA2"
"POLR2G",3.6526620073894,3.60320153556108,3.73991787748937,3.60970523371793,3.20145940023673,3.44517660427938,3.49602311259919,3.03099314745238,3.74811101121413,3.27356384696412,3.02919654229342,3.24229954471098,2.24403542527186,3.27876311275512,3.50168086559168,3.02160058543128,4.3945677927107,3.45928583860985,2.66971587111471,3.49752323933608,2.54922380147984,2.60011090088933,2.94729052070867,3.77292779927138,4.29872000144927,3.92196798337555,3.9420393455262,3.94064837507078
"SLC3A2",5.24455168601599,5.74664877558321,5.3883019551381,5.46397573416476,5.58438774168863,5.34051883238576,5.41088205880414,5.55220535073614,6.00861397333151,5.40868606845291,5.62933593908771,5.26790608894415,5.37265638718931,5.30098578328785,6.60188120061884,6.03609319917791,6.10643212165541,5.69429521607552,6.07565530654622,5.60060607969051,5.86686597613822,5.36607285950411,5.71059522746717,5.09614162498969,5.97060860917808,6.03250193762137,6.01538114980412,6.38927454377084
"HRASLS5",2.18536075956129,1.90932069860006,2.8280271101749,3.20115088199388,1.70819776091693,2.31934221211375,1.87691381040818,1.17817557080601,2.06133786087601,1.84826595095165,2.37055990670386,1.91437351733321,2.12731383510776,1.75219496855868,2.13144873278132,1.99277118132991,2.79452747160489,2.15529588777543,1.92224828813002,1.96361753182322,2.59672227203723,1.56305829559767,2.50216501983533,1.64161765484832,0.346617456907666,2.35690650959748,1.7814069620871,2.56648113778104
"C11orf84",3.32339343949324,3.68809002321995,3.1684368717685,2.80886909461005,3.46256574865784,3.66384321585393,3.45602597969783,4.81787011777959,3.60240830229896,3.26127492138336,2.94865141870269,3.22699033720831,4.01350525426156,4.07600413534462,4.14931869513241,4.56960411135191,3.47279880230977,3.94296257809672,4.93841316937433,3.79583532321684,4.08918659664852,4.255804602948,4.22795318605735,3.85396472663639,3.52167085255326,4.3277128503218,4.24216394448301,3.5935939117131
"ATG16L2",4.64083714353194,5.09174308734925,4.71985777393248,4.70962630975975,4.08366323366718,4.71808647537145,4.68253143413253,3.75886187967134,5.36812864007952,5.30174915541755,4.88517155464744,4.6636243414245,4.5403025827031,4.57505158272597,4.72989426332952,4.40379298813342,3.9192889185732,5.33123546910317,4.11450967464907,5.26566871875992,4.70765466010207,5.36872257304903,5.41816187056727,5.26227918341407,3.96771587318541,4.6941390929817,4.58507257678757,5.05584771718069
"C2CD3",6.10101537241583,6.35711108840299,6.34048086936973,5.90061308158255,6.08865608860211,6.13733097623668,5.96326175917745,5.93948706017955,6.0960797324392,5.96372053786875,6.01280926050637,6.07888226756938,5.98079199931459,5.95081500298106,5.76101036754762,6.02401955152637,5.92056220513096,6.23365616802608,6.50601423917168,6.64322729711594,5.90510096784592,6.45731394769887,6.52326908406492,6.23735245834218,5.97784257742524,5.52615266073252,5.73845315427966,5.93825636339065
"TRANK1",6.56228647384946,6.11185475578431,5.71621896634836,6.43108850009187,5.71543953166044,7.18734925569742,6.97071279022329,6.59910120276125,6.97333320764711,6.85251212936867,6.63631961619962,6.86839842081691,6.0861843587899,7.40092674625274,5.23991220969697,7.00927096551714,7.25964595735785,7.37274456897474,8.28701175949123,7.53329757556315,6.55029864360126,6.92791489510836,7.35098345608865,7.67453252158013,6.48031354554567,6.58218380415835,6.01962162399117,6.46726435602531
"TTC21A",4.41025274682949,4.37130268013461,4.7737967893475,3.93635242589683,2.69183228977721,3.30864912125068,4.19991384444786,3.32690182529366,4.31400557052705,4.47908535958367,4.6696742227695,3.60406410762717,3.39303223803761,3.85375922696365,3.93386487698133,4.06975844905402,4.26664098138914,5.33317232923274,4.16136124809234,5.00221419445942,3.92211557430134,5.70489018723216,3.96241360682621,4.58459734097315,3.290234013242,3.39922263875104,3.87497093170415,4.53077103882133
"RPSA",5.93249352261789,6.20409958888956,6.62745283106959,6.58296834426571,7.33618793796867,5.49990051605794,5.86994892380825,5.87637082040702,7.01881075423676,6.20577875220319,6.26645995549283,6.3143902629488,7.39091384567037,6.67640712596248,7.07613257990412,6.80872293311277,6.67868697328128,5.950440794345,7.6410898630088,5.99028723974139,7.39963361863106,6.57556802382438,6.99702476807503,6.23086505519806,6.27012287595197,6.60387649305608,6.58365637214415,6.27715254292656
"ENTPD3",2.84409981484364,1.66316442925482,0.883858316574125,1.74763122208997,-0.0200038003589116,3.09695549809412,3.1731637994049,3.37335776681791,1.40882385400418,2.22248350026321,0.969120787012691,2.5026712808265,1.40648471978697,3.18135416536951,1.2912683813875,2.12784358933926,2.89557803811114,2.62884845211728,2.38391845921359,1.93942549055186,1.44284239362138,1.86281130559487,0.576580916121506,3.0351943304734,3.90534675126595,1.71916014448632,2.31059839726645,2.0471327597219
"CTNNB1",7.5722374935015,7.38725463713561,7.4800388220156,7.7483035119746,8.38591145389223,7.66384827269689,7.79434055795125,7.60180803296374,7.25226572791512,7.61489371655154,7.62853188807111,7.56192530176033,7.72301736194054,7.82524295702491,7.96232976394433,7.4918343340435,7.90939258193452,7.24431592494564,7.86576566728461,7.01427316367253,7.99078949057504,7.38457399444785,7.31932000313861,7.50522024444517,7.76498701651318,7.519466820516,7.37545017215967,7.88179389654066
"ULK4",5.04333852911286,4.802929308877,4.70360181885399,4.79744182155003,3.33791157574668,4.07502879193882,4.58699999800488,3.80478461552962,4.54739308944726,4.95401567660016,5.5290306824796,4.38197796707949,4.16923015062926,4.39558516227572,4.48570063283617,4.50653996236169,4.62874543817442,5.18017162613418,4.02445192394222,4.76472473442842,4.00366979183875,5.80806000534635,4.43647546717362,4.97973345256435,4.18580898443842,3.96924115190685,4.24216394448301,4.5963204906776
"FADD",3.06437495956699,2.77604368627015,2.79157759994246,3.08186178416323,2.69183228977721,3.05489120213029,2.84181703314114,2.52747349982205,3.10054980205231,2.97559917144068,2.57219985096375,2.80030113429667,2.69049100945138,2.81637301959569,3.04436873788122,3.33254006251679,3.49639101212568,3.08012758196619,2.87104852181112,3.12100648932665,2.42314955996384,2.99254759104826,3.55207201825041,3.04508894907831,3.0088023079278,3.40782714102354,3.27167278192271,3.02365812534928
"LTBP3",6.90968152086199,6.87077630182925,7.80280194333819,6.52840480461478,7.25663699884005,6.35770648478502,6.97779226071708,6.46252154086949,7.32852880652722,6.82563972392135,7.01816589788942,6.69426433535906,7.11763174046591,6.90946445267373,7.93771013371518,7.96532450611116,7.16206650543434,7.99176997743998,7.84797469782755,7.92502117748225,7.41793001327242,8.0306344607477,8.27748008611661,8.03037568728334,7.02213276834715,7.84821043278491,8.02684262554006,8.35109306949843
"SAC3D1",0.986984156845665,0.143841652466884,1.56915637294541,0.700136026200728,2.34839073931542,0.98490232873777,0.496255916497153,-0.251659506884995,1.73921845904644,1.03015790071606,1.61628429284623,0.652605956346306,0.937015880251263,1.02717968601233,3.01328784703419,2.66078822132306,2.05190971568424,2.0271557450258,2.9796090116706,2.20596659434123,1.76734144706045,2.86322879492451,3.03307481196612,2.1796845618653,1.7719364533972,2.50861104202805,2.19536938760284,2.50712388567426
"SF1",6.71015279848174,6.61082569492547,7.06360853709006,6.38930457217916,6.29554335518279,6.4045168275309,6.68520033304359,6.448124585982,6.5357372699767,6.47683376592602,6.74614026703351,6.66899605157974,6.54826648968933,6.37205997014814,6.66573681480859,6.68272981294692,6.72747603803066,6.99982874848777,6.9789519146637,7.43830575473812,6.72878447675415,6.85135758461187,6.9268549480906,6.75785551547311,6.45979369111963,6.59448494098673,6.66260515774788,6.94928474000141
"MAP4K2",5.09979801641066,5.41429372989068,4.94674701812034,4.88021739430792,6.04943976375915,4.9960925182422,5.13081161247323,5.05959003315555,5.19054875478536,5.10605744643119,5.01939321944179,4.93729168478497,5.32927692362507,5.1495399523683,5.85823051965209,5.93101908983033,4.89373073323974,5.54519641641094,5.28366928902591,5.8658447099188,5.53932847154808,5.81584814359649,5.81721037000329,5.70134051975053,4.82525587241318,5.95242442149139,5.70724583811429,4.87397514732946
"CCDC88B",4.20936891171603,4.87712005037999,4.21849961659838,3.96191648183609,2.79027030283152,4.19608080490555,4.62356957469097,3.34255394217506,5.38395445078405,4.5665798211567,4.25811920953956,4.00499567165562,3.49076833305375,3.73520323099905,4.31140879621449,5.05646300506518,4.36603698393867,6.06791969057212,3.81575542998187,5.98734036658997,4.79169264893146,6.11784371483263,6.6565062626784,6.0124958455714,3.59501031893673,4.86945975036225,4.77764069374829,4.45426521909511
"SCARA3",5.33199682435321,5.26201398176428,6.15924237716989,6.97489084005541,6.23565824943412,6.29471595918343,6.10147483513063,5.33857770274286,7.87598700808793,6.04123411879201,6.35310831163909,6.07461228078076,6.20134067112067,5.72402232974068,7.24784883163322,6.52032038564138,7.04895413830724,6.906002314685,7.52496818535816,6.97761989709034,6.5963024707178,6.9997591180993,7.32853882331293,6.21780207130314,6.73548758037703,6.50508736777945,6.72971272339014,7.86489960875264
"COPS6",4.46286045633225,4.35061858679093,4.72630921321084,4.72960800365427,4.54491243579042,4.54276030824096,4.69404005744096,4.51357324389834,4.49977048601084,4.18591730947321,4.28297028874443,4.22900537434532,4.59260676671772,4.81478267594581,4.87526779466933,4.75216101418345,4.83480102660714,4.729079151425,4.51403993085879,4.79874118557515,4.03848712694569,4.60947612064136,4.41533174071896,4.62803450085193,4.78127969991833,4.6293959640689,4.56587022576638,4.69935631756834
"PAFAH1B2",6.73799069973731,6.79816087609919,6.65307487269503,7.00696796342309,7.53383401164074,7.14537158310644,6.72641419083893,7.26859165606323,6.74627977892325,6.82146071771282,6.91330479730389,6.96037131176649,7.16281374940913,6.60870391143525,6.35154536677835,6.13081802199657,6.3040261603542,5.95799179759912,6.37797484340698,5.71902678896601,6.95521564984644,5.86359399900923,6.23127223856103,5.88608291893036,6.67490954858456,6.33731201801564,6.3008512540308,6.10517664819819
"ANKS3",4.5464892373274,5.15275397706466,5.07360138062836,4.52186514001916,4.33264331136821,4.2436675301568,4.58081392068323,4.55446996947252,4.80419077299395,4.63485149776357,4.241310774146,4.55746906588978,4.57785520343588,4.56349958847848,4.27256140105626,4.94744721183105,4.63407286791839,5.47675776081141,4.48976928949754,5.50699990308632,4.34701870203595,5.39235351365939,5.25517407240337,5.05266231930129,4.03861192614068,4.49048203131538,4.58125249891496,4.55661755622105
"NUDT16L1",3.62214704421246,3.5856075635676,3.47464769020941,2.56378431258327,3.40158456615544,3.98828897010831,3.35814717365235,4.01473658165754,2.72320306017788,3.10501281990177,3.29658141635997,3.31649962841672,3.19459866270908,2.85479139554564,3.47910980834986,4.84920083511848,2.86871322944124,4.11042605012584,5.596552695409,3.76174947079588,2.19526822127914,4.98594695053731,4.73412972063059,3.86517860381756,3.66838256033586,3.8854679769205,3.7980641372623,4.3734739972119
"KIAA1586",4.39228173424612,4.55428847189469,3.75892196562403,4.56142323949366,5.11891522123798,5.0479446015096,4.33835874600818,5.43663653954064,3.75624022737773,4.38026911041051,4.39359689389704,4.01394331407278,1.26631142438864,3.57567773666635,2.51103914599183,3.08938115724594,4.03254537985187,3.02367798130978,3.69356981114252,2.59472323320636,-0.222008567922427,2.48759555400215,0.97367994444678,2.65063323754115,3.14356116493194,2.68886709688344,3.20372822382644,1.91635424394907
"RAB4A",4.67468533940019,3.73672457425621,3.89112479559658,4.71464773853064,4.93748792980756,3.44517660427938,3.32891721136662,3.63722136605338,3.86548653048169,3.56106961718422,3.81116195281452,3.79264757971092,3.73637135455206,3.34323606956737,3.60952482145742,3.57879978932868,4.39142542340679,3.4804129554277,3.58319590236041,3.57022396056005,3.96799136730364,3.6621480455468,3.07412699958161,4.16197162738458,3.46101702933841,3.60029209701125,3.53918588506177,3.63577381611471
"KCNJ4",4.34634973121205,4.34016426023137,3.71418330284899,3.901546739979,4.26578042195925,5.81231287943504,5.0790837207979,5.03089524287666,4.69424769506304,5.00281090895796,3.62932132183095,4.63491166947451,5.06941035325643,5.73607839581923,5.88852042353385,5.96389439558728,5.46709024648993,5.41591803168175,6.54334258020315,6.02375058378557,5.32690562443095,5.02678334285684,4.83311429461436,4.62473922008532,6.08489495883766,6.07499090916152,6.17723667516701,5.33081342328409
"SETD5",7.17375253928017,7.36034747636541,7.32661659231693,7.05130601674557,6.76976582874547,7.71749901603299,7.73359994521369,7.69086366274247,7.03393550062511,7.70044136469842,7.34755780691204,7.44356869961597,7.44881132918331,7.42080286434279,6.62904559271982,7.15320721868942,7.0023398005242,7.51390869466655,7.19513863646598,7.77844665418105,7.67118634540118,7.60115955732049,7.46919184677177,7.79889077534295,6.76672932252225,6.6813286695511,6.8693980872204,7.00733538594816
"VASN",3.24545424666261,3.9022138956336,3.11043058576748,3.67298779127107,3.27129811746094,3.24459982941973,2.29480812228653,1.88200866776144,4.00846515478102,3.30981477102017,3.57669366710125,2.22295179991674,2.87073847854471,2.85479139554564,4.959208495314,4.28740296489737,3.78205189638622,4.12391504065981,3.87317474225794,3.82913439885759,4.26853483040494,3.79416456865829,4.94061704560075,3.33045420243025,3.95016954595178,4.67644438456253,4.54640883872845,5.02972233890674
"THAP9",1.98410311144342,4.35061858679093,4.21849961659838,1.86067034521051,2.58618258031939,1.76252429993011,3.32891721136662,3.68711489528339,2.3675872650308,1.88076141504191,2.86334220314221,4.14189692643986,2.57638596879264,2.23246977486266,0.9410599352104,0.639792185408267,3.01472854414844,1.98835193375065,1.45518201317296,2.61013077877245,3.00148759130999,1.92173839824112,2.30933647723113,1.83652191579193,2.48289674503849,1.54288810139552,1.0736465211312,2.8789726327473
"RNF187",6.3020862472004,6.16613177022356,5.62766672657666,5.8444532141191,6.20028797436073,6.85415171609357,6.8917056437128,6.46072975889443,6.66765195320866,6.29438234922388,5.65494666849802,5.96584358017032,5.84877312266287,7.08131773572205,7.19169378090633,7.25190099509069,7.09265898398759,7.3528343067498,6.99305065770976,7.47716124262789,6.9391823905403,6.7132829438681,6.41691780190653,7.25966852430359,7.45867251328775,7.2815383409833,7.28087541034923,6.97278603206057
