"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Sensory system","hsa04742","Taste transduction","11/281","86/9423",0.127906976744186,4.28920797815112,5.37206158359774,4.5740043517814e-05,0.00100628095739191,0.00100628095739191,"CHRM3/GABRA4/PDE1A/GABRA3/SCN2A/PLCB1/GABRA1/HTR3B/PDE1B/GRM1/GABBR2",11
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","15/281","154/9423",0.0974025974025974,3.26627998336183,4.97120398117957,5.35833077121082e-05,0.00110948966556836,0.00110948966556836,"KCNJ4/CACNA2D3/PPP3R1/MEF2C/PPP3CB/GUCY1B1/PLCB1/CACNB2/CAMK1G/KCNJ3/CACNG8/CACNB4/CALM3/CACNG3/PRKCG",15
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","11/281","90/9423",0.122222222222222,4.09857651245552,5.17817767268001,6.9992783749007e-05,0.00136874777109169,0.00136874777109169,"GUCY1B1/PLCB1/TUBA4A/HTR2A/TUBB2A/PDGFD/GRM1/TUBA8/PRKCG/HTR2C/TUBB3",11
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","22/281","301/9423",0.0730897009966777,2.45097598751493,4.48541406499497,9.27284005092732e-05,0.00171791563048759,0.00171791563048759,"CACNA2D3/CACNA1B/PPP3R1/MEF2C/FGF9/PPP3CB/PTPRR/MAP3K9/CACNB2/IGF1/RPS6KA6/PTPN5/PAK1/CACNA1E/BDNF/CACNG8/PDGFD/CACNB4/CACNG3/PRKCG/MET/RET",22
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","18/281","226/9423",0.079646017699115,2.67083425188171,4.45726645986188,0.00013971932441539,0.00245906010971086,0.00245906010971086,"ATP1A3/SST/GRIA3/PAK1/GRIN3A/GRIN2A/CNGB1/BDNF/GRIN2B/VIP/CALM3/CHRM1/ADCYAP1/PTGER3/GRIA1/GABBR2/ATP2B2/ATP2B3",18
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","13/281","133/9423",0.0977443609022556,3.2777406148824,4.63795286648185,0.000162606155970575,0.00272558890007821,0.00272558890007821,"CACNA1B/PPP3CB/PLCB1/CALY/GRIA3/GRIN2A/GNG2/KCNJ3/GRIN2B/CALM3/PRKCG/GNG3/GRIA1",13
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","10/281","86/9423",0.116279069767442,3.89927998013738,4.73521610820879,0.000226829702117453,0.00350664843418939,0.00350664843418939,"PCLO/CHRM3/PLCB1/ATP1A3/CCK/ADCYAP1/PRKCG/STX1A/RAB3A/SNAP25",10
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","29/281","481/9423",0.0602910602910603,2.02178882961801,4.032927896281,0.000229127596552148,0.00350664843418939,0.00350664843418939,"NEFM/CHRM3/CACNA1B/PPP3R1/PPP3CB/PLCB1/NOS2/TUBA4A/DNAH7/GRIA3/NEFL/TUBB2A/GRIN2A/WNT10B/BDNF/UCHL1/CHRNA7/GRIN2B/GRM1/TUBA8/CALM3/CHRM1/SNCA/PRKCG/STX1A/NEFH/GRIA1/TUBB3/DNAH2",29
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","15/281","184/9423",0.0815217391304348,2.73373433390067,4.16373498112412,0.000390755991064321,0.00573108786894337,0.00573108786894337,"PPP3R1/SEMA3A/PPP3CB/PAK3/EPHA4/GDF7/RND1/PAK1/EPHA3/EPHA5/UNC5D/EPHA6/ROBO2/MET/NGEF",15
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","7/281","53/9423",0.132075471698113,4.42899348687303,4.38873038042101,0.000926156643675922,0.013040285542957,0.013040285542957,"PLCB1/ATP1A3/DNM1/CALB1/PRKCG/ATP2B2/ATP2B3",7
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","8/281","69/9423",0.115942028985507,3.88797771932539,4.22108213002923,0.000977037553279301,0.0132275853367044,0.0132275853367044,"PPP3R1/PPP3CB/GUCY1B1/PDE1A/PLCB1/PDE1B/CALM3/ADCYAP1",8
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","9/281","93/9423",0.0967741935483871,3.24520720927563,3.81470696135809,0.00176392607312757,0.0229963695459594,0.0229963695459594,"CHRM3/GUCY1B1/AMY2A/PLCB1/ATP1A3/CALM3/PRKCG/ATP2B2/ATP2B3",9
"Organismal Systems","Nervous system","hsa04730","Long-term depression","7/281","60/9423",0.116666666666667,3.91227758007117,3.96739079881224,0.00194369019267013,0.0244349624221388,0.0244349624221388,"GUCY1B1/PLCB1/IGF1/GRIA3/GRM1/PRKCG/GRIA1",7
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","9/281","98/9423",0.0918367346938776,3.07963541288401,3.62810563351363,0.00253648992475746,0.0307877397763664,0.0307877397763664,"PLCB1/ATP1A3/CAMK1G/STAR/CALM3/PRKCG/PRKCE/ATP2B2/ATP2B3",9
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","9/281","103/9423",0.087378640776699,2.93013854818091,3.45305298213577,0.00355610214639936,0.0417249318510859,0.0417249318510859,"CHRM3/AMY2A/PLCB1/ATP1A3/CCK/RAB27B/PRKCG/ATP2B2/ATP2B3",9
"Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","4/281","23/9423",0.173913043478261,5.83196657898809,4.06750424071238,0.00437988847776231,0.0481787732553854,0.0481787732553854,"GLS/NOS2/GOT1/GLS2",4
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","4/281","23/9423",0.173913043478261,5.83196657898809,4.06750424071238,0.00437988847776231,0.0481787732553854,0.0481787732553854,"GLS/ATP1A3/MDH1/GLS2",4
"Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","5/281","37/9423",0.135135135135135,4.53159565259209,3.7734244752678,0.00453805443199465,0.0484059139412763,0.0484059139412763,"GAD2/GLS/GAD1/GOT1/GLS2",5
