"Gene","Region","statistic","p_value","FDR"
"SERPINI1","LATERAL TEMPORAL CORTEX",-2.55140544613127,0.01695604462897,0.0427580514436919
"STAT4","LATERAL TEMPORAL CORTEX",-2.36954781840182,0.0255163387512577,0.0472052266898267
"SCG2","LATERAL TEMPORAL CORTEX",-3.02020661966652,0.00560338543252495,0.0197508821855704
"TMPRSS5","LATERAL TEMPORAL CORTEX",1.85628207601739,0.0747807337676734,0.0890932677405464
"RGS4","LATERAL TEMPORAL CORTEX",-2.54173057539844,0.0173343451798751,0.0427580514436919
"PRX","LATERAL TEMPORAL CORTEX",2.1933869286723,0.0374186513485707,0.0571131657994551
"RAB3B","LATERAL TEMPORAL CORTEX",-0.530504171730214,0.600264715385158,0.600264715385158
"NCALD","LATERAL TEMPORAL CORTEX",-2.16045618001097,0.0401335759671846,0.0571131657994551
"OPN3","LATERAL TEMPORAL CORTEX",-2.24456715967498,0.0335264746888341,0.0563854347039483
"CLDN9","LATERAL TEMPORAL CORTEX",3.58349553066048,0.00137119891350413,0.0101468719599305
"TRIM36","LATERAL TEMPORAL CORTEX",-1.46286084005395,0.155489965646556,0.169209668497723
"GAD2","LATERAL TEMPORAL CORTEX",-1.84638030649494,0.0762512373854795,0.0890932677405464
"MRGPRF","LATERAL TEMPORAL CORTEX",3.47790721667641,0.00179405470245295,0.0110633373317932
"GAD1","LATERAL TEMPORAL CORTEX",-1.88974237978528,0.0699915782734017,0.0890932677405464
"CHML","OCCIPITAL LOBE",-2.3059833290648,0.0261172129299304,0.0585359744028077
"KANK2","OCCIPITAL LOBE",2.86865370434385,0.00642410484347114,0.0431282497987076
"PRELP","OCCIPITAL LOBE",2.55616693099392,0.0142897680818616,0.0540383683470825
"HSPB1","OCCIPITAL LOBE",2.01650033818481,0.0501717371979513,0.0713982413970845
"PIK3R5","OCCIPITAL LOBE",1.20235902596762,0.235959522546025,0.24944292383437
"AEBP1","OCCIPITAL LOBE",2.39337540701449,0.0212399402399603,0.0585359744028077
"GFAP","OCCIPITAL LOBE",1.94940519185611,0.0579453461921267,0.0714659269702897
"ITFG1","OCCIPITAL LOBE",-2.19290693299491,0.0339044005760907,0.0585359744028077
"TCEA3","OCCIPITAL LOBE",2.74752735560269,0.00880876619527649,0.04656062131789
"CCDC102A","OCCIPITAL LOBE",3.09231224705901,0.00352235929667499,0.0431282497987076
"ELOVL4","OCCIPITAL LOBE",-2.06725194705391,0.0449090147347435,0.0664653418074204
"KLF15","OCCIPITAL LOBE",1.99320900777565,0.0527611249760737,0.0714659269702897
"NAP1L5","OCCIPITAL LOBE",-2.83632055973258,0.00699377023762827,0.0431282497987076
"NEUROD6","OCCIPITAL LOBE",-2.54735606704676,0.0146049644181304,0.0540383683470825
"HPRT1","OCCIPITAL LOBE",-1.64814534759057,0.106784794671387,0.119728406146707
"NRN1","OCCIPITAL LOBE",-2.28399548424196,0.0274926363222218,0.0585359744028077
"MAS1","OCCIPITAL LOBE",-2.19154345115913,0.0340096964222683,0.0585359744028077
"RPH3A","OCCIPITAL LOBE",-2.97520274409814,0.00483851326659942,0.0431282497987076
"HSPB7","OCCIPITAL LOBE",2.09539172950857,0.0422040858120243,0.0650646322935375
"NUPR1","OCCIPITAL LOBE",2.65557675067577,0.0111401944108508,0.0515233991501848
"ADAM33","OCCIPITAL LOBE",2.18136184625334,0.034805173969237,0.0585359744028077
