"Gene","Region","Low(<=3)","High(>3)","log2FC","signed_FC","p_value","FDR"
"HPRT1","HIPPOCAMPUS",4.73176885189466,4.83243687461568,0.10066802272102,1.0722698493613,0.922525439113926,0.975241178491864
"HPRT1","LATERAL TEMPORAL CORTEX",4.92335390640678,4.21947491209767,-0.703878994309108,-1.6288784986282,0.0572542047229496,0.0784594657314495
"HPRT1","OCCIPITAL LOBE",5.00080744306197,4.31311452681188,-0.687692916250084,-1.61070570007653,0.106784794671387,0.119728406146707
"HSPB1","FUSIFORM GYRUS",6.4682758825811,6.76464025642578,0.296364373844681,1.22804580577484,0.236379046515289,0.265031052153506
"HSPB1","HIPPOCAMPUS",6.08394768463041,6.67516157039091,0.591213885760504,1.50651379724485,0.299680777178111,0.616010486421672
"HSPB1","LATERAL TEMPORAL CORTEX",6.51879191703047,7.54132061384845,1.02252869681798,2.03147652980038,0.030865824408465,0.0543826430053908
"HSPB1","OCCIPITAL LOBE",5.87885459960145,7.33971438996686,1.46085979036541,2.75272366421881,0.0501717371979513,0.0713982413970845
"HSPB7","FUSIFORM GYRUS",0.157360207518519,0.821851203288889,0.66449099577037,1.58500895986621,0.000452445685510867,0.00341419765402133
"HSPB7","HIPPOCAMPUS",0,0,0,1,0.521702565571073,0.714925738004803
"HSPB7","LATERAL TEMPORAL CORTEX",0.896558443222222,1.84666991633333,0.950111473111111,1.93202193414813,0.000168556415774632,0.0031441158682702
"HSPB7","OCCIPITAL LOBE",-0.646454777,0.242555762868421,0.889010539868421,1.85190557443489,0.0422040858120243,0.0650646322935375
"ITFG1","FUSIFORM GYRUS",5.59992233860659,5.20513123664463,-0.39479110196196,-1.31475237410902,0.0121895614389348,0.0222808938713824
"ITFG1","HIPPOCAMPUS",5.52288489793856,5.29223566389326,-0.2306492340453,-1.17336286103117,0.409444736325256,0.688611602001567
"ITFG1","LATERAL TEMPORAL CORTEX",5.65917630075997,4.98240514829199,-0.676771152467985,-1.59855806928424,0.0245502935799302,0.0472052266898267
"ITFG1","OCCIPITAL LOBE",5.7548372632488,5.03007953296762,-0.724757730281187,-1.65262309036863,0.0339044005760907,0.0585359744028077
"KANK2","FUSIFORM GYRUS",4.23898858710427,4.824102887038,0.585114299933728,1.50015783709791,0.000562601030607544,0.00341419765402133
"KANK2","HIPPOCAMPUS",4.37627624706838,4.64138259016938,0.265106343100996,1.20172462709169,0.294102146413536,0.616010486421672
"KANK2","LATERAL TEMPORAL CORTEX",4.31641295703545,5.21515992038031,0.898746963344856,1.86444593595671,0.00117200664828825,0.0101468719599305
"KANK2","OCCIPITAL LOBE",4.04578858712322,5.05862986173216,1.01284127460893,2.01788124806574,0.00642410484347114,0.0431282497987076
"KLF15","FUSIFORM GYRUS",4.83642108150091,5.30876558050337,0.472344499002462,1.38736221574033,0.00438291795388328,0.0124744587918216
"KLF15","HIPPOCAMPUS",5.02508924212299,4.97588995840731,-0.0491992837156783,-1.03469049649417,0.771255889336232,0.875930631907415
"KLF15","LATERAL TEMPORAL CORTEX",4.81464872936296,5.8324354982354,1.01778676887245,2.02481032449443,0.000169952209095687,0.0031441158682702
"KLF15","OCCIPITAL LOBE",4.80493653613001,5.53233965407524,0.727403117945227,1.6556561910934,0.0527611249760737,0.0714659269702897
"MAS1","FUSIFORM GYRUS",2.10126809807376,0.811484330336541,-1.28978376773722,-2.44491408228344,0.00134934514575281,0.0050642728898126
"MAS1","HIPPOCAMPUS",1.99323165029625,0.982315481874492,-1.01091616842175,-2.01519041949544,0.338530989251766,0.616853871405874
"MAS1","LATERAL TEMPORAL CORTEX",1.88840813565231,0.396113257176256,-1.49229487847605,-2.81336137576687,0.0101644631233263,0.028929625812544
"MAS1","OCCIPITAL LOBE",2.11990546148076,0.616556179767715,-1.50334928171305,-2.83500107400169,0.0340096964222683,0.0585359744028077
"MRGPRF","FUSIFORM GYRUS",0.411782576111111,0.957318417366667,0.545535841255556,1.45956234963731,0.0139497002302425,0.0224408221095205
"MRGPRF","HIPPOCAMPUS",0,0,0,1,0.521702565571073,0.714925738004803
"MRGPRF","LATERAL TEMPORAL CORTEX",1.15263791738889,2.62165841958333,1.46902050219444,2.76833877279168,0.00179405470245295,0.0110633373317932
"MRGPRF","OCCIPITAL LOBE",1.065757098625,1.90918681144737,0.843429712822368,1.79431068276796,0.00451546566485062,0.0431282497987076
"NAP1L5","FUSIFORM GYRUS",5.51439318627888,4.80964727424104,-0.704745912037844,-1.6298575884296,0.00137326639192834,0.0050642728898126
"NAP1L5","HIPPOCAMPUS",4.88205874417942,5.3381908845774,0.456132140397982,1.37185893516102,0.265701924752325,0.616010486421672
"NAP1L5","LATERAL TEMPORAL CORTEX",5.3363662911451,4.57619485748905,-0.760171433656049,-1.69369187206492,0.0380781777877575,0.0571131657994551
"NAP1L5","OCCIPITAL LOBE",5.69105153155363,4.53908244264554,-1.15196908890809,-2.22216984473078,0.00699377023762827,0.0431282497987076
"NCALD","FUSIFORM GYRUS",6.56203001946302,5.88477057498459,-0.677259444478433,-1.59909920599038,0.00127731167221995,0.0050642728898126
"NCALD","HIPPOCAMPUS",6.0964557291759,6.30783826164733,0.211382532471431,1.15779716772297,0.781235428457964,0.875930631907415
"NCALD","LATERAL TEMPORAL CORTEX",6.47719568499525,5.74963552190532,-0.727560163089935,-1.65583642801884,0.0401335759671846,0.0571131657994551
"NCALD","OCCIPITAL LOBE",6.51225832757764,5.78193676915295,-0.730321558424691,-1.65900882244596,0.0746086018644158,0.0862661959057307
"NEUROD6","FUSIFORM GYRUS",3.65738823681274,2.38854111982225,-1.26884711699049,-2.40968926065913,3.47495335353861e-05,0.000642866370404644
"NEUROD6","HIPPOCAMPUS",3.43365671089494,2.3752880218208,-1.05836868907415,-2.08257534156013,0.350106251338469,0.616853871405874
"NEUROD6","LATERAL TEMPORAL CORTEX",3.33734316223486,2.04677625627571,-1.29056690595915,-2.44624161539809,0.00390662229258878,0.0170545903432348
"NEUROD6","OCCIPITAL LOBE",3.39718872208137,2.13044503768648,-1.26674368439489,-2.40617852166444,0.0146049644181304,0.0540383683470825
"NRN1","FUSIFORM GYRUS",5.87598237404325,5.09121097012852,-0.784771403914727,-1.72281931581411,3.03620479672034e-05,0.000642866370404644
"NRN1","HIPPOCAMPUS",5.63990170468238,5.25994536019579,-0.379956344486586,-1.30130247782873,0.639131721463257,0.794332508740182
"NRN1","LATERAL TEMPORAL CORTEX",5.66171006791072,4.73963406718658,-0.922076000724141,-1.89483995814651,0.00414841386727333,0.0170545903432348
"NRN1","OCCIPITAL LOBE",5.78184545893598,4.86321523577085,-0.918630223165128,-1.89031966400489,0.0274926363222218,0.0585359744028077
"NUPR1","FUSIFORM GYRUS",3.9146728539657,4.09971027968513,0.185037425719424,1.13684646439231,0.36930742066128,0.401893369543158
"NUPR1","HIPPOCAMPUS",3.42282121392061,4.17313077051984,0.750309556599233,1.68215372862635,0.145572896579014,0.616010486421672
"NUPR1","LATERAL TEMPORAL CORTEX",3.47138924478741,4.4766178056471,1.00522856085969,2.00726147486998,0.0195412182661004,0.0435667244591684
"NUPR1","OCCIPITAL LOBE",3.14337095910074,4.32813631612533,1.1847653570246,2.27326418790403,0.0111401944108508,0.0515233991501848
"OPN3","FUSIFORM GYRUS",3.4178992831627,2.84647812066062,-0.571421162502082,-1.48598665786778,0.00150559464291726,0.0050642728898126
"OPN3","HIPPOCAMPUS",2.85036987321251,3.19229822709066,0.341928353878153,1.26744957726846,0.748726384023404,0.875930631907415
"OPN3","LATERAL TEMPORAL CORTEX",3.25740109179634,2.67810426258607,-0.579296829210263,-1.49412083536904,0.0335264746888341,0.0563854347039483
"OPN3","OCCIPITAL LOBE",3.06051232504496,2.84194225754313,-0.218570067501838,-1.16357972840839,0.588671974097376,0.588671974097376
"PIK3R5","FUSIFORM GYRUS",1.66830688499122,2.24294582663096,0.574638941639734,1.48930469327996,0.00716431436049839,0.0165674769586525
"PIK3R5","HIPPOCAMPUS",1.67546569566284,2.24124981053459,0.565784114871754,1.48019178527949,0.256742515704337,0.616010486421672
