"","01.CA1","02.CA1","04.CA1","05.CA1","06.CA1","07.CA1","08.CA1","09.CA1","10.CA1","11.CA1","12.CA1","13.CA1","15.CA1","16.CA1","17.CA1","18.CA1","19.CA1","20.CA1","21.CA1","22.CA1","23.CA1","24.CA1","25.CA1","26.CA1","27.CA1","28.CA1"
"PHF8",4.81832166901375,5.23872450978456,5.26739686710243,5.52207055476175,4.82927802575349,5.13900321983595,5.36429766526596,5.25866328668825,5.44103394192034,5.03614837490016,5.36305121846975,4.82372421121821,5.45005250211736,5.60430732948804,4.97165893029455,5.61665038425101,4.81377538981018,5.97489041212212,5.58679057041204,4.98130005736464,5.00950337324606,5.98753425798032,4.90348693142423,4.66240939103988,5.14778231016081,4.53613757707248
"LCLAT1",3.79451315916579,1.47099468498857,3.39527325414393,3.45127682092159,4.49692553467164,4.0478554358392,4.02734074556575,3.45183151668718,4.15191540285732,3.56458186466885,4.04949085030335,4.1188065235421,3.0797083696193,3.45429577457645,3.46830119283981,3.57825542547168,3.50604843437772,3.67260320942068,3.19652393359882,3.51684521628864,2.50868642176174,2.77306332562608,3.57554955539063,3.25094643195006,3.2294170119247,3.59619225858592
"KAT5",4.57107891713968,4.97717333481604,4.74522934786316,4.05945283597842,4.47234217617601,4.6052785536051,4.6164902259593,4.90128651625717,4.68962494167576,4.57737740114306,4.59865082700446,4.42776134513781,5.02913387619506,4.74277802016193,5.05193060409277,5.1875143782729,5.21022843320058,5.49945900772436,5.45888485524309,5.26195358919555,5.16823580093207,5.29959055979432,5.08001782856325,5.14529800959222,4.98880146476775,5.28589575286305
"SH3RF3",4.67511304796572,4.77855736058123,4.85444681869057,4.56167148264774,4.98220893710873,4.49076545621774,4.93127876389203,5.43928393059714,4.70868121409713,4.72837992815785,4.59339146626409,4.90673359389286,5.36487431630251,5.32645684901193,5.21335212388398,5.41289959303655,5.69295266459065,5.8095198640533,5.08518345986955,5.51007653162058,6.12257642285142,4.82567590522787,4.65628697048946,4.95699267084713,4.79778094049453,5.89553813965227
"GXYLT2",2.86780631306841,4.03547864723245,2.9703210232875,4.16031703624117,2.3844725226238,3.02144496773094,2.54572587840331,3.42995010773833,3.08955189802629,3.84517696269764,2.91943707794239,2.68420225282135,3.34807492129217,3.0215114587243,2.31359212041477,2.70794531677543,3.52760810494818,2.55766305432037,4.3323817281007,4.23695812031005,3.22323931435375,2.85709040245608,3.12673803769472,2.48105106214686,3.04357006185321,2.89815385015227
"HPSE2",4.85422591451002,1.59342406198106,2.56551359235956,3.41090402344792,2.61156643638989,1.03743418373178,1.66395576603526,2.17586608846474,3.31519564277735,3.09403421098467,3.57114528637036,2.62349872357499,3.13752414351773,4.85560179570996,2.44822127191991,3.16003970116164,1.73184890495505,2.40902766653208,3.62105966068669,3.3933271935343,2.97452511972436,3.22284477051989,3.05761307458258,3.70119779069538,3.63479182856417,3.6646898885992
"DCAKD",4.49730651734576,5.01052140159721,4.84003152699508,4.73520486998694,4.34271958063807,4.86331748381523,4.51904788789231,5.37774854348248,4.17949691167769,4.94214498746131,4.16034560734913,4.46283538023943,5.77093826867262,5.56155805587338,5.23643781586367,4.81252433818185,6.26286118536603,5.34808025347296,5.46401981964567,5.79676648910633,5.49275279050546,5.35699729811796,5.28039488865753,5.20370830860551,5.52954151057384,5.96206968995359
"ARPP21",5.43306255409778,4.58552685501284,5.63056921867928,4.87532701731434,6.16573592397233,5.53737102480464,5.41212592453528,4.95590106288485,5.64473495736589,5.46583839766216,5.80198793504285,5.41047054990618,4.72412350041657,4.86968823070881,5.55609971301398,5.99875188781527,5.1489489258935,6.57643798253288,4.62605718866817,5.34208479872396,5.60220979518772,5.20975528959005,4.41602179426451,5.52595772226838,5.06019766244476,5.54808692559939
"TADA2B",4.24122328464287,5.11130851658393,4.8448526459974,4.93348658565249,4.31533652151152,4.095656862776,5.33787178635759,4.65945948426165,4.83546068973938,4.6762461075167,3.90413860510996,4.30427815134813,3.98188561216027,5.46279789092542,5.11401486202546,4.67923938668856,4.53382594742462,4.25882315173863,5.19426057155952,5.07807352983575,5.45758087937989,4.04529867840747,3.56562549861362,4.4033874298348,4.02149315018153,4.52798888453631
"CCDC96",1.10102778012929,0.507701805568958,0.682929828080105,0.354827982426033,1.80934541144289,1.71843143041702,-0.723866092512054,2.32558651207194,1.69072513580844,1.09844546940369,0.650995823641189,0.480850030204484,1.36608128987625,1.71849705538469,1.56142216690744,2.49368952591323,1.39906264071739,1.98142671326126,1.45286766489607,0.514103382368526,1.81641797567165,3.00439835914314,0.881433786576436,2.02309128195047,1.11079599110244,1.94900671360226
