"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SHISA4",1.08111849056194,5.17420069567017,5.11850571503927,1.59020923675748e-05,0.000239326490132,2.85317093028964
"LRRC4B",0.85174892729546,7.52842213195693,5.11748399200794,1.59484352046535e-05,0.000239763337506658,2.85267982930555
"SP2",0.801913794178711,4.18639066694163,5.11682027502897,1.59786120339335e-05,0.000239956466618052,2.88157903572665
"ITGA4",-1.21505313013612,1.19721898767229,-5.11435441805051,1.60912261737157e-05,0.000241385826220225,3.01900165284987
"CNOT7",-0.909212159281738,5.63278329665465,-5.11369953419393,1.61212673226928e-05,0.000241574748214291,2.82475656186224
"IFNAR1",-0.690659953372881,6.41331730996987,-5.11271908579983,1.61663476835987e-05,0.000241988378407684,2.82446575429849
"THUMPD1",-0.663248239968585,4.87283817318636,-5.1091881509963,1.63297435630765e-05,0.000243560511491723,2.82463009915218
"PEX13",-0.605927874506534,4.08859991180976,-5.10853077184897,1.63603457862786e-05,0.000243560511491723,2.85238211866141
"POC1B",-0.75160259541871,4.45552696357165,-5.10843778377784,1.63646791762731e-05,0.000243560511491723,2.83647681053469
"NHLRC2",-0.61827157496911,6.26302578852395,-5.10815327617301,1.6377944798529e-05,0.000243560511491723,2.81021347423944
"RHBDD3",0.859127203732269,3.89066906166022,5.10787534904859,1.63909139668037e-05,0.000243560511491723,2.87481350359087
"ARHGEF10L",0.805735462561283,5.98709759176445,5.1078166013423,1.63936566779785e-05,0.000243560511491723,2.81022112539587
"NSUN3",-0.646764688020647,3.03780373484577,-5.10779830814841,1.63945108125297e-05,0.000243560511491723,2.91748070398722
"IPO13",0.656320802739958,6.50366005629145,5.10687200097371,1.64378195405181e-05,0.000243942175088974,2.80930460983936
"C1GALT1C1",-1.20566074721279,2.15504775483418,-5.10422204446578,1.65623481756076e-05,0.000245527058714628,2.97194204030827
"PC",0.92766688829574,6.47802640074469,5.1032095888861,1.66101746011324e-05,0.000245972703237732,2.79968629289969
"7-Sep",-1.06645852961444,7.62715891601676,-5.09949548723117,1.67868057013846e-05,0.000248322768954456,2.80626400019579
"FBXL16",1.12050189065112,9.02224583174047,5.09862518276257,1.68284652324076e-05,0.000248501263596507,2.83065475806033
"XPA",-0.771224529578668,3.3902336889315,-5.09542072377518,1.69827475164501e-05,0.000250418660396984,2.85747498793202
"JAK2",-0.586848327158012,5.26281991258514,-5.09148572675381,1.71741360994417e-05,0.000252805971210643,2.76627427084468
"LRRC14",0.852727838105315,5.15966403921231,5.0912598840074,1.7185185666161e-05,0.000252805971210643,2.77546788175039
"WDR41",-0.683542724305115,4.72472276948093,-5.09096907933625,1.7199424012742e-05,0.000252805971210643,2.77866268555253
"JPH4",0.941388529690974,8.0500036094113,5.08960896426079,1.7266174381773e-05,0.000253517975068959,2.78472072417254
"SELO",0.857776205573614,4.53116564383669,5.08804430972796,1.73432829816805e-05,0.000254249310359389,2.78666940155072
"CCR10",1.60218660949831,0.794184246453655,5.08785353309864,1.73527082398976e-05,0.000254249310359389,2.90541749253544
"SCRN3",-0.670665341773318,3.88912435383608,-5.08735645639266,1.73772901889228e-05,0.000254340338219688,2.80401531098044
"EXOC5",-0.630397017524243,5.79841378574447,-5.0862380253266,1.74327272146322e-05,0.000254882303076872,2.74723571114333
"KDM7A",-0.660103066601261,5.24750757181726,-5.08433100390366,1.75276597199304e-05,0.000255570038819438,2.74684107832501
"ZDHHC21",-0.92864234063206,6.04392733818373,-5.08420724321767,1.75338383985314e-05,0.000255570038819438,2.74299170185275
"TUBG1",0.762608985918916,3.94093026904672,5.08414574837333,1.75369093008358e-05,0.000255570038819438,2.80497285156659
"LNPEP",-0.707462501820179,7.46245411344792,-5.08344271527341,1.75720552474437e-05,0.000255570038819438,2.75850327163055
"AP5M1",-1.02506685278256,5.87349436019232,-5.08263466520446,1.76125380782977e-05,0.000255890033821732,2.73851417028542
"CEP57L1",-0.977008112250984,3.6170903258689,-5.08096961923214,1.76962497997621e-05,0.000256836765961746,2.80325490695411
"CPLX1",0.719003104827119,5.8981592259117,5.07992215746803,1.77491153690059e-05,0.000257334294658906,2.73261961854036
"TSNAX",-0.795455167127277,4.08223528018652,-5.07884145951775,1.78038236606723e-05,0.000257857471135637,2.77081213304401
"SKIV2L2",-0.656666521717788,5.47138332980948,-5.07797807177742,1.78476520027203e-05,0.000257993793106308,2.72600564034423
"SHFM1",-0.792355482674195,3.8610185554034,-5.07792199774085,1.78505022241689e-05,0.000257993793106308,2.77974127799047
"ZNF579",1.15178631510802,3.78232833440131,5.07401245190773,1.80503474870035e-05,0.000260266474975257,2.79530500798061
"AHDC1",0.791152646935477,7.01459239164682,5.07374422728432,1.80641400008105e-05,0.000260266474975257,2.72365696575594
"ZC3H14",-0.649586442827574,6.2276768142893,-5.07017049588613,1.82489138751058e-05,0.000262251393792145,2.70460718909528
"RFX1",0.837133748014941,4.04598457357183,5.06998169753141,1.82587276914364e-05,0.000262251393792145,2.76059041107545
"EPHB3",0.731741005143342,3.37797576751016,5.06825869193941,1.83485340562205e-05,0.000263268189163139,2.79922076710077
"STOML1",0.61563007787439,4.37297169916415,5.06394279459785,1.85754274763746e-05,0.000266247793828035,2.72416610019334
"NR1H2",0.79485085014303,5.38114430306082,5.06198014972247,1.86795311841122e-05,0.000267463070088125,2.68914465672786
"RWDD4",-0.860669297243421,2.03507815595867,-5.06137208461075,1.87119025425639e-05,0.000267649796078863,2.86247229698479
"WDR83",0.655876094955932,2.41994760451043,5.05824111664761,1.88794735326718e-05,0.000269767998486454,2.84230013976591
"YAE1D1",-0.813305908446818,2.79418548349185,-5.05779149285521,1.89036603225449e-05,0.000269835134872121,2.79971636961404
"MTCH2",-0.611130058886368,4.86449595612341,-5.0572016344902,1.89354377196761e-05,0.000269921933838339,2.68084815674251
"ZBTB45",0.823619616214191,3.7974370884664,5.05695518810182,1.89487302968991e-05,0.000269921933838339,2.73996177738712
"CSNK1G3",-0.737226225697928,4.6888357033375,-5.05498944742392,1.90550904449708e-05,0.000271158049641383,2.6801636320025
"USP12",-0.99807926867117,5.93773328531769,-5.05370802578514,1.9124744856541e-05,0.000271820839892456,2.65826744090457
"NELFE",0.612698129715215,4.12165124279382,5.05328541076346,1.91477726868773e-05,0.000271820839892456,2.7067278559246
"SENP6",-0.698875743054034,6.89876100862038,-5.05305091803805,1.91605618759957e-05,0.000271820839892456,2.66534342350139
"RAVER1",0.934862413361698,4.56919710455132,5.05113972387335,1.92651165022591e-05,0.000273024363449621,2.68382436184362
"N6AMT1",-0.852867363065177,4.57664240522482,-5.04894872231221,1.93856792228805e-05,0.00027431731115162,2.66729521262269
"RPL23A",0.922680195989564,3.62239237174862,5.04876227570139,1.9395973394297e-05,0.00027431731115162,2.73136742644252
"NPRL3",0.736935483162534,5.63522774701225,5.04816959080137,1.94287332247499e-05,0.000274500245132537,2.64663842000614
