"","01.NX","02.NX","03.NX","04.NX","05.NX","06.NX","07.NX","08.NX","09.NX","10.NX","11.NX","12.NX","13.NX","14.NX","15.NX","16.NX","17.NX","18.NX","19.NX","20.NX","21.NX","22.NX","23.NX","24.NX","25.NX","26.NX","27.NX","28.NX"
"NIPAL3",6.95147048590364,6.81456251625178,7.85563885238778,6.26156590844159,7.40340035663775,6.66329284494736,6.75780280186271,6.87394256206543,7.37079871278847,6.67800976260971,7.06428824343898,6.47040266400681,6.70244722835805,6.46162720667425,7.68453110970873,6.73911277337266,6.68678209682974,6.38625366492644,7.11762645818426,6.13559843001886,8.21282766386642,6.51773911297151,6.59082508028875,5.47707854819662,7.20117524117123,6.95735087888599,6.66318239853943,7.27063888657917
"LAS1L",5.55534525733308,5.5455170078206,5.57197134853935,5.59330208222706,5.75309329146757,5.2628751248757,6.51838795581724,5.52179463282575,6.19803655594676,5.53505795559847,5.98279026542086,5.82710827861958,5.92282451255867,5.48841107733634,5.06369561593169,5.57881721105662,5.92902487234784,7.11911364339376,5.22931485470689,7.13884134067894,5.57204711873384,5.65997831553469,6.8930920707611,7.19867336244709,5.60203395810803,5.76088507326914,5.33763653066655,6.15008799507772
"ENPP4",6.02230752800059,5.46607570263436,5.46291381356487,5.74509025354313,4.97206915634555,6.20445673172171,5.12618121281398,5.93692111911701,5.83559607965244,6.10059131463665,5.79666422342279,5.47464667610869,5.45758960313556,5.60712358721525,4.69948447163182,4.21765966021449,5.26374309521599,4.62529014111833,4.59125929485166,4.40660769493644,5.01468989177444,3.99849946859518,4.02138490617247,3.49109371200862,5.93310949943861,4.64394507949504,4.51012834714391,4.43055531139729
"SEMA3F",2.1658600485136,4.46842098260304,2.76569816896012,3.01904506920549,4.62922575785003,2.75209184949305,2.33654158146854,1.80125875128167,3.44790861743558,3.5702800024301,3.71575432116334,3.10284806981688,4.54751354473699,2.5355373459678,5.06015418983011,4.11338195388219,2.08593150672264,2.51138518898629,3.49663435427543,3.39256266329309,4.15594580628853,3.17789957371128,3.33498470174592,3.31175125417676,3.71587378548556,2.68178058972123,4.04380008939736,3.62215520717808
"ANKIB1",7.04887060216789,7.45686147647186,7.77841432645807,6.9216534864548,7.37210830253884,7.07786259573005,7.12470855629137,6.9871443746657,7.83114252895173,7.0854648312444,7.42065314591298,6.88399184871162,6.96690466756834,6.41732037434159,7.50536717327195,7.18823076053938,6.71007172946326,6.78284547302798,7.26806473920017,7.16640462410748,8.30518050700615,7.06450084455209,7.20578743959285,6.70446642763553,6.94690644497505,6.89966945776405,6.79496462577777,6.97846308984087
"CYP51A1",5.41309394181566,5.44362855482776,3.83008296355981,5.70223068567856,1.78821957060164,6.72383873271392,4.78674217813263,6.3559409476185,5.04797264972453,5.68505480383062,5.64219077303931,4.51031778505385,5.49268322700463,5.16626758558911,4.71758190321022,4.12874822232804,5.63491522294703,4.99182110486841,4.00086822190451,3.59820413040633,4.94674057645249,3.66612121725202,3.48921338009739,3.79987372349935,5.66850524931938,4.76789658898187,4.8219503491028,4.35411185194125
"KRIT1",5.56105772899888,5.6764155770378,5.36238985239236,5.5312749259138,4.88912400635071,5.6178683671232,5.76363037628804,5.90520632709294,5.95396726175148,5.75935582514454,5.52595584649228,5.55527185493976,5.48952793938098,5.17022855001697,4.81745412645976,4.97240432967266,5.05976638274198,5.02819966786785,5.1251045468255,5.48858446069593,5.37608535523156,5.52445407375435,5.51136707846522,5.62209117002742,5.42334591501815,4.82119736102612,4.7423057836363,4.4808549774139
"RAD52",4.10214618892751,4.62956253507252,4.00920577893216,4.13900201692437,3.64067467212742,3.50825628081696,4.34203901954332,4.18751588132512,4.65370588894222,4.26131307166173,4.09440283172885,4.41110726061115,4.2372672589788,4.66925761797919,2.94440585281379,4.13637041390271,3.95915651397179,4.84222503147828,4.18603472677966,4.38378556143141,3.63633530570812,4.27509774898714,4.84612609684471,4.96754935520032,3.3754631762872,3.91955260561253,3.64552650008803,4.19337813865629
"BAD",3.8702812328631,4.27856058361983,4.54386979283801,3.94503700103134,5.61611710862564,4.24760872397469,4.32105263491656,4.22653394736983,4.59661543944558,3.86765774459889,4.1074042643541,4.26959265242265,4.40071404772166,4.85296878100112,5.78590417957551,5.45931959068374,4.48557669098639,3.97658105691801,5.80902175095525,5.09319777718472,5.58607375975731,5.43538988022744,4.82310066333053,4.83541787348156,4.39837373272222,5.34250300377156,4.70677877967189,5.10273927009731
"LAP3",5.06200280822449,4.8274744751019,5.10885131478676,5.36342942362462,4.66528164466639,4.7047271374333,4.73214457359897,4.78371989878997,4.54322812324249,4.53506918939398,5.10114528281919,4.72691197585694,4.60112247284108,4.50333535256586,5.37149337235634,4.4123008966678,5.71155350036393,4.15637771985762,4.08929053198162,4.56038476210453,5.00636919615458,4.18631331048225,4.9239387433075,4.87634324800733,5.3982178909869,5.34022250301951,4.872704397896,5.39752769135962
"CD99",5.19040544033018,4.17335636054149,4.93308478093635,4.67583473957593,5.7430062171874,4.90426596513547,4.12914890886842,3.9594696822435,4.09298968149763,4.58753580687706,5.67093815191763,4.63096683831405,5.42822779731858,5.17811800255036,5.46819216062017,4.4857438026252,5.0047259828813,3.44958223368381,4.99762424821668,5.17301367556474,5.69103868394715,4.4554291546659,4.86503716229354,3.27956722835987,4.22213755668149,6.22860634674588,4.85117092206448,6.58266858417066
"HS3ST1",1.97366165442816,1.54370388492386,2.8273376809169,2.58069391115339,2.77312108712881,1.88829307700243,2.37777473879272,2.95067108656456,2.52013578308358,2.71883779863678,1.91960762810685,2.26448035841323,2.13753291278056,2.29554926293502,2.97481886132929,2.02028644501821,2.38090229876592,2.71638811875108,2.15603931465802,2.97064013415609,1.41936190534366,2.99696647777045,2.48870126521268,2.45777851928067,2.4929155407363,2.36029253597962,2.62023855273224,2.86898495193955
"HECW1",6.83606312510814,5.42846737823346,5.31296880288521,5.90260273059565,5.61242804901387,7.12044137456733,7.01872362128461,7.30985542690904,6.19995443084519,6.79790026524606,5.93436291018944,7.0844549691193,6.57278914407123,7.38723905428949,5.17593765798485,6.46117797611116,6.87873913298088,7.50106284336129,4.93934175507012,7.71957678780542,5.28958561884397,6.61775904806281,6.78106154696801,7.6380688224192,7.12280827394197,6.8746752279889,6.68566119804031,5.48302398277835
"MAD1L1",3.99368556816101,4.64931385901477,4.52539135678088,4.14654440418164,4.84579176730634,3.78853041994204,4.8972114741519,3.89634401554171,4.86668264432181,4.23961841210959,4.2194274727504,4.84565428194143,4.26705589553866,4.37879092310252,4.82164341839634,4.89812939547534,4.20219120563996,5.28599033648946,4.78903507069412,5.56665299521129,4.96832052889561,5.46762635059229,5.21969687127851,5.52591050144393,4.08571025043152,4.89762879844298,4.63298728849585,4.84089230549837
"LASP1",6.56754587033913,7.31361475798194,6.43393640520173,6.68449236573826,7.1419820012397,6.43626366360391,6.94176084430751,6.98903660295808,5.79048754105849,6.49555505201391,6.88620652092858,7.14745789729716,7.32739822334928,6.96073534266115,7.74423245099897,7.76221954992621,5.46006450268103,7.02517035433823,7.89711159985028,6.85686166495998,7.71847306543312,7.58085236354412,7.47191570684545,7.2659265830773,6.70429597173372,6.71575046207586,7.47479977714651,7.67638058335526
"SNX11",3.5714141537217,3.70468335831086,4.40925624721832,3.66945489561724,4.94299027161175,3.50825628081696,4.08625985129175,4.18751588132512,4.18106610047035,3.51717031040407,4.00691147335962,3.90045272180329,4.2817226920065,4.04953324513309,4.40224469493559,4.58377655859364,3.87747581198199,3.90572335131189,5.1251045468255,3.77231140906627,4.78103480324179,4.52392192772845,4.51363993244716,3.98589955033414,4.20115769142807,4.20168382865037,4.23882076575536,4.23126991683755
"TMEM176A",2.86509646840301,3.50235515091036,3.24374847451172,4.16893782433972,3.18435914620326,3.16964884182754,2.11059702698005,2.56060378079392,3.52336981266441,3.06562365574377,2.99247798841084,2.93443187312019,3.33705585553614,3.06432423633647,4.53573643812875,3.33343348499954,4.5173846246603,2.2372621172059,4.2704068520363,3.04039905031312,4.71618896508788,2.98081234445426,2.96603682449985,3.22990359500031,3.61637384002942,4.01414208398057,3.78833171150421,4.18236657339204
"M6PR",4.52479558532732,4.34466279073545,3.90822981951468,4.41361193331081,2.89958980922879,4.62346682607547,4.44262222247367,4.53704314183049,3.42185151896885,4.40467467744114,4.97559375777001,4.18202348961282,4.35290011370196,4.08353489404644,3.5299979762667,3.99260139055403,4.45070010859108,4.18428019872439,3.10247277375616,3.53055366498492,4.21490760288515,3.10524758064687,3.46957755930397,4.27829264984042,4.60016729173451,4.28467008622861,3.94561708102227,4.52074354194239
"KLHL13",2.96039275907418,1.80079478973648,-0.0551419724973229,2.82588039095961,1.49957474402046,3.31475779889847,1.71967150889718,3.15325601204524,1.32969028475339,3.04075006912152,2.49539949521142,2.49996952114194,2.26109747736602,2.29554926293502,2.24662486260734,1.55808459571701,2.85636909973585,1.65442114326132,1.81938375890127,1.29717451103195,2.32151281422932,1.01971146283471,1.18463524197478,1.49066846199329,3.16405906411194,1.5944970562458,2.45876333684494,2.08581322792342
"CYP26B1",3.76202343918831,2.13554882483092,2.26954055678519,3.47946813270026,4.9252573829236,4.46533940812138,4.44747191252795,5.10314834030166,3.08251873497536,4.40467467744114,3.53510297915421,4.21915868409364,4.03570611562338,5.28791659837618,4.7354551268844,5.03490882520505,2.29961139571878,5.49351698238613,4.66504464960872,3.58492543917106,4.87543205845874,4.83374871462848,4.81534312471534,4.0007823825025,4.02133733103929,4.85991917088856,4.23328245747972,4.33931656798664
"ICA1",4.89715724161529,4.08909142820701,4.16056439706104,5.24194674685921,4.49141123810249,5.25615144011814,5.92532619824444,4.72134530075294,4.70862288561934,5.28001851280593,4.97913472262551,5.16400659503275,5.1807520091339,5.09721203014511,4.11878865325149,4.1812767632008,4.97884781701898,5.50646866461997,3.67866051009759,4.77437092542036,3.77013431271857,4.66202885704465,4.86503716229354,5.81266669299063,4.9411471590797,4.33134486409389,4.62455030661052,3.96184650432457
"DBNDD1",4.87286664440586,5.46607570263436,5.33081415062201,4.81486387967919,6.37491350960708,4.95497028628608,5.40576478664406,5.40192403139343,5.17039947509537,5.08395532542062,4.91402828927693,5.49900888642069,5.51147139362335,5.56862799408628,5.61541010050288,6.07358329702539,4.83119301853013,5.25123743398112,6.58676238781581,5.64231635188574,5.8342479559238,6.75943412452385,5.61777676192533,5.70924132803731,5.05075599576191,6.09296609839954,5.68464104454131,5.27330205142526
"ALS2",6.67242206766185,6.12504433802657,6.04384986319505,6.32940779570543,5.64529483402687,6.8973503805497,6.7440719197166,6.78851759255641,6.60502172256124,6.84085969529265,6.28842404117277,6.59570768092656,6.36639126826838,6.64642759914106,5.54367814929915,5.86232241266841,6.34384779892321,6.50808950289644,5.31126292542779,6.05843659290907,6.00266426009406,5.76275533635394,5.84622604478565,6.62504538935944,6.52754798140692,5.89588739501015,6.02150940873167,5.71658009002103
"CASP10",2.20530388938368,4.0098201040521,4.19214713011053,3.47946813270026,4.37430899880229,1.8411485242689,2.78270505795818,1.73063478545286,2.54449124719673,3.06562365574377,3.88385743324347,2.37391126149142,2.85852801731264,2.26624213349454,3.43475490175968,2.60770691530622,1.8915815406074,1.68077771538867,1.9192575996288,1.39171564243422,0.356525172579627,2.43439160887546,2.65439840742791,2.87886828895964,2.16479213455844,1.7399882187067,2.21081493938524,3.75443824545974
"CFLAR",6.69164481377086,6.88150227576653,7.87218491908775,5.95293857488368,7.56957573181881,5.49189374943307,7.48576698046541,5.55026824290554,6.46530721897649,5.92482603666291,7.49302744511665,6.08823319528056,6.60230125341191,6.6912211136935,7.45771150974791,6.42584901853133,5.58754101679318,6.46797938835649,7.19439033730454,7.64115854781416,6.6290161038892,7.38608225478006,7.57026054158455,7.26335751003344,6.07608731460234,5.79125438244867,6.12382775555214,6.7504942627588
"TFPI",1.8041831985844,3.16086361392931,3.27357985469738,3.58315566994747,3.80483433409794,2.9539332145075,2.63747818798432,1.61776044971631,3.46076278025167,3.45263213972276,2.89086854992795,2.26448035841323,3.70668931854544,1.55332210835792,2.71141443405838,0.636548306912521,1.82050969292167,1.32742443104048,1.9192575996288,-0.334369990180443,1.56244444207088,0.955031997721128,1.67078460709977,0.223084239512405,1.30053849640315,1.65446536895944,1.6030630781042,2.38374471465453
"NDUFAF7",4.23672290119825,3.38159783398155,3.5298896184436,4.41984984904868,2.94722815945743,4.81253368229328,4.68774824166693,4.59782622140439,3.79101976388509,4.42403967440441,4.17070991565318,4.32515195537006,4.20685055835504,4.17310709666938,2.86544428884823,3.17962558720314,4.02702010231125,4.35357095146364,3.19836562454556,4.51209455155835,2.12030947086032,3.09026759512124,4.04147404720246,4.40676811878996,3.95708937287206,3.35919218135338,3.28770009708414,3.02505630640906
"RBM5",7.0235793784073,6.67379451569249,6.98564503348095,7.05086314676168,6.24751560657491,7.10493310106901,7.75634657426895,7.10786542136789,7.05306480937643,7.21618016089949,7.36083493564555,7.12219385730184,6.99053322657062,6.92250001092299,6.4400244310125,6.90000209338238,7.11499519507468,7.58979652234096,6.50205396018486,7.80544621279124,6.23939487005741,7.05874084343281,7.57543675888104,8.00856630130694,6.95123221087843,6.59852188446586,6.68667468665734,7.069430677542
"MTMR7",5.8227750653647,4.75640080010739,4.7699935357945,5.42674640091391,4.59224561256121,6.14139540096384,5.72420906708277,6.05903925814287,5.29764551629482,5.81725777630907,5.20156244497317,5.22003921563934,5.05405794036231,5.39333931299619,4.41893134146243,4.05022596194293,5.49813814362509,5.49351698238613,4.59125929485166,5.29830488248597,4.86166024577008,4.38965294316381,5.29414588697139,5.149958450094,5.84371365967703,4.26556899078543,4.58596113603829,4.42589444549501
"SLC7A2",5.46682746998818,4.18242240140882,5.23551021339865,5.81775145628836,3.98681432462131,5.1146455798652,4.11092378322404,4.5318603687906,5.17039947509537,4.18957870279755,5.27542204385745,4.76758837559433,5.33637709816365,3.66773677074778,5.50512703152937,5.83915636422264,5.26106154517382,3.59525688374176,5.14243014522614,3.02080972969306,6.40837807796342,4.50710116551499,4.3189028752125,3.38920372752901,2.98539029941602,4.97021394847162,4.75781902767901,5.1458909617617
