SYMBOL,k,agree_frac
GSDMD,3,1
GSG1L,3,1
GSK3B,3,1
GSKIP,3,1
GSTA4,4,1
GTF2H1,4,1
GTF2H3,3,1
GTF2H5,3,1
GTPBP4,3,1
GYPC,3,1
HAUS5,3,1
HCN1,4,1
HECW2,3,1
HELZ2,3,1
HERC6,4,1
HES6,3,1
HGSNAT,3,1
HIF3A,3,1
HIPK1,3,1
HIVEP3,3,1
HLCS,3,1
HLTF,3,1
HMBOX1,3,1
HMG20A,3,1
HMG20B,4,1
HMGCR,4,1
HMGCS1,4,1
HOMER1,3,1
HOMER3,4,1
HPRT1,4,1
HSD3B7,4,1
HSF1,3,1
HSPB1,4,1
HSPB2,3,1
HSPB7,3,1
HSPG2,3,1
HTR3B,3,1
HVCN1,3,1
HYKK,3,1
ICA1,3,1
ID3,4,1
IDNK,3,1
IFT140,3,1
IGF1,3,1
IGF1R,3,1
IKBKB,3,1
IL16,3,1
IL1RAP,3,1
IL33,3,1
IMMT,3,1
IMPA1,3,1
INPP5D,3,1
INPP5F,3,1
INPPL1,3,1
IRAK1,3,1
ISYNA1,4,1
ITFG1,5,1
ITGAX,3,1
ITGB5,4,1
ITPK1,3,1
ITPKB,4,1
ITPR3,3,1
ITPRIP,4,1
JADE2,3,1
JMJD6,3,1
KANK2,4,1
KBTBD8,3,1
KCNAB1,3,1
KCNH5,3,1
KCNQ3,3,1
KDM6B,3,1
KHDRBS1,3,1
KIAA0930,3,1
KIAA1614,3,1
KIF1C,3,1
KIF3A,4,1
KIF7,3,1
KIFAP3,5,1
KLF15,4,1
KLF2,3,1
KLHL17,3,1
KLHL21,4,1
KLHL6,3,1
KNOP1,3,1
KPNA2,3,1
KPTN,4,1
KRI1,3,1
KY,3,1
KYAT3,3,1
LAMA5,4,1
LAMB1,3,1
LAMB2,4,1
LANCL2,3,1
LATS2,4,1
LCAT,4,1
LCLAT1,4,1
LDHA,3,1
LDLRAD3,3,1
LEF1,3,1
LETMD1,4,1
LGALS9,3,1
LGMN,3,1
LHPP,3,1
LIG1,3,1
LIG4,3,1
LILRA2,3,1
LIN7A,3,1
LINC00472,3,1
LINC01000,3,1
LINC01094,3,1
LLGL2,4,1
LMBRD2,4,1
LNP1,3,1
LOC730098,3,1
LONRF2,3,1
LOXL3,4,1
LPIN3,3,1
LRCH4,3,1
LRP10,3,1
LRP4,4,1
LRP5,4,1
LRPPRC,4,1
LRRC28,3,1
LRRC3,3,1
LRRC40,4,1
LRRC7,3,1
LRRC8B,3,1
LRRN1,3,1
LTBP1,4,1
LYRM9,3,1
LZTS2,3,1
M6PR,3,1
MACROD1,3,1
MAEL,3,1
MAF,3,1
MAFF,3,1
MAGEH1,3,1
MAK16,3,1
MAMDC4,3,1
MAML2,3,1
MAML3,3,1
MAP10,3,1
MAP1B,3,1
MAP2,3,1
MAP2K3,3,1
MAP2K4,3,1
MAP3K11,3,1
MAP3K3,3,1
MAP3K6,3,1
MAP9,4,1
MAPK10,3,1
MAPK7,3,1
MAPKAPK2,3,1
MAS1,4,1
MAVS,3,1
MAX,4,1
MAZ,3,1
MBD3,4,1
MBTPS2,4,1
MCCC2,3,1
MCF2,3,1
MCM4,3,1
MCM7,3,1
MDGA1,4,1
MDH1,3,1
MDH1B,4,1
MEAF6,3,1
MECR,3,1
MED12,3,1
MFAP4,4,1
MFN1,3,1
MFSD6,4,1
MFSD8,3,1
MGAT1,3,1
MICAL3,3,1
MICALL2,4,1
MICU3,3,1
MID1IP1,3,1
MIER2,3,1
MIPEP,3,1
MKNK2,4,1
MLLT11,3,1
MMP14,3,1
MOB3A,4,1
MORF4L2,4,1
MPHOSPH6,3,1
MPRIP,4,1
MPST,3,1
MRAS,3,1
MRC2,3,1
MRGPRF,3,1
MROH6,3,1
MRPL1,3,1
MRPL15,3,1
MRPL30,4,1
MRPL32,4,1
MRPS21,3,1
MRPS23,3,1
MRTO4,3,1
MSH2,3,1
MST1,3,1
MSX1,4,1
MT1F,3,1
MT1G,3,1
MTBP,3,1
MTCH2,4,1
MTMR6,4,1
MTMR7,3,1
MTR,4,1
MXD4,4,1
MXI1,3,1
MYBPC1,3,1
MYCBP2,3,1
MYH9,3,1
MYLK,3,1
MYO10,3,1
MYO1C,4,1
MYO9B,3,1
MYSM1,3,1
MZT1,3,1
NAA20,4,1
NACC2,3,1
NAGLU,3,1
NAP1L2,4,1
NAP1L3,4,1
NAP1L5,4,1
NAPB,3,1
NAPG,5,1
NATD1,3,1
NBEA,4,1
NBEAL2,3,1
NBPF1,3,1
NBPF10,4,1
NCALD,4,1
NCR3LG1,3,1
NDFIP1,3,1
NDFIP2,3,1
NDST3,3,1
NDUFA5,4,1
NDUFA9,3,1
NDUFAF4,3,1
NDUFAF5,3,1
NDUFB5,3,1
NDUFB6,3,1
NDUFS1,3,1
NDUFS4,3,1
NDUFV2,3,1
NEAT1,3,1
NECAB1,5,1
NECAP1,4,1
NEDD8,3,1
NEGR1,3,1
NEK10,3,1
NELL2,3,1
NETO2,3,1
NEUROD6,5,1
NFATC1,4,1
NFATC2,4,1
NFATC3,3,1
NFATC4,4,1
NFIA,3,1
NFIC,3,1
NFKB2,3,1
NFKBIA,3,1
NFKBID,4,1
NFU1,3,1
NHLRC1,3,1
NINJ1,4,1
NIPAL2,3,1
NIPSNAP3B,3,1
NIT2,4,1
NLGN1,3,1
NLK,3,1
NLRP1,4,1
NOTCH2,3,1
NPNT,3,1
NPRL3,3,1
NREP,3,1
NRIP3,4,1
NRN1,4,1
NRSN1,3,1
NRXN1,3,1
NRXN3,3,1
NSF,3,1
NT5DC2,4,1
NUAK1,4,1
