SYMBOL,logFC,SE,P.Value,acc,region
ADAMTS10,0.527057933066938,0.21707083204870986,0.0216618003183755,GSE278723_CA1,hippocampus_CA1
ADAMTS13,0.6482846316976,0.1805672422826108,0.00120967390974437,GSE278723_CA1,hippocampus_CA1
ADAMTS2,0.738450889615452,0.2265205994536035,0.00286042036376581,GSE278723_CA1,hippocampus_CA1
ADAMTS6,-0.564492678329614,0.2359652218637139,0.0234936228334449,GSE278723_CA1,hippocampus_CA1
ADAMTS7,0.633300299502877,0.2769809502772031,0.0297703037936715,GSE278723_CA1,hippocampus_CA1
ADAMTS8,0.819684888835903,0.32562595906675595,0.0176494494990061,GSE278723_CA1,hippocampus_CA1
ADAMTS9,-1.30103352845479,0.32921185317725343,4.5985681342844e-4,GSE278723_CA1,hippocampus_CA1
ADAMTSL2,0.646330447029407,0.2523521779833262,0.0159351209855615,GSE278723_CA1,hippocampus_CA1
ADAP1,0.624766858102808,0.20682542761550857,0.00524291685003311,GSE278723_CA1,hippocampus_CA1
ADAR,0.271554798379561,0.08409555278311834,0.00309566734965256,GSE278723_CA1,hippocampus_CA1
ADARB2,0.811084828574696,0.227776373980793,0.00130720903430525,GSE278723_CA1,hippocampus_CA1
ADAT2,-0.606579145684471,0.2883238978583899,0.0442429030986183,GSE278723_CA1,hippocampus_CA1
ADAT3,1.31233308106527,0.30371142031980103,1.6826198119953e-4,GSE278723_CA1,hippocampus_CA1
ADCK2,0.651958309379607,0.17255032595968653,7.3351893229103e-4,GSE278723_CA1,hippocampus_CA1
ADCK3,0.402126536829254,0.13307710676298376,0.00522969326717198,GSE278723_CA1,hippocampus_CA1
ADCK4,0.561905595875043,0.11972089744955214,6.02893107698162e-5,GSE278723_CA1,hippocampus_CA1
ADCK5,0.639673537590999,0.23717753204837796,0.0115654412573073,GSE278723_CA1,hippocampus_CA1
ADCY2,0.282538160202408,0.13152653665356168,0.040246278579627,GSE278723_CA1,hippocampus_CA1
ADCY3,0.491306210737669,0.1243756376708225,4.6207915417414e-4,GSE278723_CA1,hippocampus_CA1
ADCY5,0.542908280834529,0.14796205230596055,9.8128837334467e-4,GSE278723_CA1,hippocampus_CA1
ADCY6,0.301768333055523,0.12673247717693045,0.024091536994127,GSE278723_CA1,hippocampus_CA1
ADCY8,0.685109281476938,0.13124192415039063,1.40170235642561e-5,GSE278723_CA1,hippocampus_CA1
ADCY9,0.404968749846195,0.13372292586824377,0.00514336254447503,GSE278723_CA1,hippocampus_CA1
ADCYAP1R1,1.17959285160535,0.3246010681879754,0.00107754834957036,GSE278723_CA1,hippocampus_CA1
ADGRA1,0.663607250235681,0.17461948857521337,6.9166560959775e-4,GSE278723_CA1,hippocampus_CA1
ADGRA2,0.794490715525844,0.25575385190547023,0.00422769563850174,GSE278723_CA1,hippocampus_CA1
ADGRB1,0.717024189630775,0.20217416883105566,0.0013574492723752,GSE278723_CA1,hippocampus_CA1
