SYMBOL,max_loo_p,min_loo_p
ATPAF1,0.0013139524036585501,9.408003174637389e-4
ATR,0.005655600218417191,7.453868627557758e-9
ATRN,2.4239604217308764e-5,1.448942711059401e-7
ATXN10,6.404033534242653e-6,8.462767783818399e-13
AXIN1,1.2705050917163328e-10,9.40039529838666e-17
AZGP1,4.933672195277978e-4,1.1361450420355426e-5
AZIN2,0.9451671161207138,0.00018293250524435903
B3GALNT1,5.3520325555578944e-5,2.3107230006401863e-9
B3GALT6,0.7457076994524166,8.025010901540904e-6
B4GALT6,3.5292699913885517e-6,1.4656946715344024e-13
B4GAT1,0.939950314635952,8.275605977394457e-9
BABAM1,0.8771950179200078,6.849479546860568e-6
BACE2,0.9305930650961118,0.002287562987467318
BAIAP3,0.8165287512547958,1.273479238634957e-14
BARD1,0.8515258402934152,8.423325956286163e-4
BAZ1A,0.9852300036416589,2.5316706748007746e-5
BBS1,0.822161201720008,5.335879293835535e-14
BBS7,4.797310713267502e-5,1.0770807030052387e-12
BCAM,1.0452417856684916e-6,1.3808370235785065e-9
BCAR1,0.013851131038510914,4.0139773103592696e-11
BCAR3,1.0632881109106864e-5,2.1347159873043221e-13
BCAS2,4.5431883949706605e-11,7.270935461672707e-16
BCAT1,0.02024830730374432,1.5734064843294636e-5
BCHE,0.7092175764184334,3.723137336759921e-6
BCL2,0.8849089840998674,2.1718426612656183e-6
BCL2L11,0.9864143951457459,5.49469316505232e-8
BCL6,2.6818483129453258e-9,6.878859041113153e-20
BCL7C,8.036461474675742e-5,3.418063252420018e-6
BCL9L,2.3085612566895296e-6,4.302222317798522e-9
BEX1,2.240076492834625e-5,1.5609377605205566e-8
BEX2,5.2356115529479956e-5,1.8678350778054685e-10
BEX3,6.735453732064064e-7,1.7843113000922896e-12
BEX4,1.8568526464814434e-11,4.664432966097986e-13
BEX5,4.96764357615433e-4,2.8838584714683368e-11
BGN,6.425556499626676e-7,4.671606427803031e-12
BHLHE22,0.9466188211353648,1.1371631615481778e-7
BLM,0.9149386878899136,3.291644717453068e-5
BLOC1S2,9.664931051440294e-8,2.188369987543234e-14
BLOC1S6,0.13394419855876055,3.660474123992654e-7
BLVRA,0.9449514840868787,5.956286705495103e-9
BMI1,0.9867407112014699,1.1431889049761749e-5
BMP1,1.8694880202032636e-4,7.986113107779312e-13
BMP2,0.8763087127058268,3.7667124783750346e-5
BMP7,0.9316808152973253,5.850084963478645e-5
BMPR1A,0.9487144867709751,1.4634692600521215e-4
BNC2,6.83084153939259e-4,1.247640394892944e-4
BOC,0.00287953160265439,2.4944386375865676e-17
BORCS7,2.1678322430562574e-4,3.9339620629902093e-10
BPGM,3.90441629691423e-5,1.3990317966925947e-5
BPHL,0.9972538858161774,5.769948515872709e-11
BRI3,0.0052319841165663645,3.731346793526465e-6
BRINP2,0.9950743146631233,1.3722074900584588e-7
BRPF3,5.257119910496595e-6,1.084059677380099e-8
BSCL2,0.9620788611333482,4.1934340265581856e-14
BTBD3,0.005096282501933799,6.339656809470885e-4
BTBD7,0.8826282917568032,3.725495121090918e-10
BTF3L4,0.10823533450868138,2.890615572245994e-7
C11ORF87,1.741903459128507e-4,1.877543122748005e-8
C11ORF96,0.9669634391862603,0.0023755246857290954
C15ORF39,0.0033658993709025243,3.314547448012199e-7
C17ORF67,0.006109267735978694,8.770877912274201e-10
C17ORF75,9.373148830547456e-4,3.898285678242582e-13
C1ORF74,0.002426777324038502,0.0011832239839118276
C1QL1,0.07437310033136475,7.891595403811092e-17
C1QL3,0.03226407564239191,1.2374579813028021e-5
C1QTNF5,0.10802660873109679,1.1423805158741314e-9
C21ORF62,0.9391495336617508,4.138438488117531e-5
C2CD4C,0.7277445559187389,7.60868421267543e-8
C2CD5,4.152261603582167e-4,2.5889162451602363e-17
C2ORF69,0.0282144615205757,1.7835580048872884e-5
C2ORF74,0.9506291847324935,0.0036451075798916944
C2ORF80,0.0010106621990621913,1.1660990264165247e-9
C5ORF22,2.448531224351501e-7,2.952402697540536e-21
C5ORF34,0.0014002298687639458,1.4082355038519813e-8
C9ORF72,0.022438163416544334,2.0029117460199877e-14
CA12,0.9766429699736338,3.636438355365338e-4
CACFD1,7.159268366186295e-7,1.7572208220565207e-9
CACNA1C,0.9729873825063684,8.82598255998398e-5
CACNA2D1,8.397340078215772e-8,1.9425119221933417e-10
CACNA2D3,1.2615755025484067e-4,7.567355138694068e-8
CACNB1,0.9161930226635331,5.004216784601299e-6
CACNB4,9.639654463092275e-6,8.34864643604133e-10
CALD1,0.6331068582718463,7.392252467453433e-11
CALM2,0.013077883727875527,3.920759885452293e-12
CALN1,0.9594726123613102,0.0182899588066437
CAMK1G,0.9315242114133432,4.5378632129128646e-7
CAMK2G,0.8480157740264466,1.1010636742323575e-12
CAMK4,5.7411076494363384e-5,5.375982080893882e-8
CAPG,0.047337750263247616,1.2573316777336647e-11
CAPN15,7.565517993224108e-4,1.9824404256820744e-7
CAPNS1,0.9698800182042646,0.005852016900467824
CAPS,1.2224813282827538e-4,4.670437165739128e-13
CARD8,0.9857433173573765,1.5215601376947495e-7
CARHSP1,0.01191828792103026,4.1915335855509625e-6
CARTPT,5.596784508986763e-5,3.6244748718101454e-9
CASC3,6.591949757873218e-6,9.237064324700242e-12
CASKIN2,0.0077878339749492525,5.8462144638828445e-5
CATSPER2,0.9286913487391887,0.03270309508307309
CBFB,0.9731970440217592,4.256168082441952e-9
CBLB,0.8927548454716053,1.1580827217303182e-8
CBR3,0.9279549588217432,1.8529725547187907e-5
CCDC102A,1.2247061695901605e-7,2.1007217029096872e-13
CCDC106,0.6676907822250637,9.716014750740147e-5
CCDC115,0.9208741919985708,2.635177053035535e-4
CCDC117,0.9989292338995748,1.2726600911325093e-7
CCDC120,0.027685083056759714,6.7713872914039794e-15
CCDC157,5.678391226004443e-4,1.1863109314534397e-12
CCDC17,0.017625725683298326,4.850676087776412e-4
CCDC184,5.801456578862715e-4,1.6101257983516506e-7
CCDC40,7.423777184231231e-4,9.332771067731596e-14
CCDC50,0.8284112729992659,9.162085260929144e-5
CCDC57,0.7222397817464087,2.071820543286053e-7
CCDC69,0.003461061715705357,1.3118946343931085e-6
CCDC71,0.9610206533786073,1.7822507529175797e-5
CCDC85C,7.355834201654301e-4,1.0621350126184555e-7
CCDC88B,0.03281214896732358,2.5507973210808503e-15
CCDC96,0.940299307385801,2.355830752382326e-6
CCKBR,0.9460015936116112,2.1000043450511334e-8
CCNA2,0.8719317368368285,0.11789225371603448
CCND1,0.9333965355300564,1.8366135449333084e-10
CCNG1,0.884218136982882,1.6012138567393957e-5
CCPG1,0.5328578625215973,6.167543843507035e-5
CD101,0.9228865426603989,0.08226754853808171
CD151,0.001188174182461663,5.362925812702469e-18
CD200,2.7831019130417155e-5,1.4524073944899437e-9
CD37,7.490855034402307e-9,3.5669533463861204e-20
CD47,0.07294447794349908,3.0136789011576905e-6
CD82,0.0031222990051404855,1.8489867681822995e-9
CD99L2,3.2646056034115976e-6,7.421724945955333e-9
CDC123,0.0026295191957652255,1.3956463122433462e-20
CDC40,0.016646418391288945,5.198543403181722e-6
CDC42,0.014623141525352485,5.817875572642042e-13
CDC42EP4,9.276597968550078e-6,1.5816690902402543e-6
CDC7,0.004429276306490165,8.757162950936829e-7
